recheck_id	record_grain	candidate_key	candidate_name	previous_surface	previous_decision	previous_reason_or_notes	alternate_route_decision	alternate_plot_universe_id	route_to_worklist_id	evidence_row_count	counted_evidence_row_count	evidence_status	confidence	why_it_lands_or_not	next_action	supporting_local_paths
ying_pilot_full_scale_route_to_coverage_denominator_catalog	source_status	ying_pilot_full_scale	Ying/Ehrhardt pilot-to-full-scale datasets	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv	not_promoted_request_or_access_only	DOI/JHU/JAMA routes were blocked or landing-only here; research suggests data are available on request rather than public D/N table.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	248	0	pair_roster_public_values_request_only	high	Public/local bytes give a pilot/full-scale pair roster, but not the row-level D/N values. Count is already represented by the roster-only row bucket.	Keep roster rows in coverage denominator; no author-request route unless policy changes.	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv | data/derived/replication_pairs/harvest/staged/ying_2023_pair_roster__stage.csv
rgb_health_behavior_family_route_to_missing_value_repair_worklist	source_status	rgb_health_behavior_family	Beets/von Klinggraeff RGB pilot-vs-larger-trial family	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv	not_promoted_no_public_master_table_mirrored	Articles/preprint pages confirm pair/effect counts, but this pass did not obtain a public master D/N workbook or CSV.	route_to_missing_value_repair_worklist	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	source_confirms_pairs_effect_counts_but_no_public_master_table	medium	Articles confirm pair/effect counts, but no public row-level master table was mirrored.	Keep as missing-value/source-object repair only; no quantitative panel until public/user-provided values exist.	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv
scaleup_reviews_remain_context_or_rejected_no_alternate_subplot	source_status	scaleup_reviews	Physical activity and nutrition scale-up reviews	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv	not_promoted_context_only	Scale-up comparisons are lower-yield and may violate same-estimand rules; no D/N table was promoted.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_pair_table	medium	No D/N or native pair table was promoted, and same-estimand fit is weak.	Leave as context unless a structured pre-scale/scale-up table is found.	steps/corpus_results/figure1/research_followup_20260504/research-followup-triage.tsv
raw_corpus_brodeur_star_wars_openicpsr_route_to_coverage_denominator_catalog	source_family_raw_viability	raw_corpus:brodeur_star_wars_openicpsr	Brodeur Star Wars OpenICPSR replication package	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	possible_candidate_needs_custom_review	mirrored_high_priority_non_table_artifacts_need_custom_review. Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	medium	Mirrored artifacts exist, but no current parser output exposes row-level effect/N.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	aer_100_4.csv | aer_101_2.csv | aer_101_4.csv | aer_101_5.csv | aer_101_6.csv | ... +79 more
score_route_to_coverage_denominator_catalog	source_family_raw_viability	score	SCORE power and sample-size methods package | Systematizing Confidence in Open Research and Evidence (SCORE) data/code/materials	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	possible_candidate_needs_custom_review	mirrored_high_priority_non_table_artifacts_need_custom_review. Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	medium	Mirrored artifacts exist, but no current parser output exposes row-level effect/N.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	Analysis-ready Data__Correlations Paper__corr_ksu_bibliometric.csv | Analysis-ready Data__Correlations Paper__corr_multi100.csv | Analysis-ready Data__Replication and Reproduction Papers__paper_status_tracking.csv | Analysis-ready Data__Replication and Reproduction Papers__pr_outcomes.csv | Change Logs__changes_pr_data-form.csv | ... +41 more
lead_harvest_covid_online_2021_route_to_coverage_denominator_catalog	source_family_raw_viability	lead_harvest:covid_online_2021	The Generalizability of Online Experiments Conducted During the COVID-19 Pandemic	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	possible_candidate_needs_custom_review	mirrored_high_priority_non_table_artifacts_need_custom_review. Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	medium	Mirrored artifacts exist, but no current parser output exposes row-level effect/N.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	est_study_1.rds | est_study_10.rds | est_study_11.rds | est_study_12.rds | est_study_2.rds | ... +7 more
raw_corpus_nakagawa_yang_route_to_coverage_denominator_catalog	source_family_raw_viability	raw_corpus:nakagawa_yang	Nakagawa/Yang ecology and evolution in-silico replication corpus	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	possible_candidate_needs_custom_review	mirrored_high_priority_non_table_artifacts_need_custom_review. Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	medium	Mirrored artifacts exist, but no current parser output exposes row-level effect/N.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	dat_processed_SMD.csv | dat_processed_Zr.csv | dat_processed_lnRR.csv | ft089.csv | ft143.csv | ... +3 more
raw_corpus_political_science_unlock_route_to_coverage_denominator_catalog	source_family_raw_viability	raw_corpus:political_science_unlock	Political Science Unlock	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	possible_candidate_needs_custom_review	mirrored_high_priority_non_table_artifacts_need_custom_review. Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	medium	Mirrored artifacts exist, but no current parser output exposes row-level effect/N.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	aea_trials.csv | experimental-analyses.Rds | master_sheet_input.tab | master_sheet_output.tab
corpus_db_many_labs_5_overarching_analyses_route_to_coverage_denominator_catalog	source_family_raw_viability	corpus_db_many_labs_5_overarching_analyses	Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	possible_candidate_needs_custom_review	mirrored_high_priority_non_table_artifacts_need_custom_review. Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	medium	Mirrored artifacts exist, but no current parser output exposes row-level effect/N.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	Summary Effect Sizes - Single Effects (including Orig and RPP).csv
family_ying_2023_pilot_full_scale_trials_route_to_coverage_denominator_catalog	source_family_raw_viability	family::ying_2023_pilot_full_scale_trials	Ying 2023 pilot-full-scale trials	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	possible_candidate_needs_custom_review	mirrored_high_priority_non_table_artifacts_need_custom_review. Mirrored high-priority artifacts exist, but they are not current table-result parser outputs.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_high_priority_non_table_artifacts_need_custom_review	medium	Mirrored artifacts exist, but no current parser output exposes row-level effect/N.	Inspect code/workbook/archive artifacts for generated result tables or paired source files.	ying_epmc_abstract_scan_first60.csv
corpus_db_loopr_coding_workbook_route_to_coverage_denominator_catalog	source_family_raw_viability	corpus_db_loopr_coding_workbook	Life Outcomes of Personality Replication Project (LOOPR)	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	uncertain_candidate_needs_review	mirrored_lower_priority_artifacts_need_review. Mirrored artifacts exist with lower-priority parser signals.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_lower_priority_artifacts_need_review	low	Mirrored lower-priority artifacts exist but have not produced current row-level effect/N.	Review only if higher-priority candidates are exhausted or the parent source family is known-good.	
corpus_db_sports_science_supplemental_outcomes_table_route_to_coverage_denominator_catalog	source_family_raw_viability	corpus_db_sports_science_supplemental_outcomes_table	Estimating the Replicability of Sport Science Research	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	uncertain_candidate_needs_review	mirrored_lower_priority_artifacts_need_review. Mirrored artifacts exist with lower-priority parser signals.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_lower_priority_artifacts_need_review	low	Mirrored lower-priority artifacts exist but have not produced current row-level effect/N.	Review only if higher-priority candidates are exhausted or the parent source family is known-good.	
github_ying531_awesome_replicability_data_route_to_coverage_denominator_catalog	source_family_raw_viability	github:ying531/awesome-replicability-data	ying531/awesome-replicability-data | ying531/awesome-replicability-data time_honest package	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	uncertain_candidate_needs_review	mirrored_lower_priority_artifacts_need_review. Mirrored artifacts exist with lower-priority parser signals.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_lower_priority_artifacts_need_review	low	Mirrored lower-priority artifacts exist but have not produced current row-level effect/N.	Review only if higher-priority candidates are exhausted or the parent source family is known-good.	
zenodo_15552808_route_to_coverage_denominator_catalog	source_family_raw_viability	zenodo:15552808	Heyard and Held heterogeneity_in_replication_projects code/data repository	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	uncertain_candidate_needs_review	mirrored_lower_priority_artifacts_need_review. Mirrored artifacts exist with lower-priority parser signals.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	mirrored_lower_priority_artifacts_need_review	low	Mirrored lower-priority artifacts exist but have not produced current row-level effect/N.	Review only if higher-priority candidates are exhausted or the parent source family is known-good.	
lead_harvest_psa_006_trolley_route_to_coverage_denominator_catalog	source_family_raw_viability	lead_harvest:psa_006_trolley	PSA006 trolley multi-lab replication package	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	not_workable_from_current_extraction	parsed_rows_but_no_effect_n_signal. Rows were parsed, but effect and N evidence was not copied from the raw table.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	271	271	parsed_rows_but_no_effect_n_signal	high	Parsed row grain exists, but current extraction did not copy effect/N evidence.	Demote or repair parser signals; do not treat the parsed rows as Figure 1 result rows without manual evidence.	trolley_infosheet.csv
doi_10_31222_osf_io_8psw2_remain_context_or_rejected_no_alternate_subplot	source_family_raw_viability	doi:10.31222/osf.io/8psw2	Successes and Failures of Replications based on OSF Registries	steps/corpus_results/figure1/figure1-raw-viability-summary.tsv	not_currently_workable	mirrored_or_metadata_only_no_result_signal. The current mirror/sample pass did not expose result-table evidence.	remain_context_or_rejected_no_alternate_subplot			0	0	mirrored_or_metadata_only_no_result_signal	medium	Current mirror/sample pass did not expose a row-level value route.	No immediate Figure 1 extraction work from current mirrored evidence.	
title_a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies_remain_context_or_rejected_no_alternate	review_receipt	title:a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies	title:a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	The Nature Ecology and Evolution article is a large in-silico replicability analysis rather than a direct independent original-versus-replication corpus. It may be useful as cross-field context or a manual claim-replication target, but should not advance as a Figure 1 pair source without a stricter mapping review.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_a_large_scale_in_silico_replication_of_ecological_and_evolutionary_studies.json
title_a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2_remain_context_or_rejected_no	review_receipt	title:a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2	title:a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a critique/reanalysis of Many Labs 2 culture-moderation methods. Many Labs 2 itself is already the source-family candidate; this preprint is contextual and should not create a separate Figure 1 source-family row.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_a_problem_in_theory_and_more_measuring_the_moderating_role_of_culture_in_many_labs_2.json
title_a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics_r	review_receipt	title:a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics	title:a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a scoping review and live-table resource about reproducibility metrics and large-scale projects. It is useful for context or seed discovery, but it is not itself an original/replication pair corpus.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_a_scoping_review_on_metrics_to_quantify_reproducibility_a_multitude_of_questions_leads_to_a_multitude_of_metrics.json
title_additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_b	review_receipt	title:additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_by_comp	title:additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_by_comp	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a supplementary appendix for a statistical-interpretation methods paper. It may be general methodological context, but it does not expose original/replication pair rows or a replication source family.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_additional_file_1_of_semantic_and_cognitive_tools_to_aid_statistical_science_replace_confidence_and_significance_by_comp.json
title_additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_synthe	review_receipt	title:additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_syntheses_of	title:additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_syntheses_of	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a search-strategy supplement for the REPRISE protocol. It is protocol/context material, not a result-bearing source-family artifact or pair table.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_additional_file_1_of_the_reprise_project_protocol_for_an_evaluation_of_reproducibility_and_replicability_in_syntheses_of.json
title_advancing_the_cognitive_science_of_religion_through_replication_and_open_science_remain_context_or_rejected_no_alt	review_receipt	title:advancing_the_cognitive_science_of_religion_through_replication_and_open_science	title:advancing_the_cognitive_science_of_religion_through_replication_and_open_science	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This article discusses replication and open science in cognitive science of religion and mentions the Cross-Cultural Religious Replication Project, but it is not itself a result-bearing source family or pair table.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_advancing_the_cognitive_science_of_religion_through_replication_and_open_science.json
title_aea_rct_registry_route_to_coverage_denominator_catalog	review_receipt	title:aea_rct_registry	title:aea_rct_registry	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	AEA RCT Registry is a real registry/database and useful for preregistration and denominator work, but this lead does not itself expose Figure 1 original/replication pair rows.	route_to_coverage_denominator_catalog	plot1d_source_object_coverage_denominator		0	0	source_context_may_help_denominator_or_discovery	low	This can help denominator/search coverage but does not expose a quantitative subplot row.	Catalog under coverage/context; do not parse as Figure 1A.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_aea_rct_registry.json
title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_remain_context_or_	review_receipt	title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis	title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is a tutorial/methods article about analyzing multilab replication projects with IPD meta-analysis. It uses an RRR as an example but is not itself a source-family corpus or result table.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis.json
title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial_remain_	review_receipt	title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial	title:analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This OSF preprint is the tutorial/version of the same IPD meta-analysis methods article. It is context for analysis methods, not a new Figure 1 source family.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_analyzing_data_of_a_multilab_replication_project_with_individual_participant_data_meta_analysis_a_tutorial.json
title_artificial_intelligence_in_psychology_research_remain_context_or_rejected_no_alternate_subplot	review_receipt	title:artificial_intelligence_in_psychology_research	title:artificial_intelligence_in_psychology_research	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	The preprint re-replicates Many Labs 2 studies using GPT-3.5. It may be useful context for LLM-based replications, but it is not a primary human original-versus-follow-up source family under the current Figure 1 gate.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_artificial_intelligence_in_psychology_research.json
title_author_response_investigating_the_replicability_of_preclinical_cancer_biology_remain_context_or_rejected_no_altern	review_receipt	title:author_response_investigating_the_replicability_of_preclinical_cancer_biology	title:author_response_investigating_the_replicability_of_preclinical_cancer_biology	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	This is the eLife author response attached to the RPCB results article. The RPCB source family and final-analysis data are handled separately, so this response should remain context only.	remain_context_or_rejected_no_alternate_subplot			0	0	context_only_no_current_subplot_route	medium	The source may be useful context, but no alternate subplot row route is supported by the receipt.	Leave as context unless later source bytes expose row-level values.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_author_response_investigating_the_replicability_of_preclinical_cancer_biology.json
title_barnett_wren_biomedical_ci_scrape_through_bear_route_to_missing_value_repair_worklist	review_receipt	title:barnett_wren_biomedical_ci_scrape_through_bear	title:barnett_wren_biomedical_ci_scrape_through_bear	steps/review_cue/figure1_search_leads/reviewcue-routing-table-figure1_search_leads.tsv	keep_as_context_source	The tracker explicitly says this is a background comparator unless N can be recovered. It is not a Figure 1 original/replication pair corpus.	route_to_missing_value_repair_worklist	plot1d_source_object_coverage_denominator	missing_n_or_value_repair_worklist	0	0	source_mentions_missing_values_or_N	low	The previous decision already points to missing N/effect values rather than irrelevance.	Keep as repair/context only until row-level values are found.	steps/review_cue/figure1_search_leads/receipts/keep_as_context_source/title_barnett_wren_biomedical_ci_scrape_through_bear.json
