source_label,source_corpus,source_key,known_paper_units,known_test_rows,rows_with_direct_journal_provenance,rows_with_paper_grouping,rows_with_paper_level_dn,rows_with_explicit_main_selector,rows_with_implemented_paper_collapse,rows_currently_plotted,plot_inclusion_status,status_label,why_detail,display_label,citation_key
Brodeur economics corpus,economics_brodeur_2024,economics_brodeur_2024,217,10071,217,217,217,0,217,217,included,causal-test corpus but not main-result selected,Rows are RCT/IV/DID table test statistics from published economics articles with N; no flag for the paper's main result.,Brodeur economics corpus,brodeur2020
MetaLab,metalab,metalab,202,926,0,202,202,0,188,188,included,curated meta-analysis database,"Has D/N and peer_reviewed metadata, but effect rows are selected through meta-analytic databases rather than direct paper main-result extraction.",MetaLab,bergmann2018metalab
Esarey/Wu political science main findings,esarey_wu_2016_political_science_main_findings,esarey_wu_2016_political_science_main_findings,167,167,167,167,167,167,167,167,included,author-coded political-science main findings,Sampled political-science articles with author-coded main findings; parser keeps the authors' model==1 and number_of_dv==1 restriction.,Esarey/Wu political science main findings,esareyWu2016
Linden focal effects,linden_2024_focal_effects,linden_2024_focal_effects,158,158,158,158,158,158,158,158,included,focal psychology sample,Random psychology-paper sample with author-coded focal effects; focal rows are plotted while random-effect rows are retained as comparator only.,Linden focal effects,linden2024publicationBiasPsychology
Schäfer/Schwarz preregistered psychology articles,schaefer_schwarz_2019_with_prereg,schaefer_schwarz_2019_with_prereg,89,89,89,89,89,89,89,89,included,preregistered key-effect psychology sample,Preregistered psychology article sample from the same public corpus; key-question effects are D/N-ready and plotted separately from the non-preregistered sample.,Schäfer/Schwarz preregistered psychology articles,schaefer2019meaningfulness
Yun RCT numerical extraction,yun_llm_meta_analysis,yun_llm_meta_analysis,85,401,85,85,85,0,85,85,included,ICO rows need selector,"Rows are intervention-comparator-outcome numerical RCT extractions from PMC full text; no primary-outcome flag, but Evidence Inference/SPIRIT metadata could support a heuristic selector.",Yun RCT numerical extraction,yun2024llmExtraction
Havránek gasoline-income meta-analysis,havranek_gasoline_income,havranek_gasoline_income,50,286,0,50,50,0,50,50,included,meta-analysis-mediated,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",Havránek gasoline-income meta-analysis,havranekGasolineIncomeData
academic nudge journals,dellavigna_linos_2022,dellavigna_linos_2022,43,106,43,43,43,0,43,43,included,treatment-arm selected but not primary-outcome flagged,"Rows are intervention/treatment-arm effects with outcome and arm fields; mostsig can identify the most significant arm, not necessarily the main prespecified result.",academic nudge journals,dellavigna2022
Havránek EIS,havranek_eis,havranek_eis,169,2717,0,169,169,0,33,33,included,meta-analysis-mediated,"Rows are source estimates curated for meta-analyses; some publication flags exist, but not paper-main-result flags.",Havránek EIS,havranek2015
Havránek substitution meta-analysis,havranek_substitution,havranek_substitution,33,566,0,33,33,0,33,33,included,meta-analysis-mediated,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",Havránek substitution meta-analysis,havranek2015
Havránek Armington meta-analysis,havranek_armington,havranek_armington,24,1383,0,24,24,0,24,24,included,meta-analysis-mediated,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",Havránek Armington meta-analysis,havranekArmingtonData
antidepressant journal rows,turner_antidepressants_2022,turner_antidepressants_2022,23,35,23,23,23,23,23,23,included,clean main efficacy calibration,Rows are trial antidepressant efficacy effects; journal rows can be compared to FDA/regulatory rows.,antidepressant journal rows,turner2008
RPCB cancer biology original effects,rpcb_cancer_biology,rpcb_cancer_biology,20,135,20,20,20,20,20,20,included,project-selected key effects,Original published-paper effects selected for replication; close to key-claim effects but small and replication-project selected rather than broad journal-sampled.,RPCB cancer biology original effects,errington2021
Havránek Frisch extensive-margin meta-analysis,havranek_frisch_extensive,havranek_frisch_extensive,16,367,0,16,16,0,16,16,included,meta-analysis-mediated,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",Havránek Frisch extensive-margin meta-analysis,havranekFrischData
Gechert/Havránek sigma meta-analysis,havranek_sigma,havranek_sigma,6,51,0,6,6,0,6,6,included,meta-analysis-mediated,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",Gechert/Havránek sigma meta-analysis,gechert2022
Havránek Frisch intensive-margin meta-analysis,havranek_frisch_intensive,havranek_frisch_intensive,4,36,0,4,4,0,4,4,included,meta-analysis-mediated,"Source estimates have publication flags and observation counts, but rows are curated through meta-analysis datasets rather than direct journal main-result extraction.",Havránek Frisch intensive-margin meta-analysis,havranekFrischData
statcheck psychology,psychology_statcheck,psychology_statcheck,13889,,13889,13889,13889,0,0,0,not_included,not main-result selected,All extractable APA test statistics from journal articles; no primary/main/treatment-result flag.,statcheck psychology corpus,hartgerink2016
ClinicalTrials.gov registry-results comparator,ctgov_finer_grained_kg,ctgov_finer_grained_kg,7722,108196,0,7722,7722,0,7722,0,not_included,registry-results comparator,"The finer-grained ClinicalTrials.gov results extraction has primary registry-result D/N proxies for 7,722 trial/outcome units. It is not included because Plot 2 is a published-paper endpoint plot, while these rows are registry results rather than journal-published article endpoints.",ClinicalTrials.gov registry-results comparator,du2024
GWAS Catalog,gwas_catalog,gwas_catalog,6711,1090919,0,6711,6711,0,0,0,not_included,excluded comparator,Paper-linked curated genome-wide-significant association hits; not sampled article-level journal treatment/results rows.,GWAS Catalog,yengo2022
Olivier 2024 cardiovascular RCTs,olivier_2024_cardio_rcts,olivier_2024_cardio_rcts,344,,344,344,263,344,0,0,not_included,author-request target,344 major cardiovascular RCTs with primary endpoints and 263 superiority effect-size rows reported by article; no public row-level CSV located.,Olivier 2024 cardiovascular RCTs,olivier2024cardioRcts
Linden random-effect comparator rows,linden_2024_random_effects,linden_2024_random_effects,158,158,158,158,158,0,158,0,not_included,random-effect comparator from an included source,"The Linden random-effect rows cover the same 158 sampled psychology papers as the included focal-effect rows, but they are deliberately non-focal within-paper comparator effects. Plot 2 keeps the author-coded focal effects and excludes these random-effect counterparts.",Linden random-effect comparator rows,linden2024publicationBiasPsychology
Aczel negative-claim t-test comparator,aczel_2018_negative_claim_ttests,aczel_2018_negative_claim_ttests,30,62,30,30,30,0,30,0,not_included,comparator-only negative-claim audit,"Public Aczel et al. null-hypothesis support audit yields 62 usable t-test D/N rows across 30 paper units after applying the authors' strict analyzable-subset rule. It is not included because the selection rule targets negative or nonsignificant claims, not focal published-paper endpoints.",Aczel negative-claim t-test comparator,
Szucs & Ioannidis 2017,szucs_ioannidis_2017,szucs_ioannidis_2017,0,26796,0,0,0,0,0,0,not_included,row-level tests only for now,Published journal test-statistic corpus; no decoded paper grouping yet and no primary/main-result flag.,Szucs and Ioannidis test-statistic corpus,szucs2017
AACT x PubMed primary outcomes,aact_pubmed_primary_outcomes,aact_pubmed_primary_outcomes,,,0,0,0,0,0,0,not_included,not started,Potential large medical proxy: primary registry outcome rows linked to PMIDs; not journal-extracted article results and registry-publication disagreements are expected.,AACT x PubMed primary outcomes,du2024
ArelBundock political science via BEAR,arelbundock_political_science_bear,arelbundock_political_science_bear,,,0,0,0,0,0,0,not_included,meta-analysis-mediated,"Rows come through peer-reviewed meta-analyses; underlying source rows may be journals, working papers, or reports and no main-result flag exists.",ArelBundock political science via BEAR,arelbundock2026underpowered
