plot_name,plot_inclusion_status,source_label,corpus_what_it_is,what_it_is_why_possible_candidate,confirmed_fields,backing_file,rows_considered,rows_preregistered_equivalent,rows_with_public_local_backing,rows_with_extractable_DN,rows_with_non_retracted_source,rows_contributed,rows_left_out_within_source,why,why_in_out,display_label,source_key,citation_key,plot_rows_made_in
Plot 3,included,ManyBabies 1 infant-directed speech pooled preregistered row,ManyBabies 1 pooled infant-directed-speech versus adult-directed-speech preference project.,ManyBabies 1 was considered because the project page documents a large preregistered many-lab infant study and the AMPPS article reports the pooled primary infant-directed-speech preference effect with N and Cohen's d.,"Known: one pooled primary IDS-versus-ADS effect. Confirmed: preregistered many-lab project: yes; focal pooled primary effect: yes; N: 2,329 babies tested; reported Cohen's d: 0.35; Plot 1 duplicate check: no local ManyBabies 1 pair row found.",ManyBabies 1 project page and ManyBabies Consortium 2020; DOI 10.1177/2515245919900809,1,1,1,1,1,1,0,included as a pooled preregistered many-lab primary result with N and reported D,"Included: one pooled ManyBabies 1 infant-directed-speech preference row enters. Lab, method, age, and language moderator rows are deliberately not added to avoid nested non-independent Plot 3 rows.",ManyBabies 1 IDS pooled row,manybabies_1_infant_directed_speech_pooled_preregistered_row,manyBabies2020Ids,1
Plot 3,included,ManyClasses 1 feedback pooled preregistered row,ManyClasses 1 pooled immediate-versus-delayed-feedback classroom-learning project.,"ManyClasses 1 was considered because the article documents a time-stamped preregistration, public materials/data/scripts, and a single pooled primary classroom-learning estimate for immediate versus delayed feedback timing.","Known: one pooled primary feedback-timing effect across 38 classes. Confirmed: preregistration: yes (OSF registration dated July 22, 2019); source focal selector: overall feedback-timing estimate; N: 2,081 participating students; standardized pooled effect: Δz = 0.002 with 95% HDI [-0.05, 0.05]; support status: no.",Fyfe et al. 2021; DOI 10.1177/25152459211027575,1,1,1,1,1,1,0,included as a pooled preregistered project result with a standardized Δz effect and source-reported N,Included: one pooled ManyClasses 1 immediate-versus-delayed-feedback row enters. Class-level estimates and moderator rows are deliberately not added to avoid nested non-independent Plot 3 rows.,ManyClasses 1 feedback pooled row,manyclasses_1_feedback_pooled_preregistered_row,fyfe2021manyclasses1,1
Plot 3,included,PSA-CR002 cognitive reappraisal preregistered hypotheses,Psychological Science Accelerator COVID-19 cognitive-reappraisal project with article-reported preregistered hypothesis rows.,"PSA-CR002 was considered because the article explicitly labels Table 2 as effect sizes and statistics for each preregistered hypothesis, while Table 3 reports the relevant arm sample sizes after preregistered exclusions.","Known: 12 Table 2 preregistered hypothesis rows, collapsed to 1 paper dot under the one-dot-per-paper rule. Confirmed: analytic preregistration: yes (12); source result selector: Table 2 preregistered hypothesis rows; reported Cohen's d: yes (12); arm/sample N: yes from Table 3 (12); support status: yes.",Wang et al. 2021 Tables 2-3; DOI 10.1038/s41562-021-01173-x,12,12,12,12,12,1,0,"included because it has explicit preregistered hypothesis rows, reported D, and source-reported arm Ns",Included: 12 preregistered PSA-CR002 Table 2 hypotheses are represented by one paper median. The signs of the reported effects are hypothesis-direction-coded in the article; the plotted D axis uses magnitudes.,PSA-CR002 cognitive reappraisal hypotheses,psa_cr002_cognitive_reappraisal_preregistered_hypotheses,wang2021psacr002,1
Plot 3,included,PSA004 true-belief/Gettier pooled preregistered row,Psychological Science Accelerator true-belief/Gettier cross-cultural conceptual-replication project.,"PSA004 was considered because the public PSA project page and Hall et al. article report a pooled preregistered cross-cultural contrast for standard justified true belief versus Gettier-type cases, with N and an odds ratio.","Known: one pooled standard JTB-versus-Gettier project effect. Confirmed: preregistered PSA project: yes; focal pooled effect: yes; N: 4,724; OR: 1.86; D conversion: yes via Chinn log-OR-to-d.",PSA004 project page and Hall et al. 2024; DOI 10.1177/25152459241267902,1,1,1,1,1,1,0,included as a pooled preregistered project effect with N and an OR-to-D conversion,"Included: one pooled PSA004 standard JTB-versus-Gettier row enters. This is related to, but not identical with, the Darrel-vignette PSA004 Plot 1 replication-pair rescue; the source catalog flags the cross-plot overlap risk.",PSA004 true-belief/Gettier pooled row,psa004_true_belief_gettier_pooled_preregistered_row,hall2024psa004Turri,1
Plot 3,not_included,AACT x PubMed registered primary outcomes,"Registered biomedical primary-outcome publication linkage, not analytic preregistration.",ClinicalTrials.gov/AACT primary-outcome linkages were considered because trial registration can identify focal biomedical outcomes at scale.,"Known: 2,720 registered primary-outcome rows in the earlier audit. Confirmed: trial registration: yes; analytic preregistration plan: no/insufficient; local Plot 3 D/N result rows: no.",documented in moved appendix material,2720,0,0,0,2720,0,2720,"considered as a biomedical comparator, but registration is not the same as analytic preregistration and the current layer is not yet a clean preregistered-results source family","Not included: registry metadata can support a comparator layer, but these rows are not yet analytic-preregistration result rows on the shared D/N axis.",AACT x PubMed registered primary outcomes,aact_x_pubmed_registered_primary_outcomes,du2024,0
Plot 3,not_included,Allen and Mehler 2019 Registered Reports support-rate review,Registered Reports support-rate review used to estimate how often published RR hypotheses are unsupported.,Allen and Mehler looked like a Plot 3 rescue source because the article surveyed published biomedical and psychological Registered Reports and counted clearly stated a priori hypotheses.,"Known from the article: 127 published RRs were surveyed, 113 were included, and the authors extracted 296 a priori hypotheses (153 replication-attempt hypotheses and 143 original-research hypotheses). Confirmed: Registered Report provenance: yes; support/null status: yes; exact D/N result statistics: no.",Allen and Mehler 2019 article and S1 Data; DOI 10.1371/journal.pbio.3000246,113,113,113,0,113,0,113,"not included because it is a support-rate/count dataset, not a row-level effect-size and N table","Not included: this is useful RR-universe evidence and overlaps conceptually with Scheel, but the public article/supporting data count supported versus unsupported hypotheses rather than exposing the exact statistic, effect size, and analytic N for each hypothesis.",Allen/Mehler RR support-rate review,allen_and_mehler_2019_registered_reports_support_rate_review,allenMehler2019OpenScience,0
Plot 3,not_included,Brodeur et al. 2024 preregistered/PAP economics table tests,"Top-journal economics table-test extraction with row-level preregistration, pre-analysis-plan, and PAP-power flags in the local raw notes.",The Brodeur economics corpus was rechecked because it is the other local source that produces thousands of preregistration-flagged D/N rows: many extracted table tests are from studies marked as preregistered or having a pre-analysis plan.,"Known locally: 10,071 extracted economics test rows, 3,724 D/N-ready rows with preregistration/PAP/PAP-power flags, collapsing to 70 papers. Confirmed: preregistration flag rows: 3,547; pre-analysis-plan flag rows: 2,006; PAP-power flag rows: 1,720; D/N: yes; focal/main-result selector: no; exact test-level PAP mapping: no.",data/derived/corpus_candidates/candidate_d_n_rows.csv.gz,10071,3724,10071,3724,10071,0,3724,not included because these are preregistration/PAP-flagged extracted table tests without a paper-level focal or main-result selector,"Not included: the preregistration/PAP flags are real and account for 3,724 D/N-ready extracted table-test rows, but the flags are not enough to prove that each coefficient/test is the exact prespecified confirmatory hypothesis. No focal/main-result selector is available, so this remains a sensitivity lane rather than strict Plot 3 evidence.",Brodeur preregistered/PAP table tests,brodeur_et_al_2024_preregistered_pap_economics_table_tests,brodeur2020,0
Plot 3,not_included,COMPare prespecified clinical-trial outcome audit,"Outcome-reporting audit for clinical trials in top medical journals, parsed into prespecified and non-prespecified outcome rows.","COMPare looked like a missing Plot 3 source because the local parser recovers outcome-level rows and explicitly separates prespecified primary outcomes, prespecified secondary outcomes, and non-prespecified published outcomes.","Known locally: 72 trial reports and 1,171 outcome rows: 89 prespecified primary, 660 prespecified secondary, 422 non-prespecified publication outcomes. Confirmed: prespecified-outcome status: yes; trial/publication provenance: yes; effect estimate and N fields: no.",data/derived/corpus_candidates/compare_trials/compare_trials_outcome_rows.csv,1171,749,1171,0,1171,0,1171,"not included because it audits whether prespecified outcomes were reported, but does not contain effect estimates or analytic sample sizes","Not included: the prespecified-outcome labels are exactly the kind of audit trail we wanted to check, but the parsed rows stop at outcome text/reporting status. There is no D/N layer to plot.",COMPare prespecified outcome audit,compare_prespecified_clinical_trial_outcome_audit,,0
Plot 3,not_included,CliniFact published trial primary-outcome rows,Published clinical-trial reports linked to ClinicalTrials.gov primary outcomes.,"CliniFact was rechecked because these rows are journal-side clinical trial primary-outcome proxies with D/N on disk, so they are closer to published preregistered work than raw registry rows.","Known locally: 339 published trial primary-outcome rows, 339 D/N-ready rows. Confirmed: journal provenance: yes; primary-outcome registry linkage: yes; D/N: yes; article-level analytic preregistration/hypothesis text: not confirmed.",data/derived/corpus_candidates/candidate_d_n_papers.csv,339,0,339,339,339,0,339,not included under the current narrow Plot 3 rule; retained in Plot 2 as published clinical-trial primary-outcome evidence,"Not included here: 339 D/N rows exist and are already represented in the published-paper endpoint surface. The current Plot 3 gate requires explicit analytic preregistered confirmatory rows, not only registry-linked primary outcomes.",CliniFact published trial primary-outcome rows,clinifact_published_trial_primary_outcome_rows,zhang2025clinifact,0
Plot 3,not_included,ClinicalTrials.gov API registered outcome-result universe,"ClinicalTrials.gov API v2 result records parsed into registered primary, secondary, and other pre-specified two-group outcome-analysis rows with API denominators.","ClinicalTrials.gov is the scale source. The official API exposes result outcome measures, comparison groups, denominators, measurements, p-values, and ratio estimates in one JSON record. A dedicated local API pull now recovers the real-world registered-results universe rather than only the older p-value-proxy KG sidecar.","Known locally from the API pull: 190,836 registered outcome-analysis D/N rows across 17,726 randomized interventional trials, collapsed to 17,726 one-trial median rows for non-inflated plotting. The row-level file includes 40,587 primary-outcome rows; 55,321 rows use direct ratio/event-count conversion and 135,515 use a p-value-to-D proxy with actual API group denominators. Older local sidecars remain available: 7,722 KG trial medians and 3,149 cleaner phase-2+ primary randomized trial medians.",data/derived/effect_inflation_dataset/plot3_ctgov_api_registered_outcome_ratio_event_rows.csv.gz; data/derived/effect_inflation_dataset/plot3_ctgov_api_registered_trial_medians.csv; data/derived/corpus_candidates/candidate_d_n_papers.csv,190836,17726,190836,190836,190836,0,190836,"not included because this is a registered outcome-result universe, not the current standalone published analytic-preregistration layer","Not included in strict Plot 3: the 190,836 API rows are real registered medical outcome results and solve the scale problem, but they are registry-result rows rather than paper-level analytic preregistration rows. They should be plotted as a clinical registered-results field layer or as one-trial medians, not silently merged with Registered Reports and matched psychology preregistration corpora.",ClinicalTrials.gov API registered outcome-result universe,clinicaltrials_gov_api_registered_outcome_result_universe,du2024,0
Plot 3,not_included,Communication privacy preregistered replication corpus,Preregistered three-study communication privacy replication with public data and analysis artifacts.,"The communication privacy corpus was rechecked because it has an explicit preregistration PDF, local cleaned data, and many SEM/path outputs in the replication-pair file.",Known locally: 31 promoted/staged path rows and 8 downloaded source files. Confirmed: preregistration: yes; D/N or path-like rows: yes in Plot 1 context; standalone confirmatory result table for Plot 3: no; metric conversion policy: unresolved.,data/derived/replication_pairs/harvest/staged/communication_privacy_2025__stage.csv,31,31,31,31,31,0,31,not included because those rows currently serve as replication-pair/path evidence and need a separate SEM/path metric policy,"Not included: the preregistered corpus is real and local, but adding the path rows here would mix SEM/path metrics with the D/N confirmatory-result layer and double-count Plot 1-adjacent evidence.",Communication privacy preregistered corpus,communication_privacy_preregistered_replication_corpus,masur2025privacy,0
Plot 3,not_included,EGAP Metaketa I information/accountability native ATE rows,Coordinated EGAP Metaketa I information-and-accountability field experiments with a harmonized meta-pre-analysis plan and native ATE tables.,Metaketa I was rechecked because the local GitHub archive contains the CUP Book chapter 11 meta-analysis scripts and tables for the preregistered information/accountability experiments. The pooled primary vote-choice estimate is a strong PAP/native-metric candidate.,"Verified locally in `tab_11.1_main_effects.tex`: the overall vote-choice treatment estimate is 0.003 with SE 0.010, 25,820 observations, and control mean 0.369; good-news and bad-news vote-choice columns report 13,196 and 12,531 observations. Confirmed: coordinated PAP/native primary outcome: yes; N/observations and SE: yes; source-provided standardized D: no.",data/raw/replication_projects/lead_harvest/metaketa_i_2019/github_metaketa_i/metaketa-i-main.zip; CUP_Book/ch11_meta-analysis/tables/tab_11.1_main_effects.tex,1,1,1,0,1,0,1,not included as separate native/component rows because the pooled project dot is now included and component ATE rows need a native-metric lane,"Not included as component/native rows: the pooled Metaketa I paper/project median now enters strict Plot 3. Separate good-news, bad-news, country, and adjusted ATE rows stay staged because mixing them with the pooled row would double-count nested evidence and some component metrics are native clustered ATEs.",EGAP Metaketa I native ATE rows,egap_metaketa_i_information_accountability_native_ate_rows,metaketaIRepo,0
Plot 3,not_included,EGAP Metaketa III natural-resource monitoring native rows,EGAP Metaketa III coordinated natural-resource-monitoring field experiments with public OSF replication materials.,Metaketa III was recovered from the crash notes because the local staged harvest already documents public parent and component replication packages with site-estimate RData and Stata/R payloads.,Known locally: 30 expected native field-experiment rows and 26 downloaded files. Confirmed: public field-experiment replication package: yes; native ATE/site-estimate files: yes; source-provided standardized D/N row table: no.,data/derived/replication_pairs/harvest/staged/metaketa_iii_2021__stage.csv,30,30,30,0,30,0,30,not included as separate native/component rows because the pooled standardized-index project dot is now included,Not included as component/native rows: the pooled Metaketa III paper/project median now enters strict Plot 3. Site-specific ATEs and native resource outcomes such as forest cover and pollution concentration stay staged for a native-metric or component panel.,EGAP Metaketa III native rows,egap_metaketa_iii_natural_resource_monitoring_native_rows,metaketaIIIProject,0
Plot 3,not_included,EGAP Metaketa IV community-policing native rows,EGAP Metaketa IV coordinated community-policing field experiments with integrated public OSF result outputs.,Metaketa IV was recovered from the crash notes because the local staged harvest includes an integrated OSF results tree with study-estimate and meta-estimate RDS outputs.,Known locally: 36 expected native field-experiment rows and 21 downloaded files. Confirmed: public field-experiment result outputs: yes; native study/meta estimates: yes; source-provided standardized D/N row table: no.,data/derived/replication_pairs/harvest/staged/metaketa_iv_2021__stage.csv,36,36,36,0,36,0,36,not included as separate native/component rows because the pooled standardized-index project dot is now included,"Not included as component/native rows: the pooled Metaketa IV paper/project median now enters strict Plot 3. Country/site rows, police rows, cluster-level rows, and native administrative outcomes stay staged to avoid nested non-independent evidence in the main layer.",EGAP Metaketa IV native rows,egap_metaketa_iv_community_policing_native_rows,metaketaIVProject,0
Plot 3,not_included,ERN/Pe RRR OpenNeuro and OSF analysis hubs,OpenNeuro/OSF materials for an EEG Registered Replication Report.,ERN/Pe looked eligible because it is a Registered Replication Report with public OpenNeuro raw EEG and OSF analysis artifacts.,Known: OpenNeuro raw EEG plus OSF summary/analysis artifacts are local. Confirmed: preregistered replication status: yes; replication-side native metrics: yes; compact original-vs-replication D/N row table: no.,data/derived/replication_pairs/harvest/staged/ern_pe_rrr_openneuro__stage.csv,1,1,0,0,1,0,1,not included because it is currently a native EEG/replication-side source rather than a compact D/N result corpus,"Not included: source is real and local, but it lacks a compact D/N table and the original-side result is missing from the local artifact set.",ERN/Pe RRR OpenNeuro/OSF hubs,ern_pe_rrr_openneuro_and_osf_analysis_hubs,ernPeRrrOpenNeuro,0
Plot 3,not_included,FORRT FReD / Replication Database,Replication Database/FReD original-replication pairs and original-side published target claims.,FReD was rechecked because it is a large replication database and the local clean export contributes many D/N rows to the replication and published-result layers.,Known locally: 843 FReD pair rows in the replication-pair file and 796 original published-target D/N rows in the published corpus. Confirmed: D/N: yes; original-replication pairing: yes; analytic preregistration flag for each source result: no.,data/derived/corpus_candidates/candidate_d_n_papers.csv,843,0,843,843,843,0,843,not included because FReD is a replication-pair database rather than a preregistered-results corpus,Not included: FReD is already represented through Plot 1 pair evidence and Plot 2 original-target published evidence. The clean export does not make those rows standalone preregistered confirmatory results.,FORRT FReD / Replication Database,forrt_fred_replication_database,,0
