table_name	column_name	data_type	required_level	allowed_values	definition	coding_rules	example	qa_checks
source_access.tsv	access_role	category	required	landing_page | direct_download | api | mirrored_file | file_member | source_file_or_catalog | user_upload | derived_table	Role of this access route.	Use file_member for files inside archives.	direct_download	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access.tsv	remote_url	url	conditional		Direct web URL when available.	Prefer direct file/API URL over landing page when it can reproduce bytes.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access.tsv	api_url	url	optional		API URL used to fetch metadata or files.	Use when data came from API rather than browser.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access.tsv	final_url	url	optional		Final URL after redirects.	Keep distinct from remote_url so DOI/publisher redirect chains remain auditable.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access.tsv	http_status	string	optional		HTTP status code or API status from retrieval attempt.	Use numeric HTTP status when available; leave blank for local-only files.		Review for consistency with the field definition and coding rules.
source_access.tsv	redirect_chain	string	optional		Redirect chain observed during acquisition.	Use pipe-delimited URLs or compact JSON; keep TSV-safe.		Review for consistency with the field definition and coding rules.
source_access.tsv	host	string	optional		Host/domain of final retrieval route.	Useful for per-host retry, policy, and blocker audits.		Review for consistency with the field definition and coding rules.
source_access.tsv	local_path	path	conditional		Repo-relative local mirror path.	Required when file is mirrored locally.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
source_access.tsv	file_member_path	path	conditional		Path of a file inside a zip/tar/repository.	Use for archive members or package internal files.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
source_access.tsv	content_type	string	recommended		File or response type.	Examples: csv, tsv, pdf, zip, html, json, dta, rds.		Review for consistency with the field definition and coding rules.
source_access.tsv	file_sha256	string	conditional		SHA-256 checksum of local file.	Required for mirrored files unless impractical.		Review for consistency with the field definition and coding rules.
source_access.tsv	file_size_bytes	integer	conditional		Size of local file.	Required for mirrored files unless impractical.		If nonblank, must parse as a numeric value.
source_access.tsv	retrieved_at	datetime	recommended		ISO date/time of retrieval.	Use local current date if exact timestamp unavailable.		Review for consistency with the field definition and coding rules.
source_access.tsv	retrieved_by	string	recommended		Who or what retrieved the file.	Use codex, user, script name, or unknown.		Review for consistency with the field definition and coding rules.
source_access.tsv	retrieval_method	category	required	automated_download | api_download | osf_clone | dataverse_api | github_clone | user_upload | browser_manual_download | existing_local_file | code_execution_output | not_retrieved	How bytes were obtained.	Record manual downloads honestly.	automated_download	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access.tsv	access_status	category	required	local_file_found | downloaded | remote_url_not_cached | local_path_missing | login_required | access_denied | missing_locator | unresolved_locator | blocked | not_applicable	Whether the access path is usable.	Blocked/gated sources still get rows.	local_file_found	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access.tsv	access_strategy	category	recommended	registry_clinicaltrials | pubmed_bridge | pmc_fulltext | crossref_metadata | datacite_metadata | unpaywall_metadata | openalex_metadata | semantic_scholar_metadata | europepmc_metadata | oa_candidate_url | preprint_repository_candidate | direct_journal_or_doi_landing | stable_url | other	Resolver or acquisition route tried for this access row.	Keep direct journal, OA candidate, preprint/repository, registry, and metadata routes separate.	preprint_repository_candidate	If nonblank, must be one of allowed_values exactly.
source_access.tsv	source_byte_class	category	recommended	full_article_pdf | full_article_xml | full_article_html | author_manuscript_fulltext | supplement_file | dataset_file | code_file | registry_record_full | pmc_fulltext_xml | pubmed_record_or_abstract | metadata_record | publisher_landing_or_abstract | paywall_or_login_page | captcha_page | access_denied_page | blocked_no_source_object | source_object_unclassified | not_retrieved	Class of bytes or artifact obtained.	Do not count metadata, abstract pages, paywall pages, CAPTCHA pages, or access-denied pages as level 5 unless the plotted value is present on that page.	publisher_landing_or_abstract	If nonblank, must be one of allowed_values exactly.
source_access.tsv	level5_eligible	boolean	recommended		Whether this access object can qualify as strict level 5 after identity review.	True only for value-bearing source objects such as full article, registry record, supplement, data/code, or repository manuscript.	false	Use lowercase true/false.
source_access.tsv	license_url	url	optional		URL or source of license/reuse information.	Use license links from Crossref, repository metadata, PMC, publisher pages, or data package metadata.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access.tsv	license_category	category	recommended	open | restricted | subscription | unknown | not_applicable	Coarse access/reuse category.	Use open only when mirroring/reuse appears allowed; otherwise use restricted, subscription, unknown, or not_applicable.	unknown	If nonblank, must be one of allowed_values exactly.
source_access.tsv	storage_allowed	boolean_or_unknown	recommended		Whether local storage/mirroring is allowed for project use.	Use true/false/unknown; do not infer true from successful download alone.	unknown	Review for consistency with the field definition and coding rules.
source_access.tsv	source_version	category	recommended	version_of_record | accepted_manuscript | author_manuscript | preprint | supplement | registry_record | dataset | code | metadata | unknown	Version/class of the retrieved object.	Distinguish VOR, accepted manuscript, preprint, registry record, supplement, dataset, code, and metadata.	version_of_record	If nonblank, must be one of allowed_values exactly.
source_access.tsv	retrieval_policy_notes	string	optional		Notes on rate limits, TDM policy, license limits, or manual access constraints.	Keep policy facts here; detailed attempts belong in extraction_event.		Review for consistency with the field definition and coding rules.
source_access.tsv	abstract_or_detail_text	string	optional		Short abstract, title, description, registry summary, or landing-page detail extracted during acquisition.	Grounding evidence only; do not treat as original-number verification unless it contains the exact plotted value.	Publisher abstract captured from paywalled DOI page.	Review for consistency with the field definition and coding rules.
source_access.tsv	abstract_or_detail_source_url	url	optional		URL from which abstract_or_detail_text was extracted.	Use the final URL after redirects when available.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access.tsv	paywall_or_login_seen	boolean	recommended		Whether this route returned a paywall or login artifact.	Use with access_barrier and extraction_problem for manual follow-up.	true	Use lowercase true/false.
source_access.tsv	captcha_or_bot_block_seen	boolean	recommended		Whether this route triggered a CAPTCHA or bot-check artifact.	Stop automated retries for that host/object and record as blocked.	false	Use lowercase true/false.
source_access.tsv	preprint_or_repository_candidate	boolean	recommended		Whether this route was a preprint, author manuscript, repository, or institutional archive candidate.	Usually discovered through OpenAlex, Semantic Scholar, Unpaywall, Crossref, Europe PMC, or repository metadata.	true	Use lowercase true/false.
source_access.tsv	access_barrier	string	conditional		Barrier if not locally accessible.	Examples: login, license, JS-only, 403, missing file.		Review for consistency with the field definition and coding rules.
source_access.tsv	access_notes	string	optional		Extra access details.	Keep concise; use extraction_event for procedural details.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	attempt_id	string	required		Stable unique attempt ID.	One row per resolver/API/download attempt or cache hit.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_access_attempt.tsv	source_id	string	required		Foreign key to source.tsv.	The source being resolved or acquired.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_access_attempt.tsv	access_id	string	conditional		Foreign key to source_access.tsv when the attempt produced or checked a source access row.	Leave blank only for rejected candidates not represented in source_access.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_access_attempt.tsv	attempt_group_id	string	recommended		ID grouping attempts for one resolver pass/source target.	Use to connect Crossref/OpenAlex/Unpaywall/etc. fanout for one source.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_access_attempt.tsv	attempt_order	integer	recommended		Order of this attempt within the source resolver chain.	Start at 1 for each source when possible.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	resolver_name	string	recommended		Resolver/plugin name.	Examples: crossref_metadata, openalex_work, unpaywall_doi, pmc_oa.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	resolver_version	string	optional		Resolver/plugin version or code commit.	Keep stable enough to reproduce route behavior.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	resolver_strategy	category	required	registry_clinicaltrials | pubmed_bridge | pmc_fulltext | crossref_metadata | datacite_metadata | unpaywall_metadata | openalex_metadata | semantic_scholar_metadata | europepmc_metadata | oa_candidate_url | preprint_repository_candidate | direct_journal_or_doi_landing | stable_url | other	Resolver/acquisition strategy tried.	Use the same controlled vocabulary as source_access.access_strategy.	openalex_metadata	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access_attempt.tsv	candidate_rank	integer	optional		Rank of candidate within resolver output.	Use 1 for top candidate after ranking.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	candidate_rank_reason	string	optional		Why this candidate was ranked here.	Use match scores, route priority, and license/source-object class.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	candidate_url	url	conditional		Candidate URL requested or considered.	Use DOI/API/OA/preprint/repository URL as attempted.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access_attempt.tsv	candidate_url_source	string	optional		Where the candidate URL came from.	Examples: Crossref link, OpenAlex best_oa_location, Unpaywall oa_location, manual.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	final_url	url	optional		Final URL after redirects.	Keep paywall/landing-page final URL for blockers.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access_attempt.tsv	host	string	optional		Host/domain reached.	Useful for per-host policies and blockers.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	method	string	optional		HTTP/API/file method.	Examples: GET, API JSON, local_file_check.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	http_status	string	optional		HTTP/API status code.	Leave blank for local-only checks.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	redirect_chain	string	optional		Redirect chain observed for this attempt.	Use compact JSON or pipe-delimited URLs.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	cache_key	string	optional		Cache key for this request or candidate.	Use deterministic key based on method, canonical URL, and resolver version.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	cache_hit_yn	boolean	recommended		Whether this attempt used cached data.	Use true/false.		Use lowercase true/false.
source_access_attempt.tsv	retry_count	integer	optional		Number of retries for this attempt.	Use 0 for first successful/terminal attempt.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	retry_after_seconds	number	optional		Retry-After delay if returned by host.	Store header value when available.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	content_type_header	string	optional		Raw content-type header if known.	Use exact header when available.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	content_type_sniffed	string	optional		Content type inferred from bytes, file extension, or classifier.	Examples: pdf, html, json, csv.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	byte_count	integer	optional		Number of bytes obtained.	Use local file size where known.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	sha256	string	conditional		SHA-256 checksum for bytes obtained.	Required when mirrored bytes are kept and practical.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	local_path	path	conditional		Repo-relative local mirror path produced or checked by this attempt.	Leave blank for metadata-only unresolved candidates.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
source_access_attempt.tsv	source_byte_class	category	recommended	full_article_pdf | full_article_xml | full_article_html | author_manuscript_fulltext | supplement_file | dataset_file | code_file | registry_record_full | pmc_fulltext_xml | pubmed_record_or_abstract | metadata_record | publisher_landing_or_abstract | paywall_or_login_page | captcha_page | access_denied_page | blocked_no_source_object | source_object_unclassified | not_retrieved	Class of bytes/artifact obtained by this attempt.	Use paywall/abstract/metadata classes honestly.	metadata_record	If nonblank, must be one of allowed_values exactly.
source_access_attempt.tsv	access_status	category	required	local_file_found | downloaded | remote_url_not_cached | local_path_missing | login_required | access_denied | missing_locator | unresolved_locator | blocked | not_applicable	Usability status of this attempt.	Use blocked/access_denied/login_required rather than overwriting with success.	downloaded	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access_attempt.tsv	access_barrier	string	conditional		Barrier hit by this attempt.	Examples: paywall, login, captcha, 403, no_oa_copy, missing_api_key.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	abstract_or_detail_text	string	optional		Abstract/detail/title/description text captured from this route.	Grounding text only unless it contains the exact coded value.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	paywall_or_login_seen	boolean	recommended		Whether this attempt hit a paywall/login artifact.	Use true for publisher paywalls and sign-in pages.	false	Use lowercase true/false.
source_access_attempt.tsv	captcha_or_bot_block_seen	boolean	recommended		Whether this attempt hit a CAPTCHA/bot-check artifact.	Stop automated retries for that route.	false	Use lowercase true/false.
source_access_attempt.tsv	preprint_or_repository_candidate	boolean	recommended		Whether the attempted URL is a preprint/repository/manuscript candidate.	Typically discovered via OpenAlex, Unpaywall, Semantic Scholar, Europe PMC, or manual search.	true	Use lowercase true/false.
source_access_attempt.tsv	license_url	url	optional		License or reuse-policy URL discovered for this attempt.	Use repository/publisher/API license when available.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access_attempt.tsv	license_category	category	recommended	open | restricted | subscription | unknown | not_applicable	Coarse license/access category for this attempt.	Use unknown when not assessed.	unknown	If nonblank, must be one of allowed_values exactly.
source_access_attempt.tsv	storage_allowed	boolean_or_unknown	recommended		Whether this attempt's bytes may be stored locally.	Use unknown unless policy is clear.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	robots_status	string	optional		robots.txt or crawl-policy status for this candidate.	Examples: allowed, disallowed, unknown, not_checked.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	tdm_policy_status	string	optional		TDM policy status observed for host/route.	Examples: allowed, restricted, subscription_required, unknown.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	title_match_score	number	optional		Similarity score between candidate title and target title.	Use 0-1 when available.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	doi_match_score	number	optional		DOI/identifier match score.	Use 1 for exact DOI match, 0 for mismatch, blank if not checked.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	author_year_match_score	number	optional		Author/year match score.	Use 0-1 when available.		If nonblank, must parse as a numeric value.
source_access_attempt.tsv	identity_decision	string	optional		Candidate identity decision.	Examples: accepted_exact_doi, accepted_title_year, rejected_mismatch, needs_review.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	identity_decision_reason	string	optional		Reason for candidate identity decision.	Record mismatch or confidence basis.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	retrieval_method	category	required	automated_download | api_download | osf_clone | dataverse_api | github_clone | user_upload | browser_manual_download | existing_local_file | code_execution_output | not_retrieved	How this attempt was made.	Record manual and API routes distinctly.	api_download	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access_attempt.tsv	retrieved_at	datetime	recommended		ISO date/time attempted.	Use batch timestamp when exact time unavailable.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	retrieved_by	string	recommended		Tool/person that performed attempt.	Examples: codex, user, source resolver script.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	decision	category	required	source_object_mirrored | metadata_only | abstract_or_landing_only | paywall_or_login | captcha_or_bot_block | access_denied | blocked | not_retrieved | manual_review | candidate_rejected	Outcome decision for this attempt.	Do not equate metadata/abstract bytes with value-bearing source objects.	metadata_only	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_access_attempt.tsv	decision_reason	string	recommended		Why this decision was assigned.	Explain access blockers, mismatch, or successful mirror.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	stop_reason	string	optional		Terminal stop reason for this route.	Examples: success, paywall, captcha, no_oa_copy, mismatch, rate_limited.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	next_action	string	optional		Next action when unresolved.	Examples: try_pmc, try_unpaywall, manual_library_access, parse_pdf, no_action.		Review for consistency with the field definition and coding rules.
source_access_attempt.tsv	notes	string	optional		Attempt-level notes.	Keep route-specific comments here; source-level conclusions go in source_access/source_result.		Review for consistency with the field definition and coding rules.
source_file.tsv	source_file_id	string	required		Stable unique file/artifact ID.	Prefer content-addressed IDs when practical.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_file.tsv	source_id	string	required		Foreign key to source.tsv.	The source this artifact belongs to.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_file.tsv	access_id	string	conditional		Foreign key to source_access.tsv.	Required when artifact came through a known access route.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_file.tsv	attempt_id	string	conditional		Foreign key to source_access_attempt.tsv.	Required when artifact was produced by an acquisition attempt.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_file.tsv	source_version_id	string	conditional		Foreign key to source_version.tsv.	Use when artifact version is known or inferred.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_file.tsv	file_role	category	required	full_article | author_manuscript | preprint | registry_record | supplement | dataset | code | metadata | screenshot | abstract_page | landing_page | derived_table | archive | archive_member | other	Role of artifact.	Use dataset/code/supplement/full_article/etc.; do not call internal derived tables original source evidence.	dataset	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_file.tsv	file_origin	category	required	automated_download | api_response | repository_file | publisher_file | existing_local_file | user_upload | manual_browser | code_execution_output | internal_derived | archive_member | unknown	How artifact originated.	Distinguish repository, publisher, API, user upload, existing local, and internal derived artifacts.	existing_local_file	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_file.tsv	source_byte_class	category	required	full_article_pdf | full_article_xml | full_article_html | author_manuscript_fulltext | supplement_file | dataset_file | code_file | registry_record_full | pmc_fulltext_xml | pubmed_record_or_abstract | metadata_record | publisher_landing_or_abstract | paywall_or_login_page | captcha_page | access_denied_page | blocked_no_source_object | source_object_unclassified | not_retrieved	Class of bytes/artifact.	Same vocabulary as access attempts.	dataset_file	Must be nonblank when the row is promoted or used for the relevant plot/panel. If nonblank, must be one of allowed_values exactly.
source_file.tsv	url	url	conditional		Original URL for artifact.	Use direct file/API URL when available.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_file.tsv	final_url	url	optional		Final URL after redirects.	Keep distinct from original URL.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_file.tsv	storage_uri	path	conditional		Project storage URI/path.	May equal local_path for local file storage.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
source_file.tsv	local_path	path	conditional		Repo-relative local path.	Required for mirrored bytes stored in repo/workspace.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
source_file.tsv	filename_original	string	optional		Original filename if known.	Use download filename or archive member name.		Review for consistency with the field definition and coding rules.
source_file.tsv	filename_normalized	string	optional		Normalized project filename.	Useful after de-duplication or extraction.		Review for consistency with the field definition and coding rules.
source_file.tsv	media_type_reported	string	optional		Reported media/content type.	Header or metadata value.		Review for consistency with the field definition and coding rules.
source_file.tsv	media_type_sniffed	string	optional		Inferred file/media type.	Use extension/magic-byte classifier.		Review for consistency with the field definition and coding rules.
source_file.tsv	byte_size	integer	conditional		Artifact size in bytes.	Required when local file exists and size is practical to compute.		If nonblank, must parse as a numeric value.
source_file.tsv	sha256	string	conditional		Computed SHA-256 checksum.	Required for mirrored bytes unless impractical.		Review for consistency with the field definition and coding rules.
source_file.tsv	provider_checksum_type	string	optional		Provider checksum type.	Examples: md5, sha1, sha256, etag.		Review for consistency with the field definition and coding rules.
source_file.tsv	provider_checksum_value	string	optional		Provider checksum value.	Keep provider value even when not SHA-256.		Review for consistency with the field definition and coding rules.
source_file.tsv	content_fingerprint	string	optional		Secondary fingerprint for extracted text/content.	Useful for de-duplicating normalized text.		Review for consistency with the field definition and coding rules.
source_file.tsv	text_sha256	string	optional		SHA-256 of extracted text.	Populate after text extraction.		Review for consistency with the field definition and coding rules.
source_file.tsv	archive_member_path	path	conditional		Path inside archive.	Use for zip/tar member files.		Use repo-relative paths when possible; verify existence when access_status implies local bytes.
source_file.tsv	parent_file_id	string	conditional		Parent archive/source_file ID.	Required for extracted archive members when parent is tracked.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_file.tsv	page_count	integer	optional		Page count for PDF/image artifacts.	Populate after parsing when possible.		If nonblank, must parse as a numeric value.
source_file.tsv	word_count	integer	optional		Extracted word count.	Populate after text extraction when possible.		If nonblank, must parse as a numeric value.
source_file.tsv	extraction_ready_yn	boolean	recommended		Whether artifact is ready for text/data extraction.	Use false for paywall pages, blocked artifacts, or unsupported binaries.	true	Use lowercase true/false.
source_file.tsv	level5_eligible	boolean	recommended		Whether artifact can qualify as strict level 5.	Requires plausible value-bearing source object and lawful/local mirror.	false	Use lowercase true/false.
source_file.tsv	created_at	datetime	recommended		When artifact row/file was created or observed.	Use retrieval time or batch timestamp.		Review for consistency with the field definition and coding rules.
source_file.tsv	fixity_checked_at	datetime	conditional		When checksum/fixity was checked.	Use retrieval time if checksum was computed then.		Review for consistency with the field definition and coding rules.
source_file.tsv	notes	string	optional		Artifact notes.	Explain internal derived artifacts or unresolved versioning.		Review for consistency with the field definition and coding rules.
source_version.tsv	source_version_id	string	required		Stable version ID.	One version assertion per source/version.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_version.tsv	source_id	string	required		Foreign key to source.tsv.	The versioned source.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_version.tsv	version_label	string	required		Human-readable version label.	Examples: version_of_record, preprint v2, registry snapshot 2026-04-30.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_version.tsv	version_number	string	optional		Source-native version number.	Examples: arXiv v2, Dataverse V3, Zenodo record version.		Review for consistency with the field definition and coding rules.
source_version.tsv	version_date	datetime	optional		Version date.	Use source-native date where known.		Review for consistency with the field definition and coding rules.
source_version.tsv	version_source	string	recommended		Where version information came from.	Examples: source_access, repository metadata, Crossref relation, manual.		Review for consistency with the field definition and coding rules.
source_version.tsv	is_version_of_source_id	string	conditional		Source ID of another version of the same work.	Use for preprint/VOR/source relationships.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_version.tsv	is_version_of_identifier	string	conditional		External identifier of related version/work.	Use DOI/arXiv/PMCID/etc. when source row not created yet.		Review for consistency with the field definition and coding rules.
source_version.tsv	is_version_of_record	boolean	recommended		Whether this version is the publisher version of record.	Use true/false/unknown if needed.	false	Use lowercase true/false.
source_version.tsv	preprint_version_yn	boolean	recommended		Whether this is a preprint version.	Use true/false.		Use lowercase true/false.
source_version.tsv	accepted_manuscript_yn	boolean	recommended		Whether this is an accepted manuscript.	Use true/false.		Use lowercase true/false.
source_version.tsv	published_vor_yn	boolean	recommended		Whether this is a published VOR.	Use true/false.		Use lowercase true/false.
source_version.tsv	registry_version_yn	boolean	recommended		Whether this is a registry/snapshot version.	Use true/false.		Use lowercase true/false.
source_version.tsv	repository_version_yn	boolean	recommended		Whether this is a repository dataset/package version.	Use true/false.		Use lowercase true/false.
source_version.tsv	correction_or_update_type	string	optional		Correction/update/retraction relationship type.	Examples: correction, retraction, expression_of_concern, updated_registry.		Review for consistency with the field definition and coding rules.
source_version.tsv	superseded_by_source_version_id	string	conditional		Version that supersedes this version.	Use when known.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_version.tsv	version_evidence_file_id	string	conditional		Source file supporting version assertion.	Foreign key to source_file.tsv when available.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_version.tsv	version_evidence_text	string	optional		Text supporting version assertion.	Use repository/publisher/version statement.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	access_right_id	string	required		Stable access-right decision ID.	One rights decision per source/file/scope.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_access_right.tsv	source_id	string	required		Foreign key to source.tsv.	The source whose rights are assessed.		Must be nonblank when the row is promoted or used for the relevant plot/panel. IDs should be stable; foreign keys should match the referenced table when applicable.
source_access_right.tsv	source_file_id	string	conditional		Foreign key to source_file.tsv.	Required when decision concerns mirrored bytes.		IDs should be stable; foreign keys should match the referenced table when applicable.
source_access_right.tsv	rights_scope	string	required		Scope of rights decision.	Examples: metadata, source_file, local_mirror, text_extract, redistribute.		Must be nonblank when the row is promoted or used for the relevant plot/panel.
source_access_right.tsv	license_name	string	optional		License name.	Use source-native name or SPDX when available.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	license_spdx	string	optional		SPDX license identifier.	Leave blank if unknown.		Review for consistency with the field definition and coding rules.
source_access_right.tsv	license_url	url	optional		License URL.	Use repository/publisher/API license evidence.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access_right.tsv	license_category	category	recommended	open | restricted | subscription | unknown | not_applicable	Coarse license/access category.	Use same vocabulary as access rows.	unknown	If nonblank, must be one of allowed_values exactly.
source_access_right.tsv	terms_url	url	optional		Terms/TDM/policy URL.	Use host/publisher/repository policy URL when known.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access_right.tsv	tdm_policy_url	url	optional		Text/data-mining policy URL.	Use if separate from license/terms.		Use a stable URL; prefer DOI/registry/repository/API URLs over search pages.
source_access_right.tsv	robots_status	string	optional		robots.txt/crawl status.	Examples: allowed, disallowed, unknown, not_checked.		Review for consistency with the field definition and coding rules.
