inventory_task_id	cluster_id	parent_corpus_database_id_or_key	preferred_source_family_name	route_target	inventory_priority	confidence	source_count	lead_level_note_count	decision_receipt_path	inventory_reason	next_action
inventory_task_ebb90b78f9cdc273	cluster_dataverse_manifest_62094fa0aad2	lead_harvest:covid_online_2021	The Generalizability of Online Experiments Conducted During the COVID-19 Pandemic	source_family_artifact_inventory	medium	medium	4	4	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_dataverse_manifest_62094fa0aad2.json	The cluster is not Many Labs despite the hint. The artifact names align with the Peyton, Huber, and Coppock COVID-era online-experiment replication package, which has open data/materials and a Harvard Dataverse replication-data DOI. The listed nodes are child files/manifests rather than a new root source-family row.	Attach the Dataverse download JSONs, ReadMe/appendix scripts, and original-study data files as child artifacts under lead_harvest:covid_online_2021; inspect the manifest/file list for reusable multi-row original/replication result tables and route those specific tables to result-table extraction.
inventory_task_76ac72f6d4bd0211	cluster_many_labs_5_testing_pre_data_collection_peer_review_as_an_intervention_to_increa_3179bd6ddd6a	corpus_db_many_labs_5_overarching_analyses	Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability	source_family_artifact_inventory	high	high	4	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_many_labs_5_testing_pre_data_collection_peer_review_as_an_intervention_to_increa_3179bd6ddd6a.json	Many Labs 5 is already represented as an integrated Figure 1 source family using local public figure data. The DOI/OSF/OpenAlex hits in this cluster are aliases or bibliographic/source-family artifacts for that existing parent, not a new root source family.	Inventory DOI, OSF, preprint, and search-hit aliases under corpus_db_many_labs_5_overarching_analyses; keep local ML5FigureData.csv and single-effects files as the result-bearing artifacts for extraction/provenance work.
inventory_task_c257d0214bcc1433	cluster_nakagawa_yang_c7aa4950fea4	raw_corpus:nakagawa_yang	Nakagawa/Yang ecology and evolution in-silico replication corpus	source_family_artifact_inventory	medium	medium	3	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_nakagawa_yang_c7aa4950fea4.json	The cluster is a local raw corpus candidate with model CSVs and analysis scripts from an ecology/evolution in-silico replication package. It appears reusable, but the compact evidence does not prove a direct independent original-replication pair table; it needs file-level inventory before any Figure 1 promotion.	Inventory the local Nakagawa/Yang repository files under raw_corpus:nakagawa_yang; inspect model CSVs, preprocessing code, and sensitivity analyses for source-result tables, D/N extractability, and whether the rows satisfy Figure 1's replication/follow-up relation.
inventory_task_da940966928b0c1e	cluster_osf_03_rp_cb_final_analysis_paper_level_data_e82d9617efa7	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	source_family_artifact_inventory	high	high	5	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_osf_03_rp_cb_final_analysis_paper_level_data_e82d9617efa7.json	The cluster is a coherent OSF final-analysis package for RP:CB, with paper-, experiment-, and effect-level data plus dictionaries and per-study analysis scripts. RP:CB is an existing reusable corpus/source family, so these files are child artifacts of that parent rather than separate root source families.	Attach the OSF e5nvr final-analysis tables, dictionaries, and per-study R scripts to raw_corpus:rpcb; deduplicate against the local rpcb corpus-candidate copies in the sibling RPCB cluster.
inventory_task_597e0260dcccafd3	cluster_political_science_unlock_f7f85210dec5	raw_corpus:political_science_unlock	Political Science Unlock	source_family_artifact_inventory	high	high	3	4	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_political_science_unlock_f7f85210dec5.json	This cluster already sits under an included raw corpus/source-family key and contains Dataverse metadata, code, workbook, and appendix artifacts. Child artifacts should be owned by raw_corpus:political_science_unlock; individual one-off replication code should be routed away after inspection.	Inventory Dataverse metadata JSONs, Dataverse package folders, GitHub workbooks/code, and raw inventory directories under raw_corpus:political_science_unlock. Route only confirmed multi-row result/effect tables to the result-table worklist, and route single-paper packages such as BKO Debates to the individual replication paper worklist.
inventory_task_b92144c685d43d59	cluster_reproducibility_project_cancer_biology_8ff34e7d6b72	rpcb | doi:10.7554/eLife.71601	Reproducibility Project: Cancer Biology	corpora_update_proposal_then_source_family_inventory	high	high	5	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_reproducibility_project_cancer_biology_8ff34e7d6b72.json	This is a source-family/corpus candidate rather than an isolated paper. The eLife/RP:CB project reports many completed replication experiments and points to project-level data, code, digital materials, and OSF replication-data objects.	Keep as the RPCB source-family candidate; inventory the OSF RPCB collection and Replication Data from the Reproducibility Project: Cancer Biology; route paper/experiment/effect-level data tables to result-table extraction.
inventory_task_0dbed828492cf787	cluster_rpcb_elife_registered_report_replication_effects_d7e3fd26d901	raw_corpus:rpcb	Reproducibility Project: Cancer Biology (RP:CB) final analysis data	source_family_artifact_inventory	high	high	5	4	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_rpcb_elife_registered_report_replication_effects_d7e3fd26d901.json	The cluster is the local raw-corpus side of the same RP:CB source family. It contains reusable paper-, experiment-, and effect-level final-analysis tables and dictionaries; the existing included/raw RPCB parent should own these duplicates and child artifacts.	Deduplicate duplicate root-table and search-manifest hits, then inventory the effect-, experiment-, and paper-level CSVs and dictionaries under raw_corpus:rpcb; do not create new root rows for individual CSV files.
inventory_task_da46fa7405b09e8e	cluster_score_cos_preregistration_indicated_original_papers_dcacb6718443	score	Systematizing Confidence in Open Research and Evidence (SCORE) data/code/materials	source_family_artifact_inventory	high	high	5	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall001/cluster_score_cos_preregistration_indicated_original_papers_dcacb6718443.json	SCORE is an existing reusable source family with openly available data/code/materials. This cluster contains child data tables, outcome/check tables, raw inventory files, and the existing preregistration-indicated subset view; these should be owned by the broader SCORE parent.	Inventory SCORE claim/outcome/check tables and OSF manifest/meta files under the SCORE parent; preserve the existing score_cos_preregistration_indicated_original_papers subset row and avoid duplicate root creation.
inventory_task_6c7deb341b73c5bc	cluster_awesome_time_honest_c4dcfa6f78be	github:ying531/awesome-replicability-data	ying531/awesome-replicability-data time_honest package	source_family_artifact_inventory	high	high	3	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall002/cluster_awesome_time_honest_c4dcfa6f78be.json	The cluster is a dataset-level package from the curated awesome-replicability-data repository. It contains original and replication cleaned CSVs plus processing code and download manifests. These are child artifacts under the GitHub source family, not separate root source families.	Inventory original_cleaned.csv, replication1_cleaned.csv, replication2_cleaned.csv, process.R, and repository manifests under github:ying531/awesome-replicability-data; route derived result fields only after inspecting the processing script/table outputs.
inventory_task_7781346bdc43eb34	cluster_cultural_distance_2fde510433cc	lead_harvest:psa_006_trolley	PSA006 trolley multi-lab replication package	source_family_artifact_inventory	medium	medium	2	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall002/cluster_cultural_distance_2fde510433cc.json	The cluster contains local code/data files from a PSA006 trolley multi-lab package. It appears to be a reusable project package, but the compact evidence is mostly analysis/helper code, so the package needs inventory before any result-table extraction or corpus promotion.	Inventory PSA006 trolley files under lead_harvest:psa_006_trolley; inspect aggregate_inferences, additional-table, plotting scripts, and data outputs for original/replication effect rows and sample sizes before routing specific tables to extraction.
inventory_task_86b9a31286d71f20	cluster_how_replicable_are_links_between_personality_traits_and_consequential_life_outco_f308cd171b71	corpus_db_loopr_coding_workbook	Life Outcomes of Personality Replication Project (LOOPR)	source_family_artifact_inventory	high	high	4	2	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall002/cluster_how_replicable_are_links_between_personality_traits_and_consequential_life_outco_f308cd171b71.json	LOOPR is already an integrated live source family with a local coding workbook containing original and replication effects for personality-outcome associations. The DOI/OSF hits in this cluster are source-family aliases and bibliographic/version artifacts for that existing parent.	Inventory DOI, OSF, and publication-version aliases under corpus_db_loopr_coding_workbook; keep the local Replication coding and results.xlsx workbook as the result-bearing artifact for extraction/provenance work.
inventory_task_9223f2c7eb854945	cluster_osf_07_final_ss_template_direct_aab7d6f050d3	score	SCORE power and sample-size methods package	source_family_artifact_inventory	medium	medium	3	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall002/cluster_osf_07_final_ss_template_direct_aab7d6f050d3.json	The local Tyner/Nosek OSF package is a SCORE-related methods/materials package containing sample-size templates, power scripts, manuals, and an analysis/code archive. These are useful source-family artifacts under SCORE, but the compact nodes are not themselves result tables.	Inventory README, OSF file list, power/sample-size templates, and analysis data/code archive under SCORE; route only any confirmed result-bearing data tables from the archive to extraction.
inventory_task_31ced7c6fca854ac	cluster_sports_sfbva_node_c21ed8767a97	corpus_db_sports_science_supplemental_outcomes_table	Estimating the Replicability of Sport Science Research	source_family_artifact_inventory	high	high	3	1	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall002/cluster_sports_sfbva_node_c21ed8767a97.json	The OSF node metadata explicitly describes an analysis repository containing effect sizes from original and replication studies plus analysis code and markdown summaries. The sports-science corpus is already integrated locally from public supplemental outcome/sample-size artifacts, so this node is a child/source-family artifact to inventory rather than a new root row.	Attach OSF node sfbva and related project OSF 3VUFG as source-family access routes under corpus_db_sports_science_supplemental_outcomes_table; mirror or verify file-level effect-size/code artifacts if not already represented by the local sports supplement table and sample-size workbook.
inventory_task_bcb03b269c483073	cluster_successes_and_failures_of_replications_a_meta_analysis_of_independent_replicatio_48eb11098644	doi:10.31222/osf.io/8psw2	Successes and Failures of Replications based on OSF Registries	corpora_update_proposal_then_source_family_inventory	medium	medium	4	2	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall002/cluster_successes_and_failures_of_replications_a_meta_analysis_of_independent_replicatio_48eb11098644.json	The article/preprint describes a meta-analysis of independent replication studies registered on OSF and points to open data/code, including an OSF project and dataset. It may be a reusable source object, but its rows need inventory because only a subset appear to contain comparable original and replication effect sizes.	Keep as a source-family candidate and inventory OSF project 9r62x plus dataset sfdq4/code scripts; route only confirmed original/replication effect-size rows to result-table extraction.
inventory_task_c7efd093bf481440	cluster_ying_2023_770ed6292b41	family::ying_2023_pilot_full_scale_trials	Ying 2023 pilot-full-scale trials	source_family_artifact_inventory	high	high	4	3	steps/review_cue/figure1_search_leads/cluster_receipts/clustered_recall002/cluster_ying_2023_770ed6292b41.json	Ying 2023 is already an integrated live source family with a promoted partial reconstruction and unresolved staged artifacts. The cluster contains local EuropePMC abstract JSONs and scan outputs used to tighten pilot/full-scale evidence; these are child/provenance artifacts rather than a new root source family.	Inventory the EPMC abstract JSONs, abstract scan CSV, staged pair roster, and promoted reconstruction under family::ying_2023_pilot_full_scale_trials; route only confirmed pair/result tables to extraction.
