handoff_id	candidate_id	priority	candidate_name	candidate_route	scan_decision	blocker	original_title	original_doi	replication_title	replication_doi	source_object_urls	local_file_summary	known_original_support_text	known_replication_support_text	conversion_or_policy_note	gpt_task	expected_json_decision_values
gpt_handoff_b016ca5d7ad03d60	IND-022	2	Early goal-directed therapy mortality follow-up trials	d_equivalent_figure1b	needs_event_counts_or_open_trial_source_objects	needs_event_counts_or_open_trial_source_objects						data/raw/replication_projects/individual_search_batch001/IND-022/05_figshare_com_articles_dataset_promise_trial_data_1359853_444b3c0512cd.html [html_or_xml, 2009 bytes] | data/raw/replication_projects/individual_search_batch001/IND-022/05_figshare_com_articles_dataset_promise_trial_data_1359853_1df22b9dc761.html [html_or_xml, 2009 bytes] | data/raw/replication_projects/individual_search_batch001/IND-022/05_figshare_com_articles_dataset_promise_trial_data_1359853_6cac6983810a.html [html_or_xml, 2009 bytes] | data/raw/replication_projects/individual_search_batch001/IND-022/05_figshare_com_articles_dataset_promise_trial_data_1359853_cad4dc2967c8.html [html_or_xml, 2009 bytes]	Search intake identifies Rivers et al. 2001 as the original EGDT mortality trial, but NEJM source objects were not mirrored in this batch.	Search intake identifies ProCESS, ARISE, and ProMISe as larger multicenter follow-ups; event counts still need local source extraction.	Route to D-equivalent Figure 1B only after event counts or OR/RR/RD and baseline risk are extracted.	mirror_open_trial_reports_or_registry_records_and_extract_event_counts	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_e084911080348dac	IND-023	2	Activated protein C severe-sepsis mortality follow-up	d_equivalent_figure1b	needs_event_counts_or_open_trial_source_objects	needs_event_counts_or_open_trial_source_objects							Search intake identifies the original PROWESS activated-protein-C severe-sepsis trial, but value-bearing source bytes were not mirrored in this batch.	Search intake identifies PROWESS-SHOCK as the larger follow-up, but event counts still need local source extraction.	Route to D-equivalent Figure 1B only after event counts or OR/RR/RD and baseline risk are extracted.	resolve_nejm_or_open_source_routes_and_extract_mortality_counts	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_9a014f9adf2f5b1d	IND-024	2	Intensive insulin/tight glucose control ICU mortality follow-up	d_equivalent_figure1b	needs_event_counts_or_open_trial_source_objects	needs_event_counts_or_open_trial_source_objects							Search intake identifies van den Berghe et al. 2001 as the original intensive-insulin ICU trial, but value-bearing source bytes were not mirrored in this batch.	Search intake identifies NICE-SUGAR as the larger follow-up with N = 6104, but event counts still need local extraction.	Route to D-equivalent Figure 1B only after event counts or OR/RR/RD and baseline risk are extracted.	resolve_nejm_or_open_source_routes_and_extract_mortality_counts	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_00b29977478459e2	api_candidate_025c30471725eba5	2	Auditory religious cues and dishonest behavior	coverage_only	not_row_conceptual_extension_no_single_original_effect	not_row_conceptual_extension_no_single_original_effect						data/raw/replication_projects/individual_search_batch004/api_candidate_025c30471725eba5/01_journals_plos_org_plosone_article_id_10_1371_journal_pone_0237007_f5db93457e71.html [html_or_xml, 281893 bytes]	Mirrored PLOS article frames the work as replicating and extending religious priming effects but cites several prior religious-prime/prosociality sources rather than resolving a single original D/N target.	The article reports N = 408 and moderation by religiosity/ritual participation in a dishonest-behavior game.	Do not promote without a single original paper, matched outcome, and original effect/N. Keep as context for religious-priming replication mining.	retain_as_context_source_until_exact_original_target_is_resolved	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_792ed40977af27da	api_candidate_0367fa32a3d09f7b	2	Loftus (1979) -> Does blatantly contradictory information reduce the misinformation effect? A Registered Report replication of Loftus (1979)	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	Loftus (1979)		Does blatantly contradictory information reduce the misinformation effect? A Registered Report replication of Loftus (1979)	10.1111/lcrp.12242	https://doi.org/10.1111/lcrp.12242				Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	Acquire the Loftus misinformation registered-report replication and extract matched original/replication effect/N if publicly available.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_a531262c1679b96c	api_candidate_112b3ad59e12752d	2	Prosocial spending and post-windfall happiness original specification	strict_figure1a	not_row_original_effect_not_sufficiently_exposed	not_row_original_effect_not_sufficiently_exposed						data/raw/replication_projects/individual_search_batch003/api_candidate_112b3ad59e12752d/01_journals_plos_org_plosone_article_id_10_1371_journal_pone_0272434_be76b034e1b0.html [html_or_xml, 163309 bytes]	Mirrored PLOS article reports the Dunn et al. original experiment N = 46 and original p = .042 for the focal analysis, but does not expose a matched original D or enough original ANCOVA inputs.	Mirrored PLOS article reports replication N = 133 and original-specification result F(1,130) = .35, p = .557, partial eta squared = .001.	Do not promote until the original article or supplement supplies a matched effect size/statistic sufficient for the same ANCOVA-style endpoint.	manual_acquisition_of_original_dunn_aknin_norton_value_inputs_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_a1a2fe7c30ad42cc	api_candidate_44137bf63c3bbdfa	2	Schiller et al. (Nature, 2010) -> Registered Replication of Schiller et al. (Nature, 2010)	coverage_only	source_blocked_protocol_or_repository_only	value_bearing_source_object_needed	Schiller et al. (Nature, 2010)		Registered Replication of Schiller et al. (Nature, 2010)	10.17605/osf.io/k2w4a	https://doi.org/10.17605/osf.io/k2w4a | https://osf.io/k2w4a/ | 10.17605/osf.io/k2w4a	data/raw/replication_projects/individual_search_batch006/api_candidate_44137bf63c3bbdfa/01_osf_io_k2w4a_c1df7be23f68.html [html, 4190 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_44137bf63c3bbdfa/02_osf_io_k2w4a_c1df7be23f68.html [html, 4190 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_44137bf63c3bbdfa/03_osf_io_k2w4a_c1df7be23f68.html [html, 4190 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_44137bf63c3bbdfa/doi_resolver__10_17605_osf_io_k2w4a__osf_io__c1df7be23f68.html [html, 4190 bytes]	Triage resolved the target as Schiller et al. (Nature, 2010), but only the OSF registration DOI was routed.	The mirrored/source URLs identify a Registered Replication of Schiller et al. record, not extracted result values.	The candidate is an OSF registration/source package rather than a value-bearing replication article in this batch. It should remain a no-repull target until a completed paper/result source is resolved.	resolve_completed_replication_article_or_results_package_before_value_extraction	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_4ff30be57631ed7c	api_candidate_49040530056b1fbf	2	van Prooijen (2017) -> Education and conspiracy beliefs: A replication of van Prooijen (2017)	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	van Prooijen (2017)		Education and conspiracy beliefs: A replication of van Prooijen (2017)	10.1002/acp.4037	https://doi.org/10.1002/acp.4037	data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_49040530056b1fbf/semantic_scholar_landing_page__10_1002_acp_4037__www_semanticscholar_org__8ce2c9e363df.html [html_or_xml, 2461 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_5a7722202fefd6c2	api_candidate_4dc2cff8320f0b0e	2	Reactions to female- versus male-favoring sex differences	coverage_only	not_row_original_effect_and_d_route_not_sufficiently_exposed	not_row_original_effect_and_d_route_not_sufficiently_exposed						data/raw/replication_projects/individual_search_batch006/api_candidate_4dc2cff8320f0b0e/01_journals_plos_org_plosone_article_id_10_1371_journal_pone_0266171_7c8e7ffc22d0.html [html_or_xml, 161894 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_4dc2cff8320f0b0e/02_pmc_ncbi_nlm_nih_gov_articles_pmc8967052_13d49c6d103e.html [html_or_xml, 157247 bytes] | data/raw/replication_projects/individual_search_batch006/api_candidate_4dc2cff8320f0b0e/03_pubmed_ncbi_nlm_nih_gov_35353872_31bee0960424.html [html_or_xml, 132712 bytes]	Mirrored PLOS article says the study is a direct replication of the authors' earlier study on reactions to sex-difference findings.	Mirrored abstract reports 303 participants and replicated the less-positive reaction to male-favoring differences.	Open PLOS/PMC article was mirrored and the direct-replication relation is real. The article reports a multi-factor reaction-score replication with the earlier study as context, but this batch did not extract a matched original D/N and replication D/N for a single focal outcome.	retain_as_context_until_original_effect_and_single_outcome_d_route_are_extracted	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_c6a1743a370c7f67	api_candidate_53e20f8627a320c7	2	past findings regarding positive affirmations and self-esteem -> On the failure to replicate past findings regarding positive affirmations and self-esteem	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	past findings regarding positive affirmations and self-esteem		On the failure to replicate past findings regarding positive affirmations and self-esteem	10.1016/j.jcbs.2020.03.003	https://doi.org/10.1016/j.jcbs.2020.03.003	data/raw/replication_projects/individual_search_batch006/api_candidate_53e20f8627a320c7/01_linkinghub_elsevier_com_retrieve_pii_s2212144719301103_bd49689bf85e.html [html, 2704 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_53e20f8627a320c7/doi_resolver__10_1016_j_jcbs_2020_03_003__linkinghub_elsevier_com__bd49689bf85e.html [html, 2704 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_3e73ced8836fefbf	api_candidate_5d432a85cc83bb79	2	the effects of self-construal priming on spatial memory recall -> Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	the effects of self-construal priming on spatial memory recall		Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall	10.1016/j.jesp.2017.08.005	https://doi.org/10.1016/j.jesp.2017.08.005	data/raw/replication_projects/individual_search_batch006/api_candidate_5d432a85cc83bb79/01_linkinghub_elsevier_com_retrieve_pii_s0022103117302792_a27eb70e6f9a.html [html, 2748 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_5d432a85cc83bb79/doi_resolver__10_1016_j_jesp_2017_08_005__linkinghub_elsevier_com__a27eb70e6f9a.html [html, 2748 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_5d432a85cc83bb79/openalex_landing_page_url__10_1016_j_jesp_2017_08_005__api_osf_io__47b17b104376.bin [json_like, 6512 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_5d432a85cc83bb79/openalex_landing_page_url__10_1016_j_jesp_2017_08_005__osf_io__c1df7be23f68.html [html, 4190 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_8fb0900b904c4c6f	api_candidate_705797b93ca7def0	2	Schuler and Wänke (2016) -> Does Subjective SES Moderate the Effect of Money Priming on Socioeconomic System Support? A Replication of Schuler and Wänke (2016)	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	Schuler and Wänke (2016)		Does Subjective SES Moderate the Effect of Money Priming on Socioeconomic System Support? A Replication of Schuler and Wänke (2016)	10.1177/1948550617740941	https://doi.org/10.1177/1948550617740941	data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_705797b93ca7def0/semantic_scholar_landing_page__10_1177_1948550617740941__www_semanticscholar_org__3ed038622535.html [html_or_xml, 2461 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_3fea52dd3f30ddbf	api_candidate_74f56abca426fbc9	2	the Results of Ciani and Sheldon (2010) -> Is Intelligence Enhanced by Letter Priming? A Failure to Replicate the Results of Ciani and Sheldon (2010)	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	the Results of Ciani and Sheldon (2010)		Is Intelligence Enhanced by Letter Priming? A Failure to Replicate the Results of Ciani and Sheldon (2010)	10.2466/04.03.pr0.112.2.533-544	https://doi.org/10.2466/04.03.pr0.112.2.533-544	data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_74f56abca426fbc9/openalex_landing_page_url__10_2466_04_03_pr0_112_2_533_544__pubmed_ncbi_nlm_nih_gov__c1cfdd48916c.html [html_or_xml, 119067 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_74f56abca426fbc9/openalex_landing_page_url__10_2466_04_03_pr0_112_2_533_544__pubmed_ncbi_nlm_nih_gov__d6b55411ea53.html [html_or_xml, 119067 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_939303b527be2c79	api_candidate_7c25e95e83db7d9a	2	Randomized Controlled Trial Results for Carotid Endarterectomy -> Real-World Replication of Randomized Controlled Trial Results for Carotid Endarterectomy	native_only	source_blocked_clinical_observational_validation_not_current_pair	value_bearing_source_object_needed	Randomized Controlled Trial Results for Carotid Endarterectomy		Real-World Replication of Randomized Controlled Trial Results for Carotid Endarterectomy	10.1001/archneur.64.10.1496	https://doi.org/10.1001/archneur.64.10.1496	data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_7c25e95e83db7d9a/openalex_landing_page_url__10_1001_archneur_64_10_1496__ora_ox_ac_uk__852d7e9b6654.html [html_or_xml, 61178 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_7c25e95e83db7d9a/openalex_landing_page_url__10_1001_archneur_64_10_1496__ora_ox_ac_uk__e2e00e094e42.html [html_or_xml, 61178 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_7c25e95e83db7d9a/openalex_landing_page_url__10_1001_archneur_64_10_1496__pubmed_ncbi_nlm_nih_gov__46a0c7f378ef.html [html_or_xml, 145814 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_7c25e95e83db7d9a/openalex_landing_page_url__10_1001_archneur_64_10_1496__pubmed_ncbi_nlm_nih_gov__d8113d58532b.html [html_or_xml, 145814 bytes]	Candidate title indicates a real-world replication/validation of RCT results, but the JAMA route was blocked by 403 and no matched event-count pair was mirrored.	No value-bearing source object was mirrored locally for this batch.	Keep as clinical context/manual acquisition; do not treat as Figure 1B without event counts and a specific trial-to-follow-up mapping.	manual_acquisition_if_clinical_real_world_validation_rows_are_in_scope	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_c9cf11cd5e88db18	api_candidate_96a758378eb37b0e	2	in the rapid naming task -> Phonological priming: Failure to replicate in the rapid naming task	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	in the rapid naming task		Phonological priming: Failure to replicate in the rapid naming task	10.3758/bf03334046	https://doi.org/10.3758/bf03334046	data/raw/replication_projects/individual_search_batch006/api_candidate_96a758378eb37b0e/01_link_springer_com_article_10_3758_bf03334046_error_cookies_not_supported_298b26a951ab.html [html_or_xml, 244411 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_96a758378eb37b0e/doi_resolver__10_3758_bf03334046__link_springer_com__3b1aab19bff8.html [html_or_xml, 238112 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_96a758378eb37b0e/doi_resolver__10_3758_bf03334046__link_springer_com__acfd9f712379.html [html_or_xml, 244282 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_96a758378eb37b0e/embedded_pdf__4a772153e936__BF03334046.pdf [pdf, 1096288 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_96a758378eb37b0e/openalex_oa_url__10_3758_bf03334046__link_springer_com__ce365607a87b.pdf [pdf, 1096288 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_96a758378eb37b0e/semantic_scholar_landing_page__10_3758_bf03334046__www_semanticscholar_org__cb400cd20894.html [html_or_xml, 2461 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	Determine whether the phonological-priming rapid-naming paper is a valid close/direct row or should be rejected because the task differs from Hillinger's lexical-decision original.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_46c401679688a3e6	api_candidate_9db26ff9b8058473	2	Social-distance priming Study 1 near-versus-far food-judgment replication	strict_figure1a	not_row_replication_n_not_larger_or_original_effect_missing	not_row_replication_n_not_larger_or_original_effect_missing						data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/01_journals_plos_org_plosone_article_file_id_10_1371_journal_pone_0042510_t_6c57bac0ed58.pdf [pdf, 251094 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/02_journals_plos_org_plosone_article_id_10_1371_journal_pone_0042510_b6712e218027.html [html_or_xml, 161472 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/03_pubmed_ncbi_nlm_nih_gov_22952597_586846f50ecf.html [html_or_xml, 158823 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/05_journals_plos_org_plosone_article_id_10_1371_journal_pone_0042510_b6712e218027.html [html_or_xml, 161472 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/06_doaj_org_article_e8e46da29cce40e8a55999b5cda66f5d_d1a30f9535c8.html [html_or_xml, 61227 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/07_pmc_ncbi_nlm_nih_gov_articles_pmc3430642_33c0ec5ac84f.html [html_or_xml, 154934 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/08_openalex_org_w2106777508_158469730ed2.html [html, 2653 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/03_pubmed_ncbi_nlm_nih_gov_22952597_0e7131dc0940.html [html_or_xml, 158823 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/03_pubmed_ncbi_nlm_nih_gov_22952597_47e83895724e.html [html_or_xml, 158823 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/07_pmc_ncbi_nlm_nih_gov_articles_pmc3430642_d9760d492c6e.html [html_or_xml, 154934 bytes] | data/raw/replication_projects/individual_search_batch001/api_candidate_9db26ff9b8058473/07_pmc_ncbi_nlm_nih_gov_articles_pmc3430642_f0e81aaab47f.html [html_or_xml, 154934 bytes]	Mirrored PLOS paper Table 1 reports Williams and Bargh Study 4 d = 0.76, calculated from t = -2.86 assuming equal 28 participants per group.	Mirrored PLOS paper reports Study 1 analyzed N = 71 after exclusions, with focal close/far cells 22 and 22; the focal replication N is therefore smaller than the original focal N.	The clean focal contrast fails the current larger-replication-N rule. The companion Study 2 may be usable only after original Study 3 effect extraction.	do_not_promote_unless_policy_allows_smaller_focal_replication_or_original_study3_effect_is_extracted	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_c327e975effeb61b	api_candidate_b3869535651b5f0e	2	Eden, Daalmans, and Johnson (2017) -> Character morality, enjoyment, and appreciation: a replication of Eden, Daalmans, and Johnson (2017)	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	Eden, Daalmans, and Johnson (2017)		Character morality, enjoyment, and appreciation: a replication of Eden, Daalmans, and Johnson (2017)	10.1080/15213269.2021.1884096	https://doi.org/10.1080/15213269.2021.1884096	data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_b3869535651b5f0e/openalex_landing_page_url__10_1080_15213269_2021_1884096__osf_io__c1df7be23f68.html [html, 4190 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_b3869535651b5f0e/openalex_landing_page_url__10_1080_15213269_2021_1884096__researchrepository_wvu_edu__b62ea57de8cc.html [html_or_xml, 34767 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_d7807aa6c9587d93	api_candidate_bb6c827070cfa1f7	2	Cockroach audience by task-difficulty social-facilitation interaction	coverage_only	not_row_original_effect_not_statistically_mapped	not_row_original_effect_not_statistically_mapped							Search/PDF snippets identify original Zajonc et al. N = 40 for the critical 2 x 2 interaction, but also note the original article did not provide a clear statistical test of the central interaction.	The replication article is source-blocked locally by SAGE 403 in this batch; search snippets report preregistered target N = 120 and a direct replication of the audience by task-difficulty claim.	Do not promote without a source-mapped original D/statistic for the central interaction; retain as a context/manual-acquisition lead.	manual_acquisition_if_interaction_effects_become_in_scope	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_622de7fd6745f3c6	api_candidate_ccd98d70dd2472bf	2	Krause Et Al. (2012) -> Mixed Evidence for Name Priming Effects as a Measure of Implicit Self-Esteem: A Conceptual Replication of Krause Et Al. (2012)	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	Krause Et Al. (2012)		Mixed Evidence for Name Priming Effects as a Measure of Implicit Self-Esteem: A Conceptual Replication of Krause Et Al. (2012)	10.1521/soco.2021.39.5.591	https://doi.org/10.1521/soco.2021.39.5.591	data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_ccd98d70dd2472bf/openalex_landing_page_url__10_1521_soco_2021_39_5_591__api_osf_io__8b5db1424b47.bin [json_like, 4284 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_ccd98d70dd2472bf/openalex_landing_page_url__10_1521_soco_2021_39_5_591__osf_io__c1df7be23f68.html [html, 4190 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_bcd4083785c38f6b	api_candidate_ccea3138ba9e9efa	2	Study 1 of Rodeheffer et al. (2012) in Japan -> Resource scarcity priming and face perception: A preregistered conceptual replication of Study 1 of Rodeheffer et al. (2012) in Japan	coverage_only	source_blocked_conceptual_replication_needs_values	value_bearing_source_object_needed	Study 1 of Rodeheffer et al. (2012) in Japan		Resource scarcity priming and face perception: A preregistered conceptual replication of Study 1 of Rodeheffer et al. (2012) in Japan	10.1016/j.cresp.2023.100169	https://doi.org/10.1016/j.cresp.2023.100169	data/raw/replication_projects/individual_search_batch006/api_candidate_ccea3138ba9e9efa/01_linkinghub_elsevier_com_retrieve_pii_s2666622723000825_e627c0c4e417.html [html, 2753 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_ccea3138ba9e9efa/doi_resolver__10_1016_j_cresp_2023_100169__linkinghub_elsevier_com__e627c0c4e417.html [html, 2753 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_ccea3138ba9e9efa/openalex_landing_page_url__10_1016_j_cresp_2023_100169__doaj_org__045ab68cf623.html [html_or_xml, 64580 bytes]			Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_7f5b59d5c3ef9e5b	api_candidate_d51bbeeeb3386937	2	the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014) -> Contextual Bias in Verbal Credibility Assessment: A Preregistered Direct Replication of the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014)	coverage_only	source_blocked_needs_value_bearing_article	value_bearing_source_object_needed	the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014)		Contextual Bias in Verbal Credibility Assessment: A Preregistered Direct Replication of the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014)	10.1002/acp.70168	https://doi.org/10.1002/acp.70168				Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	manual_acquisition_or_repository_parse_if_prioritized	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_a0868e5b414184ac	api_candidate_d98523e0ce3e5e0d	2	Shen et al.'s (2019) Study on Online Image Credibility -> Contextual Changes, Credible Conclusions? A Direct and Conceptual Replication of Shen et al.'s (2019) Study on Online Image Credibility	coverage_only	source_blocked_needs_manual_acquisition	value_bearing_source_object_needed	Shen et al.'s (2019) Study on Online Image Credibility		Contextual Changes, Credible Conclusions? A Direct and Conceptual Replication of Shen et al.'s (2019) Study on Online Image Credibility	10.1080/15213269.2025.2595452	https://doi.org/10.1080/15213269.2025.2595452	data/raw/replication_projects/individual_search_batch003/api_candidate_d98523e0ce3e5e0d/01_www_tandfonline_com_action_cookieabsent_26fcd1037997.html [html_or_xml, 105607 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_d98523e0ce3e5e0d/embedded_pdf__1fd1aa8d293c__Contextual_Changes__Credible_Conclusions__A_Direct_and_Conceptual_Replication_of_Shen_et_al._s__2019__Study_on_Online_Image_Credibility.pdf [pdf, 16414 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_d98523e0ce3e5e0d/embedded_pdf__8f881b5c8e48__Contextual_Changes__Credible_Conclusions__A_Direct_and_Conceptual_Replication_of_Shen_et_al._s__2019__Study_on_Online_Image_Credibility.pdf [pdf, 964418 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_d98523e0ce3e5e0d/embedded_pdf__d75f00c30965__Contextual_Changes__Credible_Conclusions__A_Direct_and_Conceptual_Replication_of_Shen_et_al._s__2019__Study_on_Online_Image_Credibility.pdf [pdf, 1809 bytes] | data/raw/replication_projects/individual_auto_mining_blockers/api_candidate_d98523e0ce3e5e0d/openalex_landing_page_url__10_1080_15213269_2025_2595452__epub_ub_uni_muenchen_de__d405a57f2487.html [html_or_xml, 30536 bytes]	Mirrored Taylor & Francis acquisition artifact identifies the replication title but does not expose source values.	The DOI landing route was metadata/cookie-page only locally in this batch.	Do not promote without article values and exact original target mapping.	Extract exact Shen online-image-credibility original and direct-replication effect/N values or classify as native-only/coverage-only.	ready_for_row | needs_more_evidence | native_only | reject
gpt_handoff_c6f5139486cef7b8	api_candidate_f5027ea48e83c6e2	2	Darkness and dishonesty conceptual replication using coin toss task	coverage_only	not_row_conceptual_changed_task_original_effect_missing	not_row_conceptual_changed_task_original_effect_missing						data/raw/replication_projects/individual_search_batch004/api_candidate_f5027ea48e83c6e2/01_journals_plos_org_plosone_article_id_10_1371_journal_pone_0294484_b54c0aa73b72.html [html_or_xml, 159764 bytes]	Mirrored PLOS article identifies Zhong, Bohns, and Gino (2010) Experiment 1 as the original target but does not provide a matched original D/N effect for the coin-toss endpoint.	Mirrored PLOS article reports final replication N = 102, dark-condition reported-score M = 5.96 SD = 1.48 versus light-condition M = 5.39 SD = 1.56, t(100) = 1.885, p = .031, Cohen's d = 0.374.	Do not promote because the replication changed the task from the original and the mirrored source does not expose the original matched effect size/N.	retain_as_context_source_until_original_effect_inputs_are_mirrored	ready_for_row | needs_more_evidence | native_only | reject
