source_id	classification_type	classification_value	classification_source	classification_confidence	notes
work_title_turri_et_al_2015_experiment_1_darrel_squirrel_knowledge_attributio	study_design	corpus extracted result	source_directness	medium	
work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	field	clinical_trials_registry	plot_row_json	high	
src_du2024	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
src_du2024	field	clinical_trials_registry	plot_row_json	high	
work_title_percentage_of_subjects_with_at_least_one_episode_of_shigellosis_ac	study_design	corpus extracted result	source_directness	medium	
work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	field	Clinical medicine	inferred_from_source_family	medium	
work_title_absolute_change_from_baseline_in_glycosylated_hemoglobin_hba1c_at	study_design	clinical trial registry result	source_directness	medium	
work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	source_family	clinifact_published_primary_pairs	human_check_source_result_sample_300.tsv	medium	
work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	field	medicine_rct	plot_row_json	high	
src_zhang2025clinifact	source_family	clinifact_published_primary_pairs	human_check_source_result_sample_300.tsv	medium	
src_zhang2025clinifact	field	medicine_rct	plot_row_json	high	
work_title_effects_on_bone_mineral_density_of_a_monophasic_combined_oral_cont	study_design	corpus extracted result	source_directness	medium	
work_title_jap_82_1_89	source_family	metabus_open_bosco	human_check_source_result_sample_300.tsv	medium	
work_title_jap_82_1_89	field	io_psychology_management	plot_row_json	high	
work_title_jap_82_1_89	study_design	corpus extracted result	source_directness	medium	
work_doi_10_1093_joc_jqaf007	source_family	Communication privacy SEM paths	human_check_source_result_sample_300.tsv	medium	
src_masur2025privacy	source_family	Communication privacy SEM paths	human_check_source_result_sample_300.tsv	medium	
work_doi_10_1093_joc_jqaf007	study_design	replication pair	source_directness	medium	
work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	source_family	Wood Hoy Pryke China-aid attitudes preregistered survey experiment	human_check_source_result_sample_300.tsv	medium	
work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	field	Political science	plot_row_json	high	
src_woodhoyprykechinaaiddataverse	source_family	Wood Hoy Pryke China-aid attitudes preregistered survey experiment	human_check_source_result_sample_300.tsv	medium	
src_woodhoyprykechinaaiddataverse	field	Political science	plot_row_json	high	
work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	study_design	field experiment component row	source_directness	medium	
work_doi_10_1073_pnas_2103313118	source_family	FReD filtered pair table	human_check_source_result_sample_300.tsv	medium	
work_doi_10_1073_pnas_2103313118	study_design	replication pair	source_directness	medium	
work_title_percent_change_in_worst_pain_score	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_percent_change_in_worst_pain_score	field	clinical_trials_registry	plot_row_json	high	
work_title_percent_change_in_worst_pain_score	study_design	corpus extracted result	source_directness	medium	
work_title_demographic_and_genome_wide_association_analyses_according_to_musc	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_demographic_and_genome_wide_association_analyses_according_to_musc	field	genetics_biomedicine	plot_row_json	high	
work_title_demographic_and_genome_wide_association_analyses_according_to_musc	study_design	corpus extracted result	source_directness	medium	
work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	source_family	DARPA SCORE / COS claims	human_check_source_result_sample_300.tsv	medium	
work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	field	Psychology/health	plot_row_json	high	
src_tyner2026	source_family	DARPA SCORE / COS claims	human_check_source_result_sample_300.tsv	medium	
src_tyner2026	field	Psychology/health	plot_row_json	high	
work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	study_design	corpus extracted result	source_directness	medium	
work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	field	genetics_biomedicine	plot_row_json	high	
work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	study_design	corpus extracted result	source_directness	medium	
work_title_antipsychotic_efficacy	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_antipsychotic_efficacy	field	Clinical medicine	inferred_from_source_family	medium	
work_title_antipsychotic_efficacy	study_design	clinical trial registry result	source_directness	medium	
work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	field	genetics_biomedicine	plot_row_json	high	
work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	study_design	corpus extracted result	source_directness	medium	
work_title_etminan_72	source_family	button_nord_neuroscience	human_check_source_result_sample_300.tsv	medium	
work_title_etminan_72	field	neuroscience	plot_row_json	high	
src_button2013	source_family	button_nord_neuroscience	human_check_source_result_sample_300.tsv	medium	
src_button2013	field	neuroscience	plot_row_json	high	
work_title_etminan_72	study_design	corpus extracted result	source_directness	medium	
work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	field	genetics_biomedicine	plot_row_json	high	
work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	study_design	corpus extracted result	source_directness	medium	
work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	source_family	forrt_fred	human_check_source_result_sample_300.tsv	medium	
work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	field	Social Psychology	plot_row_json	high	
src_tosh2024	source_family	forrt_fred	human_check_source_result_sample_300.tsv	medium	
src_tosh2024	field	Social Psychology	plot_row_json	high	
work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	study_design	corpus extracted result	source_directness	medium	
work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	field	genetics_biomedicine	plot_row_json	high	
work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	study_design	corpus extracted result	source_directness	medium	
work_title_morphine_milligram_equivalents_mme	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_morphine_milligram_equivalents_mme	field	clinical_trials_registry	plot_row_json	high	
work_title_morphine_milligram_equivalents_mme	study_design	corpus extracted result	source_directness	medium	
work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	source_family	motyl_2017_critical_tests	human_check_source_result_sample_300.tsv	medium	
work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	field	psychology_social_personality	plot_row_json	high	
src_motyl2017state	source_family	motyl_2017_critical_tests	human_check_source_result_sample_300.tsv	medium	
src_motyl2017state	field	psychology_social_personality	plot_row_json	high	
work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	study_design	corpus extracted result	source_directness	medium	
work_title_period_1_endoscopic_remission	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_period_1_endoscopic_remission	field	clinical_trials_registry	plot_row_json	high	
work_title_period_1_endoscopic_remission	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_jap_84_3_445_3761	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_84_3_445_3761	field	io_psychology_management	plot_row_json	high	
src_bosco2020metabus	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_84_3_445_3761	study_design	corpus extracted result	source_directness	medium	
work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	field	genetics_biomedicine	plot_row_json	high	
work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	study_design	corpus extracted result	source_directness	medium	
work_title_schaefer_2019_np_soc_079	source_family	schaefer_schwarz_2019_without_prereg	human_check_source_result_sample_300.tsv	medium	
work_title_schaefer_2019_np_soc_079	field	Psychology/health	plot_row_json	high	
src_schaefer2019meaningfulness	source_family	schaefer_schwarz_2019_without_prereg	human_check_source_result_sample_300.tsv	medium	
work_title_schaefer_2019_np_soc_079	study_design	corpus extracted result	source_directness	medium	
work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	source_family	Motyl social/personality critical tests	human_check_source_result_sample_300.tsv	medium	
work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	field	psychology_social_personality	plot_row_json	high	
src_motyl2017state	source_family	Motyl social/personality critical tests	human_check_source_result_sample_300.tsv	medium	
work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	study_design	corpus extracted result	source_directness	medium	
work_title_jap_87_1_185	source_family	metabus_open_bosco	human_check_source_result_sample_300.tsv	medium	
work_title_jap_87_1_185	field	io_psychology_management	plot_row_json	high	
work_title_jap_87_1_185	study_design	corpus extracted result	source_directness	medium	
work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	field	clinical_trials_registry	plot_row_json	high	
work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	study_design	corpus extracted result	source_directness	medium	
work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	field	clinical_trials_registry	plot_row_json	high	
work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	study_design	corpus extracted result	source_directness	medium	
work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	field	genetics_biomedicine	plot_row_json	high	
work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	study_design	corpus extracted result	source_directness	medium	
work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	field	clinical_trials_registry	plot_row_json	high	
work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	study_design	corpus extracted result	source_directness	medium	
work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	field	genetics_biomedicine	plot_row_json	high	
work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	study_design	corpus extracted result	source_directness	medium	
work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	field	clinical_trials_registry	plot_row_json	high	
work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	study_design	corpus extracted result	source_directness	medium	
work_title_narcotic_use	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_narcotic_use	field	clinical_trials_registry	plot_row_json	high	
work_title_narcotic_use	study_design	corpus extracted result	source_directness	medium	
work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	field	clinical_trials_registry	plot_row_json	high	
work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	study_design	corpus extracted result	source_directness	medium	
work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	source_family	MetaLab	human_check_source_result_sample_300.tsv	medium	
work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	field	developmental_psychology	plot_row_json	high	
src_bergmann2018metalab	source_family	MetaLab	human_check_source_result_sample_300.tsv	medium	
src_bergmann2018metalab	field	developmental_psychology	plot_row_json	high	
work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	study_design	corpus extracted result	source_directness	medium	
work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	source_family	ctgov_finer_grained_kg	human_check_source_result_sample_300.tsv	medium	
work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	field	clinical_trials_registry	plot_row_json	high	
work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	study_design	corpus extracted result	source_directness	medium	
work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	source_family	Motyl social/personality critical tests	human_check_source_result_sample_300.tsv	medium	
work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	field	psychology_social_personality	plot_row_json	high	
work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	study_design	corpus extracted result	source_directness	medium	
work_title_schaefer_2019_np_cli_064	source_family	schaefer_schwarz_2019_without_prereg	human_check_source_result_sample_300.tsv	medium	
work_title_schaefer_2019_np_cli_064	field	Psychology/health	plot_row_json	high	
work_title_schaefer_2019_np_cli_064	study_design	corpus extracted result	source_directness	medium	
work_title_kuhberger_669	source_family	kuhberger_2014_main_results	human_check_source_result_sample_300.tsv	medium	
work_title_kuhberger_669	field	Psychology/health	plot_row_json	high	
src_kuhberger2014publicationbias	source_family	kuhberger_2014_main_results	human_check_source_result_sample_300.tsv	medium	
src_kuhberger2014publicationbias	field	Psychology/health	plot_row_json	high	
work_title_kuhberger_669	study_design	corpus extracted result	source_directness	medium	
work_nct_nct02473289	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_nct_nct02473289	field	Clinical medicine	plot_row_json	high	
work_nct_nct02473289	study_design	clinical trial registry result	source_directness	medium	
work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	source_family	metalab	human_check_source_result_sample_300.tsv	medium	
work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	field	developmental_psychology	plot_row_json	high	
src_bergmann2018metalab	source_family	metalab	human_check_source_result_sample_300.tsv	medium	
work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	study_design	corpus extracted result	source_directness	medium	
work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	source_family	DARPA SCORE / COS claims	human_check_source_result_sample_300.tsv	medium	
work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	field	Psychology/health	plot_row_json	high	
work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	study_design	corpus extracted result	source_directness	medium	
work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	source_family	DARPA SCORE / COS claims	human_check_source_result_sample_300.tsv	medium	
work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	field	sociology and criminology	plot_row_json	high	
src_tyner2026	field	sociology and criminology	plot_row_json	high	
work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	study_design	corpus extracted result	source_directness	medium	
work_title_pten_expression_of_sinc_vs_sicnot6l_in_dicer_ex5_hct116_cells	source_family	RPCB	human_check_source_result_sample_300.tsv	medium	
src_errington2021	source_family	RPCB	human_check_source_result_sample_300.tsv	medium	
work_title_pten_expression_of_sinc_vs_sicnot6l_in_dicer_ex5_hct116_cells	study_design	replication pair	source_directness	medium	
work_title_psalta_l_young_a_w_thompson_p_andrews_t_j_2014_the_thatcher_illusi	source_family	Motyl social/personality critical tests	human_check_source_result_sample_300.tsv	medium	
work_title_psalta_l_young_a_w_thompson_p_andrews_t_j_2014_the_thatcher_illusi	field	psychology_social_personality	plot_row_json	high	
work_title_psalta_l_young_a_w_thompson_p_andrews_t_j_2014_the_thatcher_illusi	study_design	corpus extracted result	source_directness	medium	
work_title_a_scalable_variational_inference_approach_for_increased_mixed_mode	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_a_scalable_variational_inference_approach_for_increased_mixed_mode	field	genetics_biomedicine	plot_row_json	high	
work_title_a_scalable_variational_inference_approach_for_increased_mixed_mode	study_design	corpus extracted result	source_directness	medium	
work_title_ethnicity_and_altruism_after_violence_the_contact_hypothesis_in_ko	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_ethnicity_and_altruism_after_violence_the_contact_hypothesis_in_ko	field	Political science	plot_row_json	high	
src_tyner2026	field	Political science	plot_row_json	high	
work_title_ethnicity_and_altruism_after_violence_the_contact_hypothesis_in_ko	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_jap_93_5_1013_4374	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_93_5_1013_4374	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_jap_93_5_1013_4374	study_design	corpus extracted result	source_directness	medium	
work_title_genetic_correlates_of_vitamin_d_binding_protein_and_25_hydroxyvita	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genetic_correlates_of_vitamin_d_binding_protein_and_25_hydroxyvita	field	genetics_biomedicine	plot_row_json	high	
work_title_genetic_correlates_of_vitamin_d_binding_protein_and_25_hydroxyvita	study_design	corpus extracted result	source_directness	medium	
work_title_adapting_to_climate_change_the_remarkable_decline_in_the_us_temper	source_family	score_cos_claims	human_check_source_result_sample_300.tsv	medium	
work_title_adapting_to_climate_change_the_remarkable_decline_in_the_us_temper	field	economics and finance	plot_row_json	high	
src_tyner2026	field	economics and finance	plot_row_json	high	
work_title_adapting_to_climate_change_the_remarkable_decline_in_the_us_temper	study_design	corpus extracted result	source_directness	medium	
work_title_genome_wide_association_study_meta_analysis_for_parkinson_disease	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genome_wide_association_study_meta_analysis_for_parkinson_disease	field	genetics_biomedicine	plot_row_json	high	
work_title_genome_wide_association_study_meta_analysis_for_parkinson_disease	study_design	corpus extracted result	source_directness	medium	
work_title_clarkson_j_j_valente_m_j_leone_c_tormala_z_l_2013_motivated_reflec	source_family	Motyl social/personality critical tests	human_check_source_result_sample_300.tsv	medium	
work_title_clarkson_j_j_valente_m_j_leone_c_tormala_z_l_2013_motivated_reflec	field	psychology_social_personality	plot_row_json	high	
work_title_clarkson_j_j_valente_m_j_leone_c_tormala_z_l_2013_motivated_reflec	study_design	corpus extracted result	source_directness	medium	
work_title_pmcid_4493951	source_family	yun_llm_meta_analysis	human_check_source_result_sample_300.tsv	medium	
work_title_pmcid_4493951	field	medicine_rct	plot_row_json	high	
src_yun2024llmextraction	source_family	yun_llm_meta_analysis	human_check_source_result_sample_300.tsv	medium	
src_yun2024llmextraction	field	medicine_rct	plot_row_json	high	
work_title_pmcid_4493951	study_design	corpus extracted result	source_directness	medium	
work_title_linden_2018_1	source_family	linden_2024_random_effects	human_check_source_result_sample_300.tsv	medium	
work_title_linden_2018_1	field	Psychology/health	plot_row_json	high	
src_linden2024publicationbiaspsychology	source_family	linden_2024_random_effects	human_check_source_result_sample_300.tsv	medium	
src_linden2024publicationbiaspsychology	field	Psychology/health	plot_row_json	high	
work_title_linden_2018_1	study_design	corpus extracted result	source_directness	medium	
work_title_evidence_for_vav2_and_znf433_as_susceptibility_genes_for_multiple	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_evidence_for_vav2_and_znf433_as_susceptibility_genes_for_multiple	field	genetics_biomedicine	plot_row_json	high	
work_title_evidence_for_vav2_and_znf433_as_susceptibility_genes_for_multiple	study_design	corpus extracted result	source_directness	medium	
work_title_mediastinal_nodal_clearance_after_completion_of_induction_chemorad	source_family	ClinicalTrials.gov phase-2+ primary randomized registry rows	human_check_source_result_sample_300.tsv	medium	
work_title_mediastinal_nodal_clearance_after_completion_of_induction_chemorad	field	Clinical medicine	inferred_from_source_family	medium	
work_title_mediastinal_nodal_clearance_after_completion_of_induction_chemorad	study_design	clinical trial registry result	source_directness	medium	
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	source_family	Schäfer/Schwarz 2019 preregistered psychology articles	human_check_source_result_sample_300.tsv	medium	
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	field	Psychology/health	plot_row_json	high	
work_title_2016_preregistered_key_question_effect_schaefer_2019_preg_60	study_design	corpus extracted result	source_directness	medium	
work_title_do_cannabis_based_medicinal_extracts_have_general_or_specific_effe	source_family	clinifact_published_primary_pairs	human_check_source_result_sample_300.tsv	medium	
work_title_do_cannabis_based_medicinal_extracts_have_general_or_specific_effe	field	medicine_rct	plot_row_json	high	
work_title_do_cannabis_based_medicinal_extracts_have_general_or_specific_effe	study_design	corpus extracted result	source_directness	medium	
work_title_maximizing_performance	source_family	forrt_fred	human_check_source_result_sample_300.tsv	medium	
work_title_maximizing_performance	field	Sports Science	plot_row_json	high	
src_tosh2024	field	Sports Science	plot_row_json	high	
work_title_maximizing_performance	study_design	corpus extracted result	source_directness	medium	
work_title_a_genome_wide_association_meta_analysis_of_preschool_internalizing	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_a_genome_wide_association_meta_analysis_of_preschool_internalizing	field	genetics_biomedicine	plot_row_json	high	
work_title_a_genome_wide_association_meta_analysis_of_preschool_internalizing	study_design	corpus extracted result	source_directness	medium	
work_title_organizational_learning_in_target_setting	source_family	DARPA SCORE / COS claims	human_check_source_result_sample_300.tsv	medium	
work_title_organizational_learning_in_target_setting	field	Business	plot_row_json	high	
work_title_organizational_learning_in_target_setting	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_jap_77_4_453_3437	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_77_4_453_3437	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_jap_77_4_453_3437	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_jap_93_3_632_4351	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_93_3_632_4351	field	io_psychology_management	plot_row_json	high	
work_plot2_metabus_open_bosco_jap_93_3_632_4351	study_design	corpus extracted result	source_directness	medium	
work_title_genome_wide_association_study_of_mri_markers_of_cerebral_small_ves	source_family	gwas_catalog	human_check_source_result_sample_300.tsv	medium	
work_title_genome_wide_association_study_of_mri_markers_of_cerebral_small_ves	field	genetics_biomedicine	plot_row_json	high	
work_title_genome_wide_association_study_of_mri_markers_of_cerebral_small_ves	study_design	corpus extracted result	source_directness	medium	
work_plot2_metabus_open_bosco_jap_95_1_183_4501	source_family	metaBUS open Bosco subset	human_check_source_result_sample_300.tsv	medium	
work_plot2_metabus_open_bosco_jap_95_1_183_4501	field	io_psychology_management	plot_row_json	high	
