source_result_id	old_level	proposed_level	decision	status	paperclip_result_id	paperclip_query	paperclip_search_output_path	paperclip_results_csv_path	known_title_or_target	known_url_or_doi	match_basis	matched_title	matched_authors	matched_id	matched_source	matched_date	matched_url	matched_abstract	candidate_count	top_candidate_titles
sr_ec359e2c27e0	3	3	not_promoted	searched	s_4be7d91f	"""ACE Question"" OR ""https://journals.lww.com/02035738-201601000-00019"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_ec359e2c27e0_ACE_Question.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_ec359e2c27e0_ACE_Question.results.csv	ACE Question	https://journals.lww.com/02035738-201601000-00019									10	Microgrids control: AC or DC, that is not the question | Practice it to ace it: students writing practice questions for tests | Evaluation of the Activity Engagement Survey (AcES) for Use with Clicker Questions
sr_60c2a469e71e	3	3	not_promoted	searched	s_04b6d824	"""Recall memory, recognition memory, and the eyewitness confidence-accuracy correlation."" OR ""10.1037//0021-9010.81.5.587"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_60c2a469e71e_Recall_memory_recognition_memory_and_t.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_60c2a469e71e_Recall_memory_recognition_memory_and_t.results.csv	Recall memory, recognition memory, and the eyewitness confidence-accuracy correlation.	https://doi.org/10.1037//0021-9010.81.5.587									10	Witness confidence and witness accuracy: Assessing their forensic relation. | A comparison of correlation, calibration, and diagnosticity as measures of the confidence–accuracy relationship in witness identification. | Does the Experience of Remembering Differentially Influence the Factual Accuracy of Recognition, and Confidence in Its Accuracy?
sr_8ad55815e5fc	3	4	promote_to_4_paperclip_abstract	searched	s_7669ae9e	"""Effects of frame-of-reference training on rater accuracy under alternative time delays."" OR ""10.1037//0021-9010.79.4.535"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_8ad55815e5fc_Effects_of_frame-of-reference_training_o.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_8ad55815e5fc_Effects_of_frame-of-reference_training_o.results.csv	Effects of frame-of-reference training on rater accuracy under alternative time delays.	https://doi.org/10.1037//0021-9010.79.4.535	doi_exact	Effects of frame-of-reference training on rater accuracy under alternative time delays.	Lorne M. Sulsky	2010789402	abstracts	1994-08-01	https://doi.org/10.1037/0021-9010.79.4.535	The authors investigated the effects of frame-of-reference (FOR) training on various indexes of distance and correlational accuracy under alternative time delays. One hundred fifty subjects were assig	9	Effects of frame-of-reference training on rater accuracy under alternative time delays. | Restructured frame‐of‐reference training improves rating accuracy | The Effects of Task Information Training and Frame-of-Reference Training With Situational Constraints on Rating Accuracy
sr_be6f969d81a7	3	4	promote_to_4_paperclip_abstract	searched	s_c7f39f85	"""IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY"" OR ""10.1111/j.1744-6570.2001.tb00227.x"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_be6f969d81a7_IMPROVING_APPLICANTS_REACTIONS_TO_REJEC.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_be6f969d81a7_IMPROVING_APPLICANTS_REACTIONS_TO_REJEC.results.csv	IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY	https://doi.org/10.1111/j.1744-6570.2001.tb00227.x	doi_exact	IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY	Stephen W. Gilliland	2014887780	abstracts	2001-09-01	https://doi.org/10.1111/j.1744-6570.2001.tb00227.x	Explanations in the context of employment rejection letters were studied from the perspective of fairness theory (Folger &amp; Cropanzano, 1998). In 2 scenario‐based studies and 1 field experiment, Wo	10	IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY | Research on the Application of Fair Value in the Chinese Market | Fairness from the Applicant's Perspective: Reactions to Employee Selection Procedures
sr_46fcf0099591	3	4	promote_to_4_paperclip_abstract	searched	s_03ee4c4a	"""Race, job applicants, and the Five-Factor Model of Personality: Implications for Black psychology, industrial/organizational psychology, and the Five-Factor Theory."" OR ""10.1037//0021-9010.83.4.531"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_46fcf0099591_Race_job_applicants_and_the_Five-Facto.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_46fcf0099591_Race_job_applicants_and_the_Five-Facto.results.csv	Race, job applicants, and the Five-Factor Model of Personality: Implications for Black psychology, industrial/organizational psychology, and the Five-Factor Theory.	https://doi.org/10.1037//0021-9010.83.4.531	doi_exact	Race, job applicants, and the Five-Factor Model of Personality: Implications for Black psychology, industrial/organizational psychology, and the Five-Factor Theory.	Judith M. Collins	2056361570	abstracts	1998-08-01	https://doi.org/10.1037/0021-9010.83.4.531	We tested the fit of the five-factor model of personality with a sample of African American (n = 184) and Caucasian (n = 168) job applicants using confirmatory factor analysis with tests of invariance	10	Race, job applicants, and the Five-Factor Model of Personality: Implications for Black psychology, industrial/organizational psychology, and the Five-Factor Theory. | A novel constitution-based personality-job fit theory: harmonizing organizational psychology and traditional Chinese medicine theories | Student’s motivations behind not pursuing industrial/organizational psychology
sr_c4f5b565a745	3	3	not_promoted	searched	s_0d66c2f3	"""Women and equal employment opportunity: Some unintended effects."" OR ""10.1037//0021-9010.67.1.119"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_c4f5b565a745_Women_and_equal_employment_opportunity.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_c4f5b565a745_Women_and_equal_employment_opportunity.results.csv	Women and equal employment opportunity: Some unintended effects.	https://doi.org/10.1037//0021-9010.67.1.119									10	Equal Employment Opportunity in Supply Chains | Attributional Effects of Equal Employment Opportunity | THE IMPLEMENTATION AND EFFECTIVENESS OF EQUAL OPPORTUNITY EMPLOYMENT.
sr_d30c0407b24b	2	2	not_promoted	searched	s_d05da32c	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_BIO.019"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_d30c0407b24b_plot2_schaefer_2019_np_BIO.019.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_d30c0407b24b_plot2_schaefer_2019_np_BIO.019.results.csv		https://doi.org/10.21769/bioprotoc.5001									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_2ead36cae8e2	2	2	not_promoted	searched	s_842876bd	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_MUL.093"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_2ead36cae8e2_schaefer_2019_np_MUL.093.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_2ead36cae8e2_schaefer_2019_np_MUL.093.results.csv		https://doi.org/10.1088/1126-6708/2008/12/093									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_10e682ba553b	2	2	not_promoted	searched	s_cad126d0	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_EXP.031"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_10e682ba553b_plot2_schaefer_2019_np_EXP.031.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_10e682ba553b_plot2_schaefer_2019_np_EXP.031.results.csv		https://doi.org/10.1088/1126-6708/2006/05/031									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_1e8a07a9cd86	2	2	not_promoted	searched	s_a46fbb69	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_DEV.029"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_1e8a07a9cd86_plot2_schaefer_2019_np_DEV.029.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_1e8a07a9cd86_plot2_schaefer_2019_np_DEV.029.results.csv		https://doi.org/10.1093/jicru/3.2.report70									10	Leveling Up Learning: Exploring Meaningful Gamification in Psychology Courses | The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases | LGBT employees in state agencies and their creation of psychological meaningfulness
sr_22f96d70c38a	2	2	not_promoted	searched	s_be1846d9	"""Publication bias in psychology: A closer look at the correlation between sample size and effect size"" ""linden_2015_2"""	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_22f96d70c38a_Linden_Study_2_random-paper_row_Year_20.search.txt	data/cache/provenance_level5/sample_300_targeted/paperclip/sr_22f96d70c38a_Linden_Study_2_random-paper_row_Year_20.results.csv	Linden Study 2 random-paper row: Year 2015 Paper 2										9	On the correlation between effect size and sample size: A reply | Challenging the N-Heuristic: Effect size, not sample size, predicts the replicability of psychological science | Beyond Increasing Sample Sizes: Optimizing Effect Sizes in Neuroimaging Research on Individual Differences
