problem_id	source_result_id	table_name	column_name	problem_code	severity	detail	suggested_rework	resolved	resolved_by	resolved_at
prob_b62b8aaa7b9f	sr_ceddf70c38b1	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_293ba2eca895	sr_acfd28ade498	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_db571bb453d6	sr_995bd3c3900a	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_46c1cf053b23	sr_e567a2ed8bf8	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_b85711f72d7f	sr_a3c89d628df7	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_e737eed80cb6	sr_07eb16a91055	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_26f68493e6d6	sr_418e6ec7b4d3	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_2097f974be9c	sr_68030d0ead7f	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_d7ce5df39623	sr_9e1a912c9b1d	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_2f33e49ecce7	sr_df1f5890afec	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_799538ab046d	sr_f5b1fa84ce27	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_e40657e9442c	sr_17b0cfe42e6d	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_c9e3e8853941	sr_c1cbd6657a4e	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_feef4b061565	sr_6e06fcfca537	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_4a54cd738f64	sr_307943984453	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_9f002f26c4bb	sr_61bbdea80744	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_dd5da95d557b	sr_1ed207224a85	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_edd8fb2acb65	sr_fdf78d9e9f66	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_9a7ada2a03c1	sr_72511a245c94	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_8a3e21eed866	sr_c5752f09223e	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_fbbc87e401bb	sr_9c4daeb580e8	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6e36af7fc4fd	sr_c25aa56f24e3	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_85a4b2f58be6	sr_4871288bad74	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_9fd37d5f9adf	sr_92b015f56f77	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_c5c113c02826	sr_2c54a948cfe2	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_16f937bd84e6	sr_6884c920951c	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_3ff7efcafc61	sr_333ef50a595e	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_63050966ae54	sr_03355505d651	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_8966d1347b59	sr_e89d75ebfd8e	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_0f604eca6d69	sr_61aeb1d7281e	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_a4f563ea1404	sr_e786a4f0bdc3	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6f7cd6ea0a95	sr_81dcacb19b9f	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_d115e835918e	sr_e74bda715816	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_7446fa1c0fbc	sr_3ea41f299d78	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_0952dbbb1ee4	sr_78c450606fc2	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_b986b9cdb778	sr_c32a10acbc15	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_bbb15b40a38a	sr_68c0e5067d4b	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_adef91b578ea	sr_f339c0254923	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_2b4eaddd5cd4	sr_9078255a0573	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_bfe1bb7cda5e	sr_b38402a7e48a	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_a9c778d5f1e8	sr_deff8d4a6913	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_376e51a71f8d	sr_b0fb1425aea4	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_7e3af95b011a	sr_c15be1b60041	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_acae08fc243a	sr_b2348504f69b	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_8a3e45e6fcdc	sr_87ff7572edff	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_fac918289e45	sr_05a96a248d34	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_fb5eb54d2848	sr_6d53289e06ab	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_f51d4ce04239	sr_528e74f3ea09	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_716102651e8a	sr_68b9aab77905	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_dbd575043cbe	sr_612caed0e0da	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_d5fe03ee1c0b	sr_21fe810427f5	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_3e532850f0ad	sr_d77f8db1d1b7	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_0027d8f31ec4	sr_31cedf25f0f0	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_c5dc8bd2c7b0	sr_553821bb35af	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_4b77d3fd1177	sr_6b48885948a9	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_879a329105f0	sr_afedb8c87b93	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_09635d623240	sr_fbb29ff3b4c7	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_31d045af1adb	sr_dc4eddf69c3c	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_0e7a10547ccd	sr_0832a411bca2	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_d710f873dbb2	sr_47e74981aa68	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_120266d9464a	sr_6c3663410cb7	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_d8dbbc3b1236	sr_0372d6c4f192	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_76d7dd82005e	sr_6c8fbd0ac45b	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_90780a259736	sr_df148fcf0ce2	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_0cd576dc23b3	sr_d3539c7b3ccb	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_269955ba13ee	sr_b60e3b988d3b	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_29ae0ee193d1	sr_3fcd19c120b1	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_7053bc86cb90	sr_a9a7d2fcc0d6	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_a7da5d6ba140	sr_be4fa916ebbe	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_fa5ec186c76b	sr_e2cb991d651a	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_41055e53e2f2	sr_4018aa63d523	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6abb7f6b6f58	sr_1ffcb30d1c76	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_a5ac8dca0c60	sr_5b1a0fc622e3	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_14e515fba1f9	sr_1c71871780ff	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_ec3d128bff1b	sr_1ba37b2938cd	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_15c8e9188fae	sr_0a4728aa6abf	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_53bb775397be	sr_3e576eaeee38	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_80d730883fcc	sr_9ff92c0aba20	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_b8d752dbe3fa	sr_14d8f4c6d1d5	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_97bd905bd6e0	sr_025e90b19395	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_9abefdd59546	sr_efa55a2812ef	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_bc36310f293e	sr_6c3339adac2d	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_7d4b9f6c3c5b	sr_2ef5e9c7214d	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_eea9879656c6	sr_09224852e3e6	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_3126f2ade5ef	sr_a556216508fd	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6889d0d0a28e	sr_fd9b4c04ec6f	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_51182b78e659	sr_ddfbf61c7617	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_a228cd382421	sr_4458f7fc086a	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6678331325da	sr_3a4c25fbf576	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_85baf8138809	sr_71af0798216e	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_8ff471149601	sr_09da2adb56e5	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_840b5aac1996	sr_17d687917962	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_6094b68f72a1	sr_ed726dff7f0e	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is replication_pair_source_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
prob_4dda461e3917	sr_ea908acbfb0c	source_result.tsv	verbatim_source_row_text	source_is_derived_not_original_text	medium	Best recovered source row is candidate_child_numeric_row; this is not guaranteed to be original paper/database text.	Backfill the original paper/database/table row and keep this derived row as a sidecar source-result.	false		
