source_result_id	flat_level	flat_label	blocker_category	recommended_next_action	plot_name	source_family	source_directness	result_label	grounding_status	primary_real_world_url_basis	primary_real_world_url	source_bib_real_world_url	source_bib_title	crossref_resolution_status	doi_list	pmid_list	url_list	best_status	source_byte_classes	final_urls	manual_next_step
sr_644891607462	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_CLI.046	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1088/1126-6708/2001/11/046	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_1eb547defd9c	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz preregistered psychology articles	candidate_child_numeric_row	plot2::schaefer_2019_preg_25	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1080/13540602.2018.1532407	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_ec359e2c27e0	3	target_independently_resolved	resolved_but_no_abstract_or_landing_captured	add host-specific abstract/landing parser or manual check	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	2016 preregistered key-question effect (schaefer_2019_preg_50)	represented_work_identifier_in_source_row	doi	https://doi.org/10.1097/01.asm.0001073948.78669.07	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	not_needed_or_not_attempted	10.1097/01.asm.0001073948.78669.07		https://doi.org/10.1097/01.asm.0001073948.78669.07				
sr_0cc5d4c7a6b9	3	target_independently_resolved	resolved_but_no_abstract_or_landing_captured	add host-specific abstract/landing parser or manual check	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	2017 preregistered key-question effect (schaefer_2019_preg_73)	represented_work_identifier_in_source_row	doi	https://doi.org/10.3917/herm.espin.2017.01.0065	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	not_needed_or_not_attempted	10.3917/herm.espin.2017.01.0065		https://doi.org/10.3917/herm.espin.2017.01.0065				
sr_60c2a469e71e	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-81-5-587	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.81.5.587	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.81.5.587 | https://api.datacite.org/dois/10.1037//0021-9010.81.5.587 | https://doi.apa.org/doi/10.1037/0021-9010.81.5.587 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.81.5.587%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.81.5.587 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.81.5.587?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_8ad55815e5fc	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::JAP-79-4-535	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.79.4.535	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.79.4.535 | https://api.datacite.org/dois/10.1037//0021-9010.79.4.535 | https://doi.apa.org/doi/10.1037/0021-9010.79.4.535 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.79.4.535%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.79.4.535 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.79.4.535?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_be6f969d81a7	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::PP-54-3-669	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1111/peps.2001.54.issue-3	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1111/peps.2001.54.issue-3 | http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fpeps.2001.54.issue-3 | https://api.datacite.org/dois/10.1111/peps.2001.54.issue-3 | https://onlinelibrary.wiley.com/toc/17446570/54/3 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1111/peps.2001.54.issue-3%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1111/peps.2001.54.issue-3 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/peps.2001.54.issue-3?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_46fcf0099591	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-83-4-531	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.83.4.531	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.83.4.531 | https://api.datacite.org/dois/10.1037//0021-9010.83.4.531 | https://doi.apa.org/doi/10.1037/0021-9010.83.4.531 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.83.4.531%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.83.4.531 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.83.4.531?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_c4f5b565a745	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-67-1-119	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.67.1.119	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.67.1.119 | https://api.datacite.org/dois/10.1037//0021-9010.67.1.119 | https://doi.apa.org/doi/10.1037/0021-9010.67.1.119 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.67.1.119%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.67.1.119 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.67.1.119?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_d30c0407b24b	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_BIO.019	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.21769/bioprotoc.5001	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_2ead36cae8e2	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_MUL.093	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1088/1126-6708/2008/12/093	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_10e682ba553b	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_EXP.031	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1088/1126-6708/2006/05/031	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_ee72592661db	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	forrt_fred	candidate_child_numeric_row	The origins of sex differences in human behavior: Evolved dispositions versus social roles.	represented_work_identifier_in_source_row	doi	https://doi.org/10.1037/0003-066x.54.6.408	https://doi.org/10.1090/noti3044	The Piranha Problem: Large Effects Swimming in a Small Pond	not_needed_or_not_attempted	10.1037/0003-066x.54.6.408			support_metadata_obtained | blocked_http_status | request_failed	metadata_record | blocked_no_source_object | not_retrieved	https://api.crossref.org/works/10.1037/0003-066x.54.6.408 | http://psycnet.apa.org/journals/amp/54/6/408.pdf | https://api.datacite.org/dois/10.1037/0003-066x.54.6.408 | https://doi.apa.org/doi/10.1037/0003-066X.54.6.408 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037/0003-066x.54.6.408%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037/0003-066x.54.6.408 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037/0003-066x.54.6.408?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found
sr_1e8a07a9cd86	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_DEV.029	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1093/jicru/3.2.report70	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity							
sr_22f96d70c38a	2	corpus_assertion_with_citation	no_identifier_or_url_in_corpus_row	return to source corpus row and extract DOI/title/authors/year; otherwise mark as corpus-only	Plot 4	linden_2024_random_effects	candidate_child_numeric_row	linden_2015_2	unresolved			https://doi.org/10.1371/journal.pone.0297075	Publication Bias in Psychology: A Closer Look at the Correlation between Sample Size and Effect Size	not_needed_or_not_attempted							
