source_result_id	verification_route	source_citation_key	current_evidence_level	nct_id	source_file_local_path	source_file_load_status	plotted_result_label	expected_d	expected_n	candidate_children_total	candidate_children_verified	computed_median_d_from_verified_children	computed_median_n_from_verified_children	all_children_verified	median_matches_plot	verification_status	promote_to_level6	failure_reason	source_value_snippets	lessons_learned
sr_72511a245c94	clinicaltrials_api_v2_json	du2024	6	NCT02561806	data/cache/provenance_level5/sample_300/sr_72511a245c94__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct02561806.json	existing_mirror	Percentage of Participants With a ≥90% Improvement in Psoriasis Area and Severity Index (PASI 90) From Baseline	0.3396553617491508	302.0	6	6	0.3396553617491508	302.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_18267 | outcome=Percentage of Participants With a ≥90% Improvement in Psoriasis Area and Severity Index (PASI 90) From Baseline | p=<0.001 | z=3.2905267314919255 | N_enrollment=302.0 | D=0.3786970721554485 || row_id=ctgovkg_18268 | outcome=Percentage of Participants With a ≥75% Improvement in PASI (PASI 75) From Baseline | p=<0.001 | z=3.2905267314919255 | N_enrollment=302.0 | D=0.3786970721554485 || row_id=ctgovkg_18269 | outcome=Percentage of Participants With a Static Physician Global Assessment (sPGA) (0,1) With at Least a 2-Point Improvement From Baseline | p=<0.001 | z=3.2905267314919255 | N_enrollment=302.0 | D=0.3786970721554485 || row_id=ctgovkg_41454 | outcome=Percentage of Participants With a 100% Improvement of PASI (PASI 100) From Baseline | p=0.009 | z=2.612054141229282 | N_enrollment=302.0 | D=0.300613651342853 || row_id=ctgovkg_41455 | outcome=Percentage of Participants With a sPGA (0) Remission | p=0.021 | z=2.3079844749459593 | N_enrollment=302.0 | D=0.2656191651255751	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_9c4daeb580e8	clinicaltrials_api_v2_json	du2024	6	NCT01391468	data/cache/provenance_level5/sample_300/sr_9c4daeb580e8__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct01391468.json	existing_mirror	the Occurrence of Cardiovascular Event and Peritonitis Events	0.3335239368416648	47.0	2	2	0.33352393684166487	47.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_48692 | outcome=the Occurrence of Cardiovascular Event and Peritonitis Events | p=>0.05 | z=1.9599639845400536 | N_enrollment=47.0 | D=0.5717802598822291 || row_id=ctgovkg_75697 | outcome=Change of Gastrointestinal Symptoms at 6 Months | p=0.744 | z=0.32656092741237264 | N_enrollment=47.0 | D=0.0952676138011006	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_4871288bad74	clinicaltrials_api_v2_json	du2024	6	NCT00422084	data/cache/provenance_level5/sample_300/sr_4871288bad74__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00422084.json	existing_mirror	PCR-Corrected Adequate Clinical and Parasitological Response (ACPR) Rate on Day 28	0.0311962297356195	1272.0	1	1	0.0311962297356195	1272.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_56358 | outcome=PCR-Corrected Adequate Clinical and Parasitological Response (ACPR) Rate on Day 28 | p=0.578 | z=0.5563084669589184 | N_enrollment=1272.0 | D=0.0311962297356195	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_92b015f56f77	clinicaltrials_api_v2_json	du2024	6	NCT01163214	data/cache/provenance_level5/sample_300/sr_92b015f56f77__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct01163214.json	existing_mirror	Narcotic Use	0.2169644725197314	160.0	17	17	0.2169644725197314	160.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_11025 | outcome=Narcotic Use | p=<0.001 | z=3.2905267314919255 | N_enrollment=160.0 | D=0.5202779586591846 || row_id=ctgovkg_11026 | outcome=Narcotic Use | p=<0.001 | z=3.2905267314919255 | N_enrollment=160.0 | D=0.5202779586591846 || row_id=ctgovkg_11027 | outcome=Straight-leg Raise | p=<0.001 | z=3.2905267314919255 | N_enrollment=160.0 | D=0.5202779586591846 || row_id=ctgovkg_11028 | outcome=Straight-leg Raise | p=<0.001 | z=3.2905267314919255 | N_enrollment=160.0 | D=0.5202779586591846 || row_id=ctgovkg_35303 | outcome=Straight-leg Raise | p=0.002 | z=3.090232306167813 | N_enrollment=160.0 | D=0.4886086293262543	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_2c54a948cfe2	clinicaltrials_api_v2_json	du2024	6	NCT00529399	data/cache/provenance_level5/sample_300/sr_2c54a948cfe2__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00529399.json	existing_mirror	The Primary Outcome is the Area Under the Stimulated C-peptide Curve (AUC) at the One Year Visit	0.0567953518547616	145.0	2	2	0.0567953518547616	145.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_58204 | outcome=The Primary Outcome is the Area Under the Stimulated C-peptide Curve (AUC) at the One Year Visit | p=0.98 | z=0.025068908258711057 | N_enrollment=145.0 | D=0.004163719031508 || row_id=ctgovkg_58205 | outcome=The Primary Outcome is the Area Under the Stimulated C-peptide Curve (AUC) at the One Year Visit | p=0.51 | z=0.6588376927361879 | N_enrollment=145.0 | D=0.1094269846780152	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_333ef50a595e	clinicaltrials_api_v2_json	du2024	6	NCT02398188	data/cache/provenance_level5/sample_300/sr_333ef50a595e__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct02398188.json	existing_mirror	Percentage of Subjects Who Achieved a Composite P-GAPS1/CPnS2 Response	0.0613180359550746	793.0	2	2	0.061318035955074596	793.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_89578 | outcome=Percentage of Subjects Who Achieved a Composite P-GAPS1/CPnS2 Response | p=0.397 | z=0.846991247490428 | N_enrollment=793.0 | D=0.0601550821906922 || row_id=ctgovkg_89579 | outcome=Percent Change in the Patient Reported Global Abdominal Perception Score | p=0.379 | z=0.8797403228402193 | N_enrollment=793.0 | D=0.062480989719457	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_c6091d70fcc5	clinicaltrials_api_v2_json	du2024	6	NCT02473289	data/cache/ctgov_api_v2_studies/NCT02473289.json	existing_mirror	Change From Baseline in Hamilton Depression Rating Scale (HDRS-17) Total Score at Week 12	0.1461545620033462	193.0	1	1	0.1461545620033462	193.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Change From Baseline in Hamilton Depression Rating Scale (HDRS-17) Total Score at Week 12 | p=0.310 | z=1.015222033217028 | N_enrollment=193.0 | D_recomputed=0.14615456200334623	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_f31698e541dc	clinicaltrials_api_v2_json	du2024	6	NCT00979212	data/cache/ctgov_api_v2_studies/NCT00979212.json	existing_mirror	Mediastinal Nodal Clearance After Completion of Induction Chemoradiotherapy With or Without Panitumumab.	0.011904270589728	71.0	1	1	0.011904270589728	71.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Mediastinal Nodal Clearance After Completion of Induction Chemoradiotherapy With or Without Panitumumab. | p=0.96 | z=0.050153583464733656 | N_enrollment=71.0 | D_recomputed=0.011904270589728086	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_6ec02a020539	clinicaltrials_api_v2_json	du2024	6	NCT01003184	data/cache/ctgov_api_v2_studies/NCT01003184.json	existing_mirror	Percentage of Patients Achieving Glycosylated Hemoglobin (HbA1c) Concentration ≤7.0% With Weight Loss (≥1.0 kg) at Endpoint (Week 26)	0.5222388605865403	222.0	1	1	0.5222388605865403	222.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Percentage of Patients Achieving Glycosylated Hemoglobin (HbA1c) Concentration ≤7.0% With Weight Loss (≥1.0 kg) at Endpoint (Week 26) | p=<.0001 | z=3.89059188641312 | N_enrollment=222.0 | D_recomputed=0.5222388605865438	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_01b8db23d742	clinicaltrials_api_v2_json	du2024	6	NCT00804570	data/cache/provenance_level6/sample_300/sr_01b8db23d742__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00804570.json	level6_cache	Percentage of Heavy Drinking Days at Week 16 Endpoint	0.1605763263732441	375.0	1	1	0.1605763263732441	375.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Percentage of Heavy Drinking Days at Week 16 Endpoint | p=0.120 | z=1.5547735945968528 | N_enrollment=375.0 | D_recomputed=0.16057632637324407	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_3fcd19c120b1	clinicaltrials_api_v2_json	du2024	6	NCT01747915	data/cache/provenance_level5/sample_300/sr_3fcd19c120b1__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct01747915.json	existing_mirror	Log-transformed (Log) 28-day Seizure Rate for All Primary Generalized Tonic-Clonic (PGTC) Seizures During 12-Week Double-Blind Treatment Phase	0.0290671581010409	219.0	4	4	0.0290671581010409	219.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_81071 | outcome=Log-transformed (Log) 28-day Seizure Rate for All Primary Generalized Tonic-Clonic (PGTC) Seizures During 12-Week Double-Blind Treatment Phase | p=0.8121 | z=0.23771777030242836 | N_enrollment=219.0 | D=0.0321269565806268 || row_id=ctgovkg_81072 | outcome=Log-transformed (Log) 28-day Seizure Rate for All Primary Generalized Tonic-Clonic (PGTC) Seizures During 12-Week Double-Blind Treatment Phase | p=0.8889 | z=0.13969623660991384 | N_enrollment=219.0 | D=0.0188795937398114 || row_id=ctgovkg_81073 | outcome=Percentage of Participants With at Least 50 Percent (%) or Greater Reduction From Baseline in 28-day Primary Generalized Tonic-clonic (PGTC) Seizure Rate During the 12-Week Double-blind Treatment Phase | p=0.7973 | z=0.2568429663830507 | N_enrollment=219.0 | D=0.0347116785528059 || row_id=ctgovkg_81074 | outcome=Percentage of Participants With at Least 50 Percent (%) or Greater Reduction From Baseline in 28-day Primary Generalized Tonic-clonic (PGTC) Seizure Rate During the 12-Week Double-blind Treatment Phase | p=0.8474 | z=0.19243688785615692 | N_enrollment=219.0 | D=0.026007359621455	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_76a99a771018	clinicaltrials_api_v2_json	du2024	6	NCT04244084	data/cache/provenance_level6/sample_300/sr_76a99a771018__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct04244084.json	level6_cache	Time to Resolution of Acute Respiratory Viral Infection (ARVI) Symptoms	0.3124827209583985	240.0	1	1	0.3124827209583985	240.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Time to Resolution of Acute Respiratory Viral Infection (ARVI) Symptoms | p=0.0155 | z=2.420480748498913 | N_enrollment=240.0 | D_recomputed=0.3124827209583984	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_29a6bfd3a748	clinicaltrials_api_v2_json	du2024	6	NCT00236184	data/cache/ctgov_api_v2_studies/NCT00236184.json	existing_mirror	Complete Heartburn Relief During the First Full 24-Hour Period in the ITT Population.	0.2624037856306126	629.0	1	1	0.2624037856306126	629.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Complete Heartburn Relief During the First Full 24-Hour Period in the ITT Population. | p=<0.001 | z=3.2905267314919255 | N_enrollment=629.0 | D_recomputed=0.26240378563061506	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_025e90b19395	clinicaltrials_api_v2_json	du2024	6	NCT02818036	data/cache/provenance_level5/sample_300/sr_025e90b19395__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct02818036.json	existing_mirror	Bold Oxygen-level Dependent (BOLD) Activations in Prespecified ROIs	0.3902599077854014	82.0	2	2	0.3902599077854014	82.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_19594 | outcome=Bold Oxygen-level Dependent (BOLD) Activations in Prespecified ROIs | p=<.01 | z=2.5758293035489 | N_enrollment=82.0 | D=0.5689055217984285 || row_id=ctgovkg_95559 | outcome=Self-reported Feelings of Connection in Response to the Scanner Tasks | p=.338 | z=0.9581244654219027 | N_enrollment=82.0 | D=0.2116142937723744	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_efa55a2812ef	clinicaltrials_api_v2_json	du2024	6	NCT00104650	data/cache/provenance_level5/sample_300/sr_efa55a2812ef__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00104650.json	existing_mirror	uNTx (Corrected by Creatinine) < 50 Nmol/mmol at Week 13	0.6056348459564733	111.0	8	8	0.6056348459564733	111.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_644 | outcome=uNTx (Corrected by Creatinine) < 50 Nmol/mmol at Week 13 | p=<0.001 | z=3.2905267314919255 | N_enrollment=111.0 | D=0.6246459514865736 || row_id=ctgovkg_645 | outcome=Time to Reduction of uNTX (Corrected by Creatinine) to <50nmol/mmol | p=<0.001 | z=3.2905267314919255 | N_enrollment=111.0 | D=0.6246459514865736 || row_id=ctgovkg_646 | outcome=Time to Reduction of uNTX (Corrected by Creatinine) to <50nmol/mmol | p=<0.001 | z=3.2905267314919255 | N_enrollment=111.0 | D=0.6246459514865736 || row_id=ctgovkg_25220 | outcome=uNTx (Corrected by Creatinine) < 50 Nmol/mmol at Week 13 | p=0.002 | z=3.090232306167813 | N_enrollment=111.0 | D=0.5866237404263729 || row_id=ctgovkg_25221 | outcome=Duration of Maintaining uNTX (Corrected by Creatinine) < 50nmol/mmol | p=0.006 | z=2.7477813854449917 | N_enrollment=111.0 | D=0.5216157345149989	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_9d0246e3a748	clinicaltrials_api_v2_json	du2024	6	NCT02715726	data/cache/ctgov_api_v2_studies/NCT02715726.json	existing_mirror	Percent Change From Baseline in Calculated Low Density Lipoprotein Cholesterol at Week 24: Intent-to-treat (ITT) Analysis	0.3137676135217137	615.0	1	1	0.3137676135217137	615.0	true	true	verified_single_registry_outcome_from_json	true		outcome=Percent Change From Baseline in Calculated Low Density Lipoprotein Cholesterol at Week 24: Intent-to-treat (ITT) Analysis | p=<0.0001 | z=3.89059188641312 | N_enrollment=615.0 | D_recomputed=0.31376761352171584	Raw CT.gov strict rows are single selected registry outcomes, not NCT-level medians; verify the selected outcome title/p-value/enrollment directly.
sr_6c3339adac2d	clinicaltrials_api_v2_json	du2024	6	NCT00725075	data/cache/provenance_level5/sample_300/sr_6c3339adac2d__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00725075.json	existing_mirror	Change From Baseline in Modified Scale for the Assessment of Negative Symptoms (SANS 1-22 Composite Score) at Week 12	0.078608258387828	215.0	2	2	0.07860825838782799	215.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_63431 | outcome=Change From Baseline in Modified Scale for the Assessment of Negative Symptoms (SANS 1-22 Composite Score) at Week 12 | p=0.267 | z=1.1099977408298742 | N_enrollment=215.0 | D=0.1514024352141975 || row_id=ctgovkg_63432 | outcome=Change From Baseline in Modified Scale for the Assessment of Negative Symptoms (SANS 1-22 Composite Score) at Week 12 | p=0.966 | z=0.04262558517694437 | N_enrollment=215.0 | D=0.0058140815614585	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_a556216508fd	clinicaltrials_api_v2_json	du2024	6	NCT00472199	data/cache/provenance_level5/sample_300/sr_a556216508fd__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00472199.json	existing_mirror	Change From Baseline in International Restless Legs Syndrome Study Group Rating Scale (IRLS) Total Score After 26 Weeks	0.1746715756666755	331.0	24	24	0.17467157566667546	331.0	true	true	verified_plot_d_n_from_registry_json	true		"row_id=ctgovkg_27578 | outcome=Change From Baseline in International Restless Legs Syndrome Study Group Rating Scale (IRLS) Total Score After 26 Weeks | p=0.0077 | z=2.6649489966589495 | N_enrollment=331.0 | D=0.2929576885980012 || row_id=ctgovkg_27579 | outcome=Clinical Global Impression - Global Improvement (CGI-I) Responder Rate | p=0.0010 | z=3.2905267314919255 | N_enrollment=331.0 | D=0.3617274126958338 || row_id=ctgovkg_27580 | outcome=International Restless Legs Syndrome (IRLS) Study Group Rating Scale Responder Rate | p=0.0044 | z=2.8479632874879215 | N_enrollment=331.0 | D=0.3130764389714132 || row_id=ctgovkg_27581 | outcome=Patient Global Impression (PGI) Responder Rate | p=0.0011 | z=3.2636163700692213 | N_enrollment=331.0 | D=0.3587691582258236 || row_id=ctgovkg_27582 | outcome=Change From Baseline in Restless Legs Syndrome-6 (RLS-6) Score ""Satisfaction With Sleep"" After 26 Weeks | p=0.0489 | z=1.9694625414565017 | N_enrollment=331.0 | D=0.2165029029256426"	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
sr_fd9b4c04ec6f	clinicaltrials_api_v2_json	du2024	6	NCT00841204	data/cache/provenance_level5/sample_300/sr_fd9b4c04ec6f__clinicaltrials_api_v2_json__clinicaltrials.gov_api_v2_studies_nct00841204.json	existing_mirror	Sulindac Effects on Apoptosis in Atypical Nevi	0.5143807833217554	50.0	2	2	0.5143807833217553	50.0	true	true	verified_plot_d_n_from_registry_json	true		row_id=ctgovkg_30816 | outcome=Sulindac Effects on Apoptosis in Atypical Nevi | p=0.0056 | z=2.770327233352173 | N_enrollment=50.0 | D=0.7835668691236363 || row_id=ctgovkg_65703 | outcome=Sulindac Effects on Vascular Endothelial Growth Factor (VEGF) Expression in Atypical Nevi | p=0.386 | z=0.8668941666364378 | N_enrollment=50.0 | D=0.2451946975198744	CT.gov paper dots are medians over all candidate child outcome rows; verification must match by NCT plus outcome title/p-value and then recompute the paper median.
