mapping_id	from_source_id	to_source_id	relationship_type	relationship_confidence	notes
map_660b9711588e	src_zhang2025clinifact	work_title_do_cannabis_based_medicinal_extracts_have_general_or_specific_effe	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6d53289e06ab; Inferred from dot-level parent source family and represented paper/result key.
map_e7c038644f5a	src_tosh2024	work_title_maximizing_performance	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_528e74f3ea09; Inferred from dot-level parent source family and represented paper/result key.
map_b9a47a2cb2a7	src_yengo2022	work_title_a_genome_wide_association_meta_analysis_of_preschool_internalizing	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_68b9aab77905; Inferred from dot-level parent source family and represented paper/result key.
map_385f365f80b5	src_tyner2026	work_title_organizational_learning_in_target_setting	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_612caed0e0da; Inferred from dot-level parent source family and represented paper/result key.
map_74bf35db7de8	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_77_4_453_3437	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_21fe810427f5; Inferred from dot-level parent source family and represented paper/result key.
map_827e9ac73dbd	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_93_3_632_4351	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_d77f8db1d1b7; Inferred from dot-level parent source family and represented paper/result key.
map_031c8f53e740	src_yengo2022	work_title_genome_wide_association_study_of_mri_markers_of_cerebral_small_ves	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_31cedf25f0f0; Inferred from dot-level parent source family and represented paper/result key.
map_5930878f0cf1	src_bosco2020metabus	work_plot2_metabus_open_bosco_jap_95_1_183_4501	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_553821bb35af; Inferred from dot-level parent source family and represented paper/result key.
map_91c031397c45	src_du2024	work_title_percentage_of_patients_achieving_glycosylated_hemoglobin_hba1c_con	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6ec02a020539; Inferred from dot-level parent source family and represented paper/result key.
map_9551a2976134	src_bosco2020metabus	work_title_jap_91_4_971	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6b48885948a9; Inferred from dot-level parent source family and represented paper/result key.
map_08a4fa661e5e	src_tyner2026	work_title_alves_et_al_2018_score_24716_49_3	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_afedb8c87b93; Inferred from dot-level parent source family and represented paper/result key.
map_d54fb1416be5	src_bosco2020metabus	work_title_jap_86_6_1120	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_fbb29ff3b4c7; Inferred from dot-level parent source family and represented paper/result key.
map_6829b9d32a05	src_yengo2022	work_title_identification_of_common_genetic_polymorphisms_associated_with_dow	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_dc4eddf69c3c; Inferred from dot-level parent source family and represented paper/result key.
map_ec648eafd7ff	src_du2024	work_title_percentage_of_heavy_drinking_days_at_week_16_endpoint	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_01b8db23d742; Inferred from dot-level parent source family and represented paper/result key.
map_3c94da885d77	src_tosh2024	work_doi_10_2466_pms_109_2_577_580	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_0832a411bca2; Inferred from dot-level parent source family and represented paper/result key.
map_3a4fe1f75639	src_olsson2023publicationbias	work_title_olsson_sundell_2023_57	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_47e74981aa68; Inferred from dot-level parent source family and represented paper/result key.
map_66750a503b0e	src_klein2018	work_title_many_labs_2_alter_1	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6c3663410cb7; Inferred from dot-level parent source family and represented paper/result key.
map_789794eeeaa9	src_tyner2026	work_title_wage_stagnation_and_buyer_power_how_buyer_supplier_relations_affec	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_0372d6c4f192; Inferred from dot-level parent source family and represented paper/result key.
map_a0a74d55378b	src_bosco2020metabus	work_plot2_metabus_open_bosco_pp_53_1_153_4827	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_6c8fbd0ac45b; Inferred from dot-level parent source family and represented paper/result key.
map_47dbf2f16f6f	src_internalkerschbaumerphaseiiiiirheumatology	work_title_phase_3_psoriatic_arthritis_trial_brodalumab_140_mg_csdmard_versus	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_df148fcf0ce2; Inferred from dot-level parent source family and represented paper/result key.
map_c697d9b037e5	src_yengo2022	work_title_genomics_of_perivascular_space_burden_unravels_early_mechanisms_of	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_d3539c7b3ccb; Inferred from dot-level parent source family and represented paper/result key.
map_a37b0b4f8a53	src_tosh2024	work_title_researchers_showed_images_to_the_adolescents_with_anorexia_nervosa	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_b60e3b988d3b; Inferred from dot-level parent source family and represented paper/result key.
map_844666f3a60c	src_du2024	work_title_log_transformed_log_28_day_seizure_rate_for_all_primary_generalize	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_3fcd19c120b1; Inferred from dot-level parent source family and represented paper/result key.
map_487f3444cf1d	src_tyner2026	work_title_explaining_explanations_how_legislators_explain_their_policy_posit	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_a9a7d2fcc0d6; Inferred from dot-level parent source family and represented paper/result key.
map_9514f090d604	src_soto2019loopr	work_title_religious_beliefs_and_behavior_cognitive_orientation_towards_spiri	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_be4fa916ebbe; Inferred from dot-level parent source family and represented paper/result key.
map_395d10b1b2b5	src_ito2018eyewitnesstencountries	work_title_garry_et_al_2008_co_witness_memory_distortion_original_new_zealand	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_e2cb991d651a; Inferred from dot-level parent source family and represented paper/result key.
map_62938f5b9b10	src_du2024	work_nct_nct04244084	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_76a99a771018; Inferred from dot-level parent source family and represented paper/result key.
map_8e94ba87038f	src_collaboration2015	work_title_https_osf_io_8j9cg	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_4018aa63d523; Inferred from dot-level parent source family and represented paper/result key.
map_1d630baa193a	src_collaboration2015	work_title_participants_cheated_more_frequently_after_reading_the_anti_free_w	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_1ffcb30d1c76; Inferred from dot-level parent source family and represented paper/result key.
map_2781c05eec9f	src_boyce2023studentreplication	work_title_f_1_117_127_07	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_5b1a0fc622e3; Inferred from dot-level parent source family and represented paper/result key.
map_6f933e47f515	src_du2024	work_title_complete_heartburn_relief_during_the_first_full_24_hour_period_in	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_29a6bfd3a748; Inferred from dot-level parent source family and represented paper/result key.
map_9f1e790754f0	src_bosco2020metabus	work_plot2_metabus_open_bosco_pp_63_2_439_4994	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_1c71871780ff; Inferred from dot-level parent source family and represented paper/result key.
map_36dc58220950	src_zhang2025clinifact	work_title_aflibercept_versus_placebo_in_combination_with_docetaxel_and_predn	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_1ba37b2938cd; Inferred from dot-level parent source family and represented paper/result key.
map_665737401cc1	src_tyner2026	work_doi_10_1007_s10683_011_9295_3	extraction_source_reports_result_for_represented_source	medium	source_result_id=sr_0a4728aa6abf; Inferred from dot-level parent source family and represented paper/result key.
