source_result_id	old_flat_level	old_flat_label	new_flat_level	new_flat_label	level_changed_yn	old_blocker_category	resolution_status	plot_name	source_family	result_label	old_primary_real_world_url	resolved_url	source_title	local_path	sha256	byte_class	targeted_resolution_notes	targeted_resolved_at_utc
sr_644891607462	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_CLI.046	https://doi.org/10.1088/1126-6708/2001/11/046			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_1eb547defd9c	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 2	Schäfer/Schwarz preregistered psychology articles	plot2::schaefer_2019_preg_25	https://doi.org/10.1080/13540602.2018.1532407			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_ec359e2c27e0	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_no_abstract_or_landing_captured	not_promoted_bot_block	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	2016 preregistered key-question effect (schaefer_2019_preg_50)	https://doi.org/10.1097/01.asm.0001073948.78669.07	https://journals.lww.com/02035738-201601000-00019	ACE Question	data/cache/provenance_level5/sample_300_targeted/10.1097_01.asm.0001073948.78669.07.html	46fe8d89b3d5568e2bbff9f5cc65726aa92ff3044a9d895bfffa125322080b92	bot_challenge_html	Credible DOI; Crossref/OpenAlex title ACE Question; DOI redirects to LWW ASA Monitor page but automated request hit Cloudflare challenge. No abstract/full text mirrored.	2026-04-30T19:57:36.508089+00:00
sr_0cc5d4c7a6b9	3	target_independently_resolved	4	target_landing_or_abstract_obtained	true	resolved_but_no_abstract_or_landing_captured	promoted_target_landing_page	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	2017 preregistered key-question effect (schaefer_2019_preg_73)	https://doi.org/10.3917/herm.espin.2017.01.0065	https://shs.cairn.info/la-nuit-en-questions--9782705694647-page-65?site_lang=fr	L’homme, animal diurne ?	data/cache/provenance_level5/sample_300_targeted/10.3917_herm.espin.2017.01.0065.html	7226f438f8d1daa1ef2b3fe6d77b2c0824cd356560ae8d8e7350d8a46f96a895	target_landing_page_html	Credible DOI in corpus row; DOI redirected to Cairn/Hermann page and HTML was mirrored. Page appears landing/limited text, not full value-bearing paper.	2026-04-30T19:57:36.508089+00:00
sr_60c2a469e71e	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_closed_or_blocked_no_oa_copy	Plot 4	metabus_open_bosco	JAP-81-5-587	https://doi.org/10.1037//0021-9010.81.5.587	https://doi.org/10.1037//0021-9010.81.5.587				metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	2026-04-30T19:57:36.508089+00:00
sr_8ad55815e5fc	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_closed_or_blocked_no_oa_copy	Plot 2	metaBUS open Bosco subset	plot2::JAP-79-4-535	https://doi.org/10.1037//0021-9010.79.4.535	https://doi.org/10.1037//0021-9010.79.4.535				metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	2026-04-30T19:57:36.508089+00:00
sr_be6f969d81a7	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_corrected_issue_to_article_doi_but_blocked	Plot 2	metaBUS open Bosco subset	plot2::PP-54-3-669	https://doi.org/10.1111/peps.2001.54.issue-3	https://doi.org/10.1111/j.1744-6570.2001.tb00227.x	IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY	data/cache/provenance_level5/sample_300_targeted/10.1111_j.1744-6570.2001.tb00227.x.html	7649e23f2c8822aa1872e5dbc34990e964c78cde9dca7b6c27f3b859be1c5c59	bot_challenge_html	Original lead was Wiley issue DOI 10.1111/peps.2001.54.issue-3. Crossref bibliographic search by Personnel Psychology 54(3):669 found exact article DOI 10.1111/j.1744-6570.2001.tb00227.x. Wiley landing/TDM routes blocked or returned 400; OpenAlex has an aggregator abstract but no OA full text, so no level promotion.	2026-04-30T19:57:36.508089+00:00
sr_46fcf0099591	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_closed_or_blocked_no_oa_copy	Plot 4	metabus_open_bosco	JAP-83-4-531	https://doi.org/10.1037//0021-9010.83.4.531	https://doi.org/10.1037//0021-9010.83.4.531				metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	2026-04-30T19:57:36.508089+00:00
sr_c4f5b565a745	3	target_independently_resolved	3	target_independently_resolved	false	resolved_but_http_blocked	not_promoted_closed_or_blocked_no_oa_copy	Plot 4	metabus_open_bosco	JAP-67-1-119	https://doi.org/10.1037//0021-9010.67.1.119	https://doi.org/10.1037//0021-9010.67.1.119				metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.	2026-04-30T19:57:36.508089+00:00
sr_d30c0407b24b	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_BIO.019	https://doi.org/10.21769/bioprotoc.5001			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_2ead36cae8e2	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 4	schaefer_schwarz_2019_without_prereg	schaefer_2019_np_MUL.093	https://doi.org/10.1088/1126-6708/2008/12/093			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_10e682ba553b	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_EXP.031	https://doi.org/10.1088/1126-6708/2006/05/031			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_ee72592661db	3	target_independently_resolved	7	final_paper_obtained	true	resolved_but_http_blocked	promoted_author_hosted_final_pdf	Plot 4	forrt_fred	The origins of sex differences in human behavior: Evolved dispositions versus social roles.	https://doi.org/10.1037/0003-066x.54.6.408	https://labs.psych.ucsb.edu/roney/james/other%20pdf%20readings/Eagly_Wood_1999.pdf	The Origins of Sex Differences in Human Behavior: Evolved Dispositions Versus Social Roles	data/cache/provenance_level5/sample_300_targeted/eagly_wood_1999.pdf	ff25329ccc47547c93af853b5115375103e703dede9a315626adc979f7f86211	full_article_pdf	Broad web search found a publicly hosted PDF copy on a university lab site. PDF text contains the target title/authors and the American Psychologist article; promoted to level 7 as actual paper bytes obtained. This is not value verification.	2026-04-30T19:57:36.508089+00:00
sr_1e8a07a9cd86	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	weak_or_ambiguous_citation_low_similarity	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_DEV.029	https://doi.org/10.1093/jicru/3.2.report70			data/raw/corpus_candidates/schaefer_schwarz_2019/		corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.	2026-04-30T19:57:36.508089+00:00
sr_22f96d70c38a	2	corpus_assertion_with_citation	2	corpus_assertion_with_citation	false	no_identifier_or_url_in_corpus_row	not_promoted_corpus_lacks_paper_crosswalk	Plot 4	linden_2024_random_effects	linden_2015_2			Linden Study 2 random-paper row: Year 2015 Paper 2	data/raw/corpus_candidates/linden_2024/ATJ_Study2_ESs_and_Ns.sav	8db0347809e96b5f079e559258b283c40bda79311614e23724077d611aec8e05	corpus_data_file	Read OSF SPSS file directly: Year=2015 Paper=2, d_random=0.33, N_random=1776. The corpus gives year/paper index and values but no article title/DOI; OSF analysis/code and PLOS article describe random sampling but do not expose the sampled-paper crosswalk.	2026-04-30T19:57:36.508089+00:00
