source_result_id	current_flat_level	resolution_status	source_family	result_label	known_title_or_target	known_url_or_doi	paperclip_objective	paperclip_search_query	paperclip_grep_terms	paperclip_success_condition	paperclip_example_commands	notes
sr_ec359e2c27e0	3	not_promoted_bot_block	Schäfer/Schwarz 2019 preregistered psychology articles	2016 preregistered key-question effect (schaefer_2019_preg_50)	ACE Question	https://journals.lww.com/02035738-201601000-00019	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""ACE Question"" OR ""https://journals.lww.com/02035738-201601000-00019"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""ACE Question"" OR ""https://journals.lww.com/02035738-201601000-00019""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Credible DOI; Crossref/OpenAlex title ACE Question; DOI redirects to LWW ASA Monitor page but automated request hit Cloudflare challenge. No abstract/full text mirrored.
sr_60c2a469e71e	3	not_promoted_closed_or_blocked_no_oa_copy	metabus_open_bosco	JAP-81-5-587	Recall memory, recognition memory, and the eyewitness confidence-accuracy correlation.	https://doi.org/10.1037//0021-9010.81.5.587	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""Recall memory, recognition memory, and the eyewitness confidence-accuracy correlation."" OR ""10.1037//0021-9010.81.5.587"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""Recall memory, recognition memory, and the eyewitness confidence-accuracy correlation."" OR ""10.1037//0021-9010.81.5.587""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_8ad55815e5fc	3	not_promoted_closed_or_blocked_no_oa_copy	metaBUS open Bosco subset	plot2::JAP-79-4-535	Effects of frame-of-reference training on rater accuracy under alternative time delays.	https://doi.org/10.1037//0021-9010.79.4.535	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""Effects of frame-of-reference training on rater accuracy under alternative time delays."" OR ""10.1037//0021-9010.79.4.535"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""Effects of frame-of-reference training on rater accuracy under alternative time delays."" OR ""10.1037//0021-9010.79.4.535""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_be6f969d81a7	3	not_promoted_corrected_issue_to_article_doi_but_blocked	metaBUS open Bosco subset	plot2::PP-54-3-669	IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY	https://doi.org/10.1111/j.1744-6570.2001.tb00227.x	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY"" OR ""10.1111/j.1744-6570.2001.tb00227.x"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""IMPROVING APPLICANTS\' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY"" OR ""10.1111/j.1744-6570.2001.tb00227.x""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Original lead was Wiley issue DOI 10.1111/peps.2001.54.issue-3. Crossref bibliographic search by Personnel Psychology 54(3):669 found exact article DOI 10.1111/j.1744-6570.2001.tb00227.x. Wiley landing/TDM routes blocked or returned 400; OpenAlex has an aggregator abstract but no OA full text, so no level promotion.
sr_46fcf0099591	3	not_promoted_closed_or_blocked_no_oa_copy	metabus_open_bosco	JAP-83-4-531	Race, job applicants, and the Five-Factor Model of Personality: Implications for Black psychology, industrial/organizational psychology, and the Five-Factor Theory.	https://doi.org/10.1037//0021-9010.83.4.531	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""Race, job applicants, and the Five-Factor Model of Personality: Implications for Black psychology, industrial/organizational psychology, and the Five-Factor Theory."" OR ""10.1037//0021-9010.83.4.531"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""Race, job applicants, and the Five-Factor Model of Personality: Implications for Black psychology, industrial/organizational psychology, and the Five-Factor Theory."" OR ""10.1037//0021-9010.83.4.531""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_c4f5b565a745	3	not_promoted_closed_or_blocked_no_oa_copy	metabus_open_bosco	JAP-67-1-119	Women and equal employment opportunity: Some unintended effects.	https://doi.org/10.1037//0021-9010.67.1.119	Find an independently accessible full article, accepted manuscript, preprint, abstract/details page, or repository copy for this represented paper.	"""Women and equal employment opportunity: Some unintended effects."" OR ""10.1037//0021-9010.67.1.119"""	"""PDF""; ""preprint""; ""accepted manuscript""; ""author manuscript""; exact title; DOI"	At least a directly mirrored landing/abstract page for level 4; full PDF/HTML/manuscript for level 6-7; supplement/package for level 8.	"paperclip search '""Women and equal employment opportunity: Some unintended effects."" OR ""10.1037//0021-9010.67.1.119""' -n 20
paperclip grep '""PDF""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_d30c0407b24b	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_BIO.019		https://doi.org/10.21769/bioprotoc.5001	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_BIO.019"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_BIO.019""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_2ead36cae8e2	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	schaefer_schwarz_2019_without_prereg	schaefer_2019_np_MUL.093		https://doi.org/10.1088/1126-6708/2008/12/093	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_MUL.093"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_MUL.093""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_10e682ba553b	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_EXP.031		https://doi.org/10.1088/1126-6708/2006/05/031	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_EXP.031"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_EXP.031""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_1e8a07a9cd86	2	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk	Schäfer/Schwarz psychology articles (without preregistration)	plot2::schaefer_2019_np_DEV.029		https://doi.org/10.1093/jicru/3.2.report70	Find an author supplement, preprint appendix, or cited data dictionary that maps Schaefer/Schwarz anonymized study IDs to article title/DOI.	"""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_DEV.029"""	"""Data studies without pre-registration""; ""Data studies with pre-registration""; ""SOC.079"" OR ""CLI.064"" OR ""MUL.077""; ""article"" ""DOI"""	A row-level crosswalk from anonymized ID to article title/DOI/URL; low-similarity DOI guesses do not count.	"paperclip search '""The Meaningfulness of Effect Sizes in Psychological Research"" ""schaefer_2019_np_DEV.029""' -n 20
paperclip grep '""Data studies without pre-registration""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_22f96d70c38a	2	not_promoted_corpus_lacks_paper_crosswalk	linden_2024_random_effects	linden_2015_2	Linden Study 2 random-paper row: Year 2015 Paper 2		Find a public supplement/crosswalk that maps Linden Study 2 Year/Paper index to article title/DOI, or prove the public package omits it.	"""Publication bias in psychology: A closer look at the correlation between sample size and effect size"" ""linden_2015_2"""	"""Year"" ""Paper"" ""d_random"" ""N_random""; ""160 papers""; ""random sample""; ""Web of Science"""	A table/file/source object naming the sampled paper behind the Year/Paper index; otherwise keep level 2.	"paperclip search '""Publication bias in psychology: A closer look at the correlation between sample size and effect size"" ""linden_2015_2""' -n 20
paperclip grep '""Year"" ""Paper"" ""d_random"" ""N_random""' --from <search_id>
paperclip map --from <search_id> ""Return DOI, title, source, whether full text/abstract is available, and any repository/preprint URL."""	Read OSF SPSS file directly: Year=2015 Paper=2, d_random=0.33, N_random=1776. The corpus gives year/paper index and values but no article title/DOI; OSF analysis/code and PLOS article describe random sampling but do not expose the sampled-paper crosswalk.
