source_result_id	flat_level	flat_label	blocker_category	recommended_next_action	plot_name	source_family	source_directness	result_label	grounding_status	primary_real_world_url_basis	primary_real_world_url	source_bib_real_world_url	source_bib_title	crossref_resolution_status	doi_list	pmid_list	url_list	best_status	source_byte_classes	final_urls	manual_next_step	new_flat_level	new_flat_label	resolution_status	resolved_url	source_title	local_path	byte_class	targeted_resolution_notes
sr_ec359e2c27e0	3	target_independently_resolved	resolved_but_no_abstract_or_landing_captured	add host-specific abstract/landing parser or manual check	Plot 3	Schäfer/Schwarz 2019 preregistered psychology articles	candidate_child_numeric_row	2016 preregistered key-question effect (schaefer_2019_preg_50)	represented_work_identifier_in_source_row	doi	https://doi.org/10.1097/01.asm.0001073948.78669.07	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	not_needed_or_not_attempted	10.1097/01.asm.0001073948.78669.07		https://doi.org/10.1097/01.asm.0001073948.78669.07					3	target_independently_resolved	not_promoted_bot_block	https://journals.lww.com/02035738-201601000-00019	ACE Question	data/cache/provenance_level5/sample_300_targeted/10.1097_01.asm.0001073948.78669.07.html	bot_challenge_html	Credible DOI; Crossref/OpenAlex title ACE Question; DOI redirects to LWW ASA Monitor page but automated request hit Cloudflare challenge. No abstract/full text mirrored.
sr_60c2a469e71e	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-81-5-587	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.81.5.587	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.81.5.587 | https://api.datacite.org/dois/10.1037//0021-9010.81.5.587 | https://doi.apa.org/doi/10.1037/0021-9010.81.5.587 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.81.5.587%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.81.5.587 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.81.5.587?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.81.5.587			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_8ad55815e5fc	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::JAP-79-4-535	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.79.4.535	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.79.4.535 | https://api.datacite.org/dois/10.1037//0021-9010.79.4.535 | https://doi.apa.org/doi/10.1037/0021-9010.79.4.535 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.79.4.535%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.79.4.535 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.79.4.535?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.79.4.535			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_be6f969d81a7	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 2	metaBUS open Bosco subset	candidate_child_numeric_row	plot2::PP-54-3-669	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1111/peps.2001.54.issue-3	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1111/peps.2001.54.issue-3 | http://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fpeps.2001.54.issue-3 | https://api.datacite.org/dois/10.1111/peps.2001.54.issue-3 | https://onlinelibrary.wiley.com/toc/17446570/54/3 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1111/peps.2001.54.issue-3%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1111/peps.2001.54.issue-3 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1111/peps.2001.54.issue-3?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_corrected_issue_to_article_doi_but_blocked	https://doi.org/10.1111/j.1744-6570.2001.tb00227.x	IMPROVING APPLICANTS' REACTIONS TO REJECTION LETTERS: AN APPLICATION OF FAIRNESS THEORY	data/cache/provenance_level5/sample_300_targeted/10.1111_j.1744-6570.2001.tb00227.x.html	bot_challenge_html	Original lead was Wiley issue DOI 10.1111/peps.2001.54.issue-3. Crossref bibliographic search by Personnel Psychology 54(3):669 found exact article DOI 10.1111/j.1744-6570.2001.tb00227.x. Wiley landing/TDM routes blocked or returned 400; OpenAlex has an aggregator abstract but no OA full text, so no level promotion.
sr_46fcf0099591	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-83-4-531	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.83.4.531	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.83.4.531 | https://api.datacite.org/dois/10.1037//0021-9010.83.4.531 | https://doi.apa.org/doi/10.1037/0021-9010.83.4.531 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.83.4.531%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.83.4.531 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.83.4.531?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.83.4.531			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_c4f5b565a745	3	target_independently_resolved	resolved_but_http_blocked	try alternative OA/repository/metadata routes; record blocker as host access issue	Plot 4	metabus_open_bosco	candidate_child_numeric_row	JAP-67-1-119	represented_work_crossref_resolved	crossref_doi	https://doi.org/10.1037//0021-9010.67.1.119	https://doi.org/10.1177/2515245919882693	Advancing Meta-Analysis With Knowledge-Management Platforms: Using metaBUS in Psychology	candidate_high_similarity				support_metadata_obtained | request_failed | blocked_http_status	metadata_record | not_retrieved | blocked_no_source_object	https://api.crossref.org/works/10.1037//0021-9010.67.1.119 | https://api.datacite.org/dois/10.1037//0021-9010.67.1.119 | https://doi.apa.org/doi/10.1037/0021-9010.67.1.119 | https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=DOI:%2210.1037//0021-9010.67.1.119%22&format=json&resultType=core | https://api.openalex.org/works/doi:10.1037//0021-9010.67.1.119 | https://api.semanticscholar.org/graph/v1/paper/DOI:10.1037//0021-9010.67.1.119?fields=externalIds,url,openAccessPdf,title,abstract,year,authors	review noneligible bytes for routing clues; do not promote unless a value-bearing source object is found	3	target_independently_resolved	not_promoted_closed_or_blocked_no_oa_copy	https://doi.org/10.1037//0021-9010.67.1.119			metadata_only_or_blocked_publisher	Crossref/OpenAlex/Unpaywall confirm target article identity; Unpaywall/OpenAlex show closed/no repository full text; APA/Wiley/other publisher route did not yield landing/abstract/full text bytes usable for promotion.
sr_d30c0407b24b	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_BIO.019	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.21769/bioprotoc.5001	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_2ead36cae8e2	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 4	schaefer_schwarz_2019_without_prereg	candidate_child_numeric_row	schaefer_2019_np_MUL.093	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1088/1126-6708/2008/12/093	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_10e682ba553b	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_EXP.031	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1088/1126-6708/2006/05/031	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_1e8a07a9cd86	2	corpus_assertion_with_citation	weak_or_ambiguous_citation_low_similarity	manual title/author/year disambiguation; search Crossref/OpenAlex/Semantic Scholar by title variants before DOI route	Plot 2	Schäfer/Schwarz psychology articles (without preregistration)	candidate_child_numeric_row	plot2::schaefer_2019_np_DEV.029	represented_work_crossref_candidate_low_similarity	crossref_doi	https://doi.org/10.1093/jicru/3.2.report70	https://doi.org/10.3389/fpsyg.2019.00813	The Meaningfulness of Effect Sizes in Psychological Research: Differences Between Sub-Disciplines and the Impact of Potential Biases	candidate_low_similarity								2	corpus_assertion_with_citation	not_promoted_low_similarity_doi_rejected_needs_corpus_crosswalk			data/raw/corpus_candidates/schaefer_schwarz_2019/	corpus_data_files	Checked Frontiers article/OSF t8uvc files. Public data files contain anonymized study rows/effects but no article titles, DOIs, authors, or row-to-paper crosswalk. Existing DOI candidate was low-title-similarity and should not be treated as the represented source.
sr_22f96d70c38a	2	corpus_assertion_with_citation	no_identifier_or_url_in_corpus_row	return to source corpus row and extract DOI/title/authors/year; otherwise mark as corpus-only	Plot 4	linden_2024_random_effects	candidate_child_numeric_row	linden_2015_2	unresolved			https://doi.org/10.1371/journal.pone.0297075	Publication Bias in Psychology: A Closer Look at the Correlation between Sample Size and Effect Size	not_needed_or_not_attempted								2	corpus_assertion_with_citation	not_promoted_corpus_lacks_paper_crosswalk		Linden Study 2 random-paper row: Year 2015 Paper 2	data/raw/corpus_candidates/linden_2024/ATJ_Study2_ESs_and_Ns.sav	corpus_data_file	Read OSF SPSS file directly: Year=2015 Paper=2, d_random=0.33, N_random=1776. The corpus gives year/paper index and values but no article title/DOI; OSF analysis/code and PLOS article describe random sampling but do not expose the sampled-paper crosswalk.
