manual_task_id	source_result_id	canonical_result_id	represented_source_id	extraction_source_id	needed_artifact_type	needed_value_fields	priority_score	priority_reason	failed_route_summary	best_candidate_urls	acceptable_manual_routes	library_access_needed_yn	ill_needed_yn	author_contact_needed_yn	repository_access_request_needed_yn	assigned_to	status	opened_at	closed_at	human_outcome	created_source_file_id	created_support_ids	manual_notes
mtask_8b50f88adfc2	sr_266b83deab6b	cr_0cf3b38d6d48	work_doi_10_1093_joc_jqaf007	src_masur2025privacy	original_source_object	original_source_object|replication_evidence	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1080/08838151.2012.732140	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_f4a38ce8e3fe	sr_32e8f46f1c24	cr_e7c84f356f90	work_title_china_aid_attitudes_survey_experiment_paper_median_of_3_preregiste	src_woodhoyprykechinaaiddataverse	original_source_object	original_source_object	110	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=fully_coded; problem_count=0	https://www.socialscienceregistry.org/trials/5055 | https://www.socialscienceregistry.org/trials/5055	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_9a473fa1425c	sr_57e119b02525	cr_ab9ca7c29c8f	work_doi_10_1073_pnas_2103313118	src_tosh2024	original_source_object	original_source_object|replication_evidence	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1093/jcr/ucv051	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_3b363798cf7f	sr_ceddf70c38b1	cr_48ab48954532	work_title_percent_change_in_worst_pain_score	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT00457730 | https://clinicaltrials.gov/study/NCT00457730	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_400422d75068	sr_acfd28ade498	cr_617751f531bb	work_title_demographic_and_genome_wide_association_analyses_according_to_musc	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/36573383/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_f239e1888a5d	sr_995bd3c3900a	cr_deec7142d203	work_title_some_evidence_for_the_usefulness_of_an_optimal_foraging_theory_per	src_tyner2026	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/pspp0000165	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_3c54f8db78e6	sr_e567a2ed8bf8	cr_1c66bd397fec	work_title_genome_wide_association_study_identifies_multiple_hla_loci_for_sar	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/37399103/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_40cbbeec149f	sr_a3c89d628df7	cr_87085b661664	work_title_a_genome_wide_association_study_identifies_two_novel_susceptible_r	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/32276964/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_2e8a211d3eb6	sr_07eb16a91055	cr_74b0ce7f62af	work_title_etminan_72	src_button2013	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1038/jcbfm.2011.7	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_bf843a64fc23	sr_418e6ec7b4d3	cr_05c3d4256d1f	work_title_genome_wide_association_analyses_of_breast_cancer_in_women_of_afri	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/38741014/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_9fad54ea293c	sr_68030d0ead7f	cr_41ef0381f674	work_title_walking_on_eggshells_how_expressing_relationship_insecurities_perp	src_tosh2024	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/0022-3514.95.2.420	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_c99c35cc91c6	sr_9e1a912c9b1d	cr_683ece66e49f	work_title_genome_wide_association_studies_identify_137_genetic_loci_for_dna	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/34187551/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_54534adbee43	sr_df1f5890afec	cr_9a8c9d08853d	work_title_morphine_milligram_equivalents_mme	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT02887989 | https://clinicaltrials.gov/study/NCT02887989	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_915509f083e5	sr_f5b1fa84ce27	cr_90371c4c2033	work_title_durgin_f_h_fox_l_f_kim_d_h_2003_not_letting_the_left_leg_know_what	src_motyl2017state	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1046/j.0956-7976.2003.psci_1466.x	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_2b0636724072	sr_17b0cfe42e6d	cr_8ad7cfbfa2c1	work_title_period_1_endoscopic_remission	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT01903252 | https://clinicaltrials.gov/study/NCT01903252	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_d4d49beda2ad	sr_c1cbd6657a4e	cr_f8a990ac87bf	work_plot2_metabus_open_bosco_jap_84_3_445_3761	src_bosco2020metabus	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/0021-9010.84.3.445	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_b6e2b8a72688	sr_6e06fcfca537	cr_ef1741ba9920	work_title_the_spectrum_of_association_in_hla_region_with_rheumatoid_arthriti	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/33514426/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_eb9c9eb5be5b	sr_307943984453	cr_0902b41622b9	work_title_schaefer_2019_np_soc_079	src_schaefer2019meaningfulness	original_source_object	original_source_object	90	Target is grounded but original source bytes/value text need acquisition.	current_evidence=external_source_assertion; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.3765/plsa.v4i1.4501	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_c5bec7b99411	sr_61bbdea80744	cr_883a874bd406	work_title_forest_a_l_kille_d_r_wood_j_v_holmes_j_g_2014_discount_and_disenga	src_motyl2017state	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/a0038163	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_f130466ad5e9	sr_1ed207224a85	cr_b529d42d472f	work_title_jap_87_1_185	src_bosco2020metabus	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/0021-9010.87.1.185	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_c3bc94dd1122	sr_fdf78d9e9f66	cr_12a6bb156011	work_title_forced_expiratory_volume_in_one_second_fev1_area_under_curve_0_3_h	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT00793624 | https://clinicaltrials.gov/study/NCT00793624	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_ff3d58e05ea9	sr_72511a245c94	cr_3a17e8751776	work_title_percentage_of_participants_with_a_90_improvement_in_psoriasis_area	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT02561806 | https://clinicaltrials.gov/study/NCT02561806	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_99c2f295d329	sr_c5752f09223e	cr_ec328abd04c4	work_title_genome_wide_association_and_longitudinal_analyses_reveal_genetic_l	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/23449627/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_8b0e65e8b0b4	sr_9c4daeb580e8	cr_85f0d2ece873	work_title_the_occurrence_of_cardiovascular_event_and_peritonitis_events	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT01391468 | https://clinicaltrials.gov/study/NCT01391468	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_0941b98d120f	sr_c25aa56f24e3	cr_b4bab1b18a88	work_title_melanesian_blond_hair_is_caused_by_an_amino_acid_change_in_tyrp1	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/22556244/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_4556347d67e1	sr_4871288bad74	cr_54e13871be1b	work_title_pcr_corrected_adequate_clinical_and_parasitological_response_acpr	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT00422084 | https://clinicaltrials.gov/study/NCT00422084	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_9b3763ff7755	sr_92b015f56f77	cr_d9028c8210d8	work_title_narcotic_use	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT01163214 | https://clinicaltrials.gov/study/NCT01163214	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_0c9258d3738d	sr_2c54a948cfe2	cr_5eb5f5c20b2c	work_title_the_primary_outcome_is_the_area_under_the_stimulated_c_peptide_cur	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT00529399 | https://clinicaltrials.gov/study/NCT00529399	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_9e900a0ca7e8	sr_6884c920951c	cr_e1644510f2d2	work_title_halberda_j_2006_is_this_a_dax_which_i_see_before_me_use_of_the_log	src_bergmann2018metalab	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1016/j.cogpsych.2006.04.003	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_85730c902899	sr_333ef50a595e	cr_07ef7e5e98d1	work_title_percentage_of_subjects_who_achieved_a_composite_p_gaps1_cpns2_resp	src_du2024	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_number_extracted; coding_status=coded_with_schema_gaps; problem_count=1	https://clinicaltrials.gov/study/NCT02398188 | https://clinicaltrials.gov/study/NCT02398188	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_34dec532eaee	sr_03355505d651	cr_65b4af716391	work_title_young_l_durwin_a_j_2013_moral_realism_as_moral_motivation_the_impa	src_motyl2017state	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1016/j.jesp.2012.11.013	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_47bc2d3997e7	sr_e89d75ebfd8e	cr_56e0ded9e2ff	work_title_schaefer_2019_np_cli_064	src_schaefer2019meaningfulness	original_source_object	original_source_object	90	Target is grounded but original source bytes/value text need acquisition.	current_evidence=external_source_assertion; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1158/1557-3265.ovcasymp18-tmim-064	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_72ccfe195642	sr_61aeb1d7281e	cr_2d4c33760062	work_title_kuhberger_669	src_kuhberger2014publicationbias	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1371/journal.pone.0105825	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_e34cbe2ea8c4	sr_e786a4f0bdc3	cr_99bc3115a75f	work_title_meltzoff_a_n_moore_m_k_1989_imitation_in_newborn_infants_exploring	src_bergmann2018metalab	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/0012-1649.25.6.954	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_4953c36cd432	sr_81dcacb19b9f	cr_3ff8a12ec056	work_title_computer_assisted_remedial_reading_intervention_for_school_beginne	src_tyner2026	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1111/j.1467-8624.2011.01580.x	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_ba8983858be4	sr_e74bda715816	cr_39a539e17bd7	work_title_a_cross_validation_of_the_youth_level_of_service_case_management_i	src_tyner2026	original_source_object	original_source_object	105	Target is grounded but original source bytes/value text need acquisition.	current_evidence=target_source_independently_grounded; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1037/lhb0000029	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_d2d3f3c135ce	sr_3ea41f299d78	cr_0486ad2e6931	work_title_pten_expression_of_sinc_vs_sicnot6l_in_dicer_ex5_hct116_cells	src_errington2021	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1016/j.cell.2011.09.029	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_94c9f0262978	sr_78c450606fc2	cr_7d913aacafba	work_title_psalta_l_young_a_w_thompson_p_andrews_t_j_2014_the_thatcher_illusi	src_motyl2017state	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://doi.org/10.1177/0956797613501521	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
mtask_e415e5b48c00	sr_c32a10acbc15	cr_bf1da16be21f	work_title_a_scalable_variational_inference_approach_for_increased_mixed_mode	src_yengo2022	other	review	75	Manual review needed by pilot coding status.	current_evidence=original_source_obtained; coding_status=coded_with_schema_gaps; problem_count=1	https://pubmed.ncbi.nlm.nih.gov/39789286/	try official source URL, DOI/registry/repository resolver, lawful library access, repository/preprint search, then parse source object	unknown	false	false	unknown		open	2026-04-29T00:00:00-07:00					Pilot manual task generated from 300-row schema proof; do not scale until resolver pass is implemented.
