result_option_disposition_id	value_scan_id	candidate_id	outcome	promotion_decision	final_result_status	root_pair_id	D_original	N_original	D_replication	N_replication	next_action
result_disposition_b8e1d41a51f85a91	batch002_notrow_180_genetic_associations_native_many_rows	api_candidate_a848f855bce57e2b	Over 180 self-reported medical-data genetic associations	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_18891bb42d0fa018	batch002_notrow_hiv_influential_studies_replication_review	api_candidate_099c6eb209be07e5	Replication of influential HIV prevention/treatment studies	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
result_disposition_eac27a8bc8487867	batch002_notrow_scopolamine_original_source_blocked	api_candidate_710fd7eb55fc9d77	Scopolamine antidepressant efficacy crossover replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition			18	1.2	22	manual_acquisition_of_original_scopolamine_article_or_authoritative_value_table
result_disposition_d4a04da9c0769033	batch003_notrow_social_distance_study1_policy	api_candidate_9db26ff9b8058473	Social-distance priming Study 1 near-versus-far food-judgment replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		0.76	56		44	do_not_promote_unless_policy_allows_smaller_focal_replication_or_original_study3_effect_is_extracted
result_disposition_16c936284153de6a	batch003_notrow_authentic_pedagogy_native	api_candidate_d69512d607ea08f3	Authentic pedagogy multilevel achievement replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f190e2ffce8460b2	batch003_notrow_messenger_source_blocked	api_candidate_b9cdb8cc6a76d362	Passive priming verb-semantics replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			24		240	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_b30d638508fcd8b5	batch003_notrow_weissman_native	api_candidate_9a6b74a967e69dba	Congruency sequence effect registered replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan			43			retain_as_native_or_context_source_not_current_figure1_row
result_disposition_f1bd8a98531bee61	batch003_notrow_kahneman_stage1_no_results	api_candidate_810171915e0f8ccd	Representativeness heuristic registered report	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						recheck_after_stage2_results_are_published
result_disposition_e28d8b9708cc6eb6	batch003_notrow_xu_tenenbaum_native	api_candidate_6287214392755e51	Social context and lexical knowledge learning replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						manual_acquisition_if_native_learning_effects_are_in_scope
result_disposition_4ec1691b22874894	batch003_notrow_bock_animacy_source_blocked	api_candidate_786cc2f5ecc3de84	Animacy and structural priming replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan					496	retain_as_native_or_context_source_not_current_figure1_row
result_disposition_ffd437a9fcf9b719	batch003_notrow_rabbitt_original_n_missing	api_candidate_c49eb133d5977b06	Rabbitt Experiment 2 speech masking direct replication	hold_for_policy_or_value_reconciliation	not_row_source_blocked_or_manual_acquisition		0.19		0.19	200	manual_acquisition_of_rabbitt_1968_original_or_authoritative_table_with_original_n
result_disposition_7634bf0a98493be7	batch003_notrow_bem_study8_source_blocked	api_candidate_fbe05a26e9edabb8	Bem Study 8 procedure replication	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan		99	100	111	112	already_represented_by_manual_bem_precognition_galak_2012_root_row
result_disposition_e9f8dca5ff28dbda	batch003_notrow_panero_commentary	api_candidate_5b9f95d4c0a9b686	Panero methods-caused-failure commentary/dispute	hold_for_policy_or_value_reconciliation	not_row_rejected_after_value_scan						reject_irrelevant_or_keep_as_context_source
