manual_acquisition_task_id	candidate_id	priority	blocker_category	candidate_route	candidate_name	domain	original_title	original_doi	replication_title	replication_doi	result_option_labels	scan_decisions	needed_evidence	source_object_urls_json	mirrored_source_count	mirror_errors	local_support_paths	relationship_evidence_json	conversion_or_policy_note	created_at
manual_acq_094f934469bae124	api_candidate_5d432a85cc83bb79	medium	value_bearing_source_object_needed	coverage_only	the effects of self-construal priming on spatial memory recall -> Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall	metadata_api_search	the effects of self-construal priming on spatial memory recall		Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall	10.1016/j.jesp.2017.08.005	Self-construal priming and spatial memory recall	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1016/j.jesp.2017.08.005""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_5d432a85cc83bb79/01_linkinghub_elsevier_com_retrieve_pii_s0022103117302792_a27eb70e6f9a.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Cognition and the self: Attempt of an independent close replication of the effects of self-construal priming on spatial memory recall"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_96012b762baa0e9c	api_candidate_ccea3138ba9e9efa	medium	value_bearing_source_object_needed	coverage_only	Study 1 of Rodeheffer et al. (2012) in Japan -> Resource scarcity priming and face perception: A preregistered conceptual replication of Study 1 of Rodeheffer et al. (2012) in Japan	metadata_api_search	Study 1 of Rodeheffer et al. (2012) in Japan		Resource scarcity priming and face perception: A preregistered conceptual replication of Study 1 of Rodeheffer et al. (2012) in Japan	10.1016/j.cresp.2023.100169	Resource scarcity priming and face perception	source_blocked_conceptual_replication_needs_values	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1016/j.cresp.2023.100169""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_ccea3138ba9e9efa/01_linkinghub_elsevier_com_retrieve_pii_s2666622723000825_e627c0c4e417.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Resource scarcity priming and face perception: A preregistered conceptual replication of Study 1 of Rodeheffer et al. (2012) in Japan"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_206a6ce47a19e1fb	api_candidate_705797b93ca7def0	medium	value_bearing_source_object_needed	coverage_only	Schuler and Wänke (2016) -> Does Subjective SES Moderate the Effect of Money Priming on Socioeconomic System Support? A Replication of Schuler and Wänke (2016)	metadata_api_search	Schuler and Wänke (2016)		Does Subjective SES Moderate the Effect of Money Priming on Socioeconomic System Support? A Replication of Schuler and Wänke (2016)	10.1177/1948550617740941	Money priming and socioeconomic system support	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1177/1948550617740941""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Does Subjective SES Moderate the Effect of Money Priming on Socioeconomic System Support? A Replication of Schuler and W\u00e4nke (2016)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_e258dcb58a993728	api_candidate_0eb40892da116803	medium	value_bearing_source_object_needed	coverage_only	the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults -> Failure to replicate the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults	metadata_api_search	the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults		Failure to replicate the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults	10.1016/j.cognition.2020.104521	Approximate arithmetic training and symbolic arithmetic fluency	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1016/j.cognition.2020.104521""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_0eb40892da116803/01_linkinghub_elsevier_com_retrieve_pii_s0010027720303401_8df7563a6ca2.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Failure to replicate the benefit of approximate arithmetic training for symbolic arithmetic fluency in adults"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_3f2b1418884ef2d2	api_candidate_d51bbeeeb3386937	medium	value_bearing_source_object_needed	coverage_only	the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014) -> Contextual Bias in Verbal Credibility Assessment: A Preregistered Direct Replication of the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014)	metadata_api_search	the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014)		Contextual Bias in Verbal Credibility Assessment: A Preregistered Direct Replication of the Criteria‐Based Content Analysis Condition in Bogaard Et al. (2014)	10.1002/acp.70168	Contextual bias in Criteria-Based Content Analysis	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1002/acp.70168""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""Contextual Bias in Verbal Credibility Assessment: A Preregistered Direct Replication of the Criteria\u2010Based Content Analysis Condition in Bogaard Et al. (2014)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_822964a1d266128d	api_candidate_f998e9bbe8b93e3b	medium	value_bearing_source_object_needed	coverage_only	the effectiveness of the cognitive interview -> An independent replication of the effectiveness of the cognitive interview	metadata_api_search	the effectiveness of the cognitive interview		An independent replication of the effectiveness of the cognitive interview	10.1002/acp.2350050604	Cognitive interview effectiveness independent replication	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1002/acp.2350050604""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""An independent replication of the effectiveness of the cognitive interview"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_88971c1b9b96b442	api_candidate_49040530056b1fbf	medium	value_bearing_source_object_needed	coverage_only	van Prooijen (2017) -> Education and conspiracy beliefs: A replication of van Prooijen (2017)	metadata_api_search	van Prooijen (2017)		Education and conspiracy beliefs: A replication of van Prooijen (2017)	10.1002/acp.4037	Education and conspiracy beliefs replication	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1002/acp.4037""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Education and conspiracy beliefs: A replication of van Prooijen (2017)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_8c0522dc69a1d827	api_candidate_64a39a53876c51c1	medium	original_n_needed	coverage_only	unresolved original target -> Four (and a Half) Preregistered Failures to Replicate the Weapon Focus Effect in Online Samples.	metadata_api_search	Pickel and Sneyd (2018; Experiment 2)		Four (and a Half) Preregistered Failures to Replicate the Weapon Focus Effect in Online Samples.	10.1037/law0000469	Weapon focus effect online preregistered failures	source_blocked_original_n_or_target_effect_missing	resolve_pickel_sneyd_2018_experiment2_original_n_and_decide_target_description_or_lineup_route	"[""https://doi.org/10.1037/law0000469"", ""https://pmc.ncbi.nlm.nih.gov/articles/PMC12610937/"", ""https://pubmed.ncbi.nlm.nih.gov/41234291/""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_64a39a53876c51c1/01_psycnet_apa_org_443_doilanding_doi_10_1037_law0000469_64104e8822dc.html | data/raw/replication_projects/individual_search_batch006/api_candidate_64a39a53876c51c1/02_pmc_ncbi_nlm_nih_gov_articles_pmc12610937_d5386ee1d706.html | data/raw/replication_projects/individual_search_batch006/api_candidate_64a39a53876c51c1/03_pubmed_ncbi_nlm_nih_gov_41234291_9c3b5f3a6df6.html	"{""relation_score"": 4, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""ce. Initially, the current investigation was concerned with identifying moderators of the WFE. However, because we were unable to replicate the WFE, subsequent experiments focused on investigating the effect's replicability in the context of online samples. In total, we conducted five pre-registered experiments ranging from 100 to 800 participants each (<i>"", ""where_seen"": ""abstract_failed_replication""}"	Open PMC article was mirrored and reports five preregistered experiments with total n = 1,316 plus a meta-analytic target-description g = -0.138. It also reports a source-planning original target-description d approximately 2.03 from Pickel and Sneyd (2018, Experiment 2), but this batch did not resolve the original paper's actual analyzed N and exact outcome row.	2026-05-06T03:19:26+00:00
manual_acq_de5de440cf84c012	api_candidate_b3869535651b5f0e	medium	value_bearing_source_object_needed	coverage_only	Eden, Daalmans, and Johnson (2017) -> Character morality, enjoyment, and appreciation: a replication of Eden, Daalmans, and Johnson (2017)	metadata_api_search	Eden, Daalmans, and Johnson (2017)		Character morality, enjoyment, and appreciation: a replication of Eden, Daalmans, and Johnson (2017)	10.1080/15213269.2021.1884096	Character morality, enjoyment, and appreciation media replication	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1080/15213269.2021.1884096""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Character morality, enjoyment, and appreciation: a replication of Eden, Daalmans, and Johnson (2017)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_be2c726b6cd95b4a	api_candidate_c90e8b5ff29bcd78	medium	value_bearing_source_object_needed	coverage_only	Azar et al. (2013) -> A field experiment on dishonesty: A registered replication of Azar et al. (2013)	metadata_api_search	Azar et al. (2013)		A field experiment on dishonesty: A registered replication of Azar et al. (2013)	10.1016/j.socec.2020.101617	Azar et al. dishonesty field experiment registered replication	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1016/j.socec.2020.101617""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_c90e8b5ff29bcd78/01_linkinghub_elsevier_com_retrieve_pii_s2214804320306601_1eb24056d81d.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""A field experiment on dishonesty: A registered replication of Azar et al. (2013)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_ab31222fee3dda74	api_candidate_0367fa32a3d09f7b	medium	value_bearing_source_object_needed	coverage_only	Loftus (1979) -> Does blatantly contradictory information reduce the misinformation effect? A Registered Report replication of Loftus (1979)	metadata_api_search	Loftus (1979)		Does blatantly contradictory information reduce the misinformation effect? A Registered Report replication of Loftus (1979)	10.1111/lcrp.12242	Loftus misinformation effect registered-report replication	source_blocked_needs_value_bearing_article	manual_acquisition_or_repository_parse_if_prioritized	"[""https://doi.org/10.1111/lcrp.12242""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""Does blatantly contradictory information reduce the misinformation effect? A Registered Report replication of Loftus (1979)"", ""where_seen"": ""title_exact_replication""}"	Do not promote from metadata alone. The batch found affirmative replication-language evidence, but did not mirror enough value-bearing source text for a matched original effect, original N, replication effect, and replication N under the current Figure 1 row policy.	2026-05-06T03:19:26+00:00
manual_acq_8e933deba3bfcc8f	api_candidate_a939357d526cdfa3	medium	value_bearing_source_object_needed	coverage_only	Griskevicius et al. (2010) -> Collaborative Registered Replication of Griskevicius et al. (2010): Can Pro-environmental Behavior Be Promoted by Priming Status Motivation?	metadata_api_search	Griskevicius et al. (2010)		Collaborative Registered Replication of Griskevicius et al. (2010): Can Pro-environmental Behavior Be Promoted by Priming Status Motivation?	10.1525/collabra.143773	Griskevicius status-motivation pro-environmental behavior collaborative replication	source_blocked_needs_value_bearing_article	mirror_collabra_article_or_repository_data_and_extract_effects_if_prioritized	"[""https://online.ucpress.edu/collabra/article-pdf/11/1/143773/896724/collabra_2025_11_1_143773.pdf"", ""https://doi.org/10.1525/collabra.143773"", ""https://reff.f.bg.ac.rs/handle/123456789/7552"", ""https://research-information.bris.ac.uk/en/publications/d50dbb04-b9d4-47d1-aa5f-31efe8e502a9"", ""https://hdl.handle.net/1983/d50dbb04-b9d4-47d1-aa5f-31efe8e502a9"", ""https://openalex.org/W4414275560""]"	0		data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/03_reff_f_bg_ac_rs_handle_123456789_7552_3b77e040e60e.html | data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/04_research_information_bris_ac_uk_en_publications_collaborative_registered_73c313ff9c53.html | data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/05_research_information_bris_ac_uk_en_publications_collaborative_registered_46d17ff0bf84.html | data/raw/replication_projects/individual_search_batch006/api_candidate_a939357d526cdfa3/06_openalex_org_w4414275560_16b660aaccf6.html	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 1, ""verbatim_or_paraphrased_basis"": ""Collaborative Registered Replication of Griskevicius et al. (2010): Can Pro-environmental Behavior Be Promoted by Priming Status Motivation?"", ""where_seen"": ""title_exact_replication""}"	Institutional/repository landing pages were mirrored, but not enough article text or tables for original and replication D/N extraction.	2026-05-06T03:19:26+00:00
manual_acq_1b9ca518623544cd	api_candidate_710fd7eb55fc9d77	medium	value_bearing_source_object_needed	coverage_only	Scopolamine's Antidepressant Efficacy in Major Depressive Disorder -> Replication of Scopolamine's Antidepressant Efficacy in Major Depressive Disorder: A Randomized, Placebo-Controlled Clinical Trial	metadata_api_search	Scopolamine's Antidepressant Efficacy in Major Depressive Disorder		Replication of Scopolamine's Antidepressant Efficacy in Major Depressive Disorder: A Randomized, Placebo-Controlled Clinical Trial	10.1016/j.biopsych.2009.11.021	Scopolamine antidepressant efficacy crossover replication	source_blocked_original_article_value_missing	manual_acquisition_of_original_scopolamine_article_or_authoritative_value_table	"[""https://doi.org/10.1016/j.biopsych.2009.11.021""]"	0		data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/01_linkinghub_elsevier_com_retrieve_pii_s0006322309014140_e1444cde4e85.html | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/jama_original_html.html | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/01.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/02.html | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/03.html | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/04.html | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/original_attempts/05.html | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/pmc_scopolamine_html.html | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/wisc_scopolamine_pdf.pdf | data/raw/replication_projects/individual_search_batch002/api_candidate_710fd7eb55fc9d77/manual/wisc_scopolamine_pdf.txt	"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Replication of Scopolamine's Antidepressant Efficacy in Major Depressive Disorder: A Randomized, Placebo-Controlled Clinical Trial"", ""where_seen"": ""title_exact_replication""}"	Do not promote until the original value-bearing article or an authoritative mirrored source provides the selected original effect size and exact outcome locator.	2026-05-06T03:19:26+00:00
manual_acq_b4a1426df6b02845	api_candidate_7c25e95e83db7d9a	medium	value_bearing_source_object_needed	coverage_only	Randomized Controlled Trial Results for Carotid Endarterectomy -> Real-World Replication of Randomized Controlled Trial Results for Carotid Endarterectomy	metadata_api_search	Randomized Controlled Trial Results for Carotid Endarterectomy		Real-World Replication of Randomized Controlled Trial Results for Carotid Endarterectomy	10.1001/archneur.64.10.1496	Real-world replication of carotid endarterectomy randomized trial results	source_blocked_clinical_observational_validation_not_current_pair	manual_acquisition_if_clinical_real_world_validation_rows_are_in_scope	"[""https://doi.org/10.1001/archneur.64.10.1496""]"	0			"{""relation_score"": 5, ""replication_kind"": ""metadata_relation_candidate"", ""value_score"": 0, ""verbatim_or_paraphrased_basis"": ""Real-World Replication of Randomized Controlled Trial Results for Carotid Endarterectomy"", ""where_seen"": ""title_exact_replication""}"	Keep as clinical context/manual acquisition; do not treat as Figure 1B without event counts and a specific trial-to-follow-up mapping.	2026-05-06T03:19:26+00:00
