batch007_seed_id	candidate_id	batch007_action	dedupe_action	final_row_status	original_doi	replication_doi	original_title	replication_title	current_root_pair_ids	dedupe_key_text	created_at
batch007_seed_5cad0be330f1245d	api_candidate_00a1031c6c027f6a	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.21428/cb6ab371.ea00ca58	Pickett and Baker (2014)	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	fig1_pair_61eaf2dbf15d5d0a	10 21428 cb6ab371 ea00ca58 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014	2026-05-06T03:12:07+00:00
batch007_seed_9abe14cf35afa7cc	api_candidate_da16e390f5f2516a	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.21428/cb6ab371.c346e3b9	Pickett and Baker (2014)	The Pragmatic American Revisited: A Direct Replication of Pickett and Baker (2014)	fig1_pair_61eaf2dbf15d5d0a	10 21428 cb6ab371 c346e3b9 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014 pickett and baker 2014 the pragmatic american revisited a direct replication of pickett and baker 2014	2026-05-06T03:12:07+00:00
batch007_seed_87f9e7a123425054	api_candidate_c482b68e388efb4c	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1016/j.virol.2005.10.004	porcine circovirus type 1	Regeneration of the replication-associated proteins tandem direct repeat recognition nucleotide sequence at the origin of DNA replication of porcine circovirus type 1		10 1016 j virol 2005 10 004 porcine circovirus type 1 regeneration of the replication associated proteins tandem direct repeat recognition nucleotide sequence at the origin of dna replication of porcine circovirus type 1 porcine circovirus type 1 regeneration of the replication associated proteins tandem direct repeat recognition nucleotide sequence at the origin of dna replication of porcine circovirus type 1	2026-05-06T03:12:07+00:00
batch007_seed_9dfc5b5a3bbccf79	api_candidate_33fc74a340d30a53	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1117/1.3609797		Investigation of direct replication techniques on periodic multilayers		10 1117 1 3609797 investigation of direct replication techniques on periodic multilayers unresolved original target investigation of direct replication techniques on periodic multilayers	2026-05-06T03:12:07+00:00
batch007_seed_ee162818d3f9efe1	api_candidate_b69b48c6b5202546	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1017/s0140525x18000754		Direct replication and clinical psychological science		10 1017 s0140525x18000754 direct replication and clinical psychological science unresolved original target direct replication and clinical psychological science	2026-05-06T03:12:07+00:00
batch007_seed_4d92591ca4328faf	api_candidate_e93d5e20d7b766a7	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1006/plas.1995.1020	Plasmid pIJ101 in Streptomyces lividans	Sequences Essential for Replication of Plasmid pIJ101 in Streptomyces lividans		10 1006 plas 1995 1020 plasmid pij101 in streptomyces lividans sequences essential for replication of plasmid pij101 in streptomyces lividans plasmid pij101 in streptomyces lividans sequences essential for replication of plasmid pij101 in streptomyces lividans	2026-05-06T03:12:07+00:00
batch007_seed_78888e951261dc7d	api_candidate_ccb2301b1827be82	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1016/j.dnarep.2020.102947		Mechanisms of direct replication restart at stressed replisomes		10 1016 j dnarep 2020 102947 mechanisms of direct replication restart at stressed replisomes unresolved original target mechanisms of direct replication restart at stressed replisomes	2026-05-06T03:12:07+00:00
batch007_seed_9828a6cd96d8e04c	api_candidate_f618ec94840bd7eb	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1037/amp0001385.supp		Supplemental Material for The Prevalence of Direct Replication Articles in Top-Ranking Psychology Journals		10 1037 amp0001385 supp supplemental material for the prevalence of direct replication articles in top ranking psychology journals unresolved original target supplemental material for the prevalence of direct replication articles in top ranking psychology journals	2026-05-06T03:12:07+00:00
batch007_seed_d65eaccd7f7d376a	api_candidate_9706339e8a624a3e	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1093/nar/gki764	tandem genes in Drosophila	Evidence for rolling circle replication of tandem genes in Drosophila		10 1093 nar gki764 tandem genes in drosophila evidence for rolling circle replication of tandem genes in drosophila tandem genes in drosophila evidence for rolling circle replication of tandem genes in drosophila	2026-05-06T03:12:07+00:00
batch007_seed_579a5dae4c7dbcd7	api_candidate_77398a2c8e043ed1	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1525/collabra.35271	Mortality Salience Effect With and Without Original Author Involvement	Many Labs 4: Failure to Replicate Mortality Salience Effect With and Without Original Author Involvement		10 1525 collabra 35271 mortality salience effect with and without original author involvement many labs 4 failure to replicate mortality salience effect with and without original author involvement mortality salience effect with and without original author involvement many labs 4 failure to replicate mortality salience effect with and without original author involvement	2026-05-06T03:12:07+00:00
batch007_seed_15c36e44849fe5ea	api_candidate_57a84c07c9be2d2e	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.3758/s13421-018-0803-y		No evidence for unethical amnesia for imagined actions: A failed replication and extension		10 3758 s13421 018 0803 y no evidence for unethical amnesia for imagined actions a failed replication and extension unresolved original target no evidence for unethical amnesia for imagined actions a failed replication and extension	2026-05-06T03:12:07+00:00
batch007_seed_aa7dbb5ed9d78218	api_candidate_2f615658dde21b4e	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1016/j.infbeh.2019.101340		Infants’ perception of goal-directed actions: A multi-lab replication reveals that infants anticipate paths and not goals		10 1016 j infbeh 2019 101340 infants perception of goal directed actions a multi lab replication reveals that infants anticipate paths and not goals unresolved original target infants perception of goal directed actions a multi lab replication reveals that infants anticipate paths and not goals	2026-05-06T03:12:07+00:00
batch007_seed_21859920dbab4d7d	api_candidate_6c465f7f2bf7618a	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.3389/fpsyg.2014.01035		Can race really be erased? A pre-registered replication study		10 3389 fpsyg 2014 01035 can race really be erased a pre registered replication study unresolved original target can race really be erased a pre registered replication study	2026-05-06T03:12:07+00:00
batch007_seed_b48eface1d55d7af	api_candidate_1643fbb013b2f857	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1016/j.jesp.2020.104060		A creative destruction approach to replication: Implicit work and sex morality across cultures		10 1016 j jesp 2020 104060 a creative destruction approach to replication implicit work and sex morality across cultures unresolved original target a creative destruction approach to replication implicit work and sex morality across cultures	2026-05-06T03:12:07+00:00
batch007_seed_6fa259d65e432613	api_candidate_87b0df2d2fd9b39f	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1371/journal.pone.0255531		No effect of ‘watching eyes’: An attempted replication and extension investigating individual differences		10 1371 journal pone 0255531 no effect of watching eyes an attempted replication and extension investigating individual differences unresolved original target no effect of watching eyes an attempted replication and extension investigating individual differences	2026-05-06T03:12:07+00:00
batch007_seed_f0c6b7930be89ca6	api_candidate_1e92a78ddf5bf933	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_result_current_row	promoted_to_current_root_row	10.3758/BF03213926	10.1080/02699931.2018.1468732	Gaze cuing and affective judgments of objects: I like what you look at	A closer look at the size of the gaze-liking effect: a preregistered replication	fig1_pair_a9b2b7405ddff12b	10 3758 bf03213926 10 1080 02699931 2018 1468732 gaze cuing and affective judgments of objects i like what you look at a closer look at the size of the gaze liking effect a preregistered replication unresolved original target a closer look at the size of the gaze liking effect a preregistered replication	2026-05-06T03:12:07+00:00
batch007_seed_01b322282b0ab972	api_candidate_08e65261327b34f0	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1037/pspa0000121.supp		Supplemental Material for When Both the Original Study and Its Failed Replication Are Correct: Feeling Observed Eliminates the Facial-Feedback Effect		10 1037 pspa0000121 supp supplemental material for when both the original study and its failed replication are correct feeling observed eliminates the facial feedback effect unresolved original target supplemental material for when both the original study and its failed replication are correct feeling observed eliminates the facial feedback effect	2026-05-06T03:12:07+00:00
batch007_seed_f00c78e1cdcf3d9c	api_candidate_103a002c9f30029a	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.3389/fpubh.2020.579559		Early COVID-19 Interventions Failed to Replicate 1918 St. Louis vs. Philadelphia Outcomes in the United States		10 3389 fpubh 2020 579559 early covid 19 interventions failed to replicate 1918 st louis vs philadelphia outcomes in the united states unresolved original target early covid 19 interventions failed to replicate 1918 st louis vs philadelphia outcomes in the united states	2026-05-06T03:12:07+00:00
batch007_seed_4cc091c6ddc63235	api_candidate_b6164c6515777459	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1016/s0163-6383(96)90452-x		Infants' understanding of solidity: Replicating a failure to replicate		10 1016 s0163 6383 96 90452 x infants understanding of solidity replicating a failure to replicate unresolved original target infants understanding of solidity replicating a failure to replicate	2026-05-06T03:12:07+00:00
batch007_seed_b839a4563fb8d6cf	api_candidate_b9417616f765b253	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1037/pspa0000121		When both the original study and its failed replication are correct: Feeling observed eliminates the facial-feedback effect.		10 1037 pspa0000121 when both the original study and its failed replication are correct feeling observed eliminates the facial feedback effect unresolved original target when both the original study and its failed replication are correct feeling observed eliminates the facial feedback effect	2026-05-06T03:12:07+00:00
batch007_seed_eca8f5bc594c56d1	api_candidate_d7e3e5e56d9be2e2	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1002/acp.740		The self and recollection reconsidered: how a ‘failure to replicate’ failed and why trace strength accounts of recollection are untenable		10 1002 acp 740 the self and recollection reconsidered how a failure to replicate failed and why trace strength accounts of recollection are untenable unresolved original target the self and recollection reconsidered how a failure to replicate failed and why trace strength accounts of recollection are untenable	2026-05-06T03:12:07+00:00
batch007_seed_28ff6342adeb6338	api_candidate_431e61f1075c1e4b	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1038/npp.2012.245		Candidate Gene Studies of a Promising Intermediate Phenotype: Failure to Replicate		10 1038 npp 2012 245 candidate gene studies of a promising intermediate phenotype failure to replicate unresolved original target candidate gene studies of a promising intermediate phenotype failure to replicate	2026-05-06T03:12:07+00:00
batch007_seed_c23460a234e16617	api_candidate_d69512d607ea08f3	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan			authentic pedagogy	Quality of pedagogy and student achievement: multi-level replication of authentic pedagogy		authentic pedagogy quality of pedagogy and student achievement multi level replication of authentic pedagogy authentic pedagogy quality of pedagogy and student achievement multi level replication of authentic pedagogy	2026-05-06T03:12:07+00:00
batch007_seed_67987a7c5bae060c	api_candidate_7f3b70fe52767bc4	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.15626/mp.2020.2538	the Effect of Product Size on Status Signaling	Super-Size Me: An Unsuccessful Preregistered Replication of the Effect of Product Size on Status Signaling	fig1_pair_1b8cd026a5c08362|fig1_pair_83a777c13b99494a|fig1_pair_c0ca281bbd3da1e5|fig1_pair_dbbbd144d697b4ce	10 15626 mp 2020 2538 the effect of product size on status signaling super size me an unsuccessful preregistered replication of the effect of product size on status signaling the effect of product size on status signaling super size me an unsuccessful preregistered replication of the effect of product size on status signaling	2026-05-06T03:12:07+00:00
batch007_seed_624b5937295bdf58	api_candidate_79aefba4508adf98	exclude_context_or_seed_hit	skip_seed_or_non_pair	not_row_rejected_seed_or_non_pair		10.1177/10731911241280763	Measurement Invariance for Registered Reports	Visualizemi: Visualization, Effect Size, and Replication of Measurement Invariance for Registered Reports		10 1177 10731911241280763 measurement invariance for registered reports visualizemi visualization effect size and replication of measurement invariance for registered reports measurement invariance for registered reports visualizemi visualization effect size and replication of measurement invariance for registered reports	2026-05-06T03:12:07+00:00
batch007_seed_c3676959bb76d99d	api_candidate_21b882b2a3dc29de	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1111/lcrp.12244	the linguistic frame effect on perceived blame and financial liability	Preregistered direct replication of the linguistic frame effect on perceived blame and financial liability	fig1_pair_030e22d3cc99371a|fig1_pair_0ef063a84e329f7b|fig1_pair_1c2370e84fe33ac2|fig1_pair_1ed3a5d797fe78b7|fig1_pair_5ac42add6cce8205|fig1_pair_b39698ee4a817624	10 1111 lcrp 12244 the linguistic frame effect on perceived blame and financial liability preregistered direct replication of the linguistic frame effect on perceived blame and financial liability the linguistic frame effect on perceived blame and financial liability preregistered direct replication of the linguistic frame effect on perceived blame and financial liability	2026-05-06T03:12:07+00:00
batch007_seed_a0ec096ceab9b461	api_candidate_2537eb141b71e9b2	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1128/jb.172.7.3849-3858.1990	the broad-host-range plasmid RK2	Replication of the broad-host-range plasmid RK2: direct measurement of intracellular concentrations of the essential TrfA replication proteins and their effect on plasmid copy number		10 1128 jb 172 7 3849 3858 1990 the broad host range plasmid rk2 replication of the broad host range plasmid rk2 direct measurement of intracellular concentrations of the essential trfa replication proteins and their effect on plasmid copy number the broad host range plasmid rk2 replication of the broad host range plasmid rk2 direct measurement of intracellular concentrations of the essential trfa replication proteins and their effect on plasmid copy number	2026-05-06T03:12:07+00:00
batch007_seed_c12355a692b0319c	api_candidate_6081ff58a22cfd2b	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1016/j.cogdev.2021.101054		Small procedural differences matter: Conceptual and direct replication attempts of the communication-intervention effect on infants’ false-belief ascriptions		10 1016 j cogdev 2021 101054 small procedural differences matter conceptual and direct replication attempts of the communication intervention effect on infants false belief ascriptions unresolved original target small procedural differences matter conceptual and direct replication attempts of the communication intervention effect on infants false belief ascriptions	2026-05-06T03:12:07+00:00
batch007_seed_17c11c01aee603ed	api_candidate_ad8ea69ee9fcbd37	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1002/acp.3439		The first direct replication on using verbal credibility assessment for the detection of deceptive intentions		10 1002 acp 3439 the first direct replication on using verbal credibility assessment for the detection of deceptive intentions unresolved original target the first direct replication on using verbal credibility assessment for the detection of deceptive intentions	2026-05-06T03:12:07+00:00
batch007_seed_27f727f661e0001e	api_candidate_b394edb6689db864	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.3389/forgp.2024.1468907		Acceptance and motivational effect of AI-driven feedback in the workplace: an experimental study with direct replication		10 3389 forgp 2024 1468907 acceptance and motivational effect of ai driven feedback in the workplace an experimental study with direct replication unresolved original target acceptance and motivational effect of ai driven feedback in the workplace an experimental study with direct replication	2026-05-06T03:12:07+00:00
batch007_seed_83c8dbaa778c73c9	api_candidate_ffd55078d3e1ef53	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.3389/fpsyg.2014.00259		Is spacing really the â€œfriend of inductionâ€?	fig1_pair_edad9df532d82302	10 3389 fpsyg 2014 00259 is spacing really the friend of induction unresolved original target is spacing really the friend of induction	2026-05-06T03:12:07+00:00
batch007_seed_569f8739730fcb68	api_candidate_274fe8a40bd8b125	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1525/collabra.192		The Effect of Concrete Wording on Truth Judgements: A Preregistered Replication and Extension of Hansen &amp; Wänke ()	fig1_pair_1e647ca5817e33a5|fig1_pair_e4dbc3d9df8fdf1d	10 1525 collabra 192 the effect of concrete wording on truth judgements a preregistered replication and extension of hansen amp w nke unresolved original target the effect of concrete wording on truth judgements a preregistered replication and extension of hansen amp w nke	2026-05-06T03:12:07+00:00
batch007_seed_b0b2f2b2af3289df	api_candidate_2528b3da1b30e174	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.24072/pci.rr.100411	Eimer (1996)	Is the N2pc a correlate of attentional selection? An #EEGManyLabs multi-lab registered replication of Eimer (1996)		10 24072 pci rr 100411 eimer 1996 is the n2pc a correlate of attentional selection an eegmanylabs multi lab registered replication of eimer 1996 eimer 1996 is the n2pc a correlate of attentional selection an eegmanylabs multi lab registered replication of eimer 1996	2026-05-06T03:12:07+00:00
batch007_seed_ec983260b2d57c6f	api_candidate_4c7df68bfa95fc50	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1016/j.cortex.2025.05.014	Eimer (1996)	A multilab investigation into the N2pc as an indicator of attentional selectivity: Direct replication of Eimer (1996)		10 1016 j cortex 2025 05 014 eimer 1996 a multilab investigation into the n2pc as an indicator of attentional selectivity direct replication of eimer 1996 eimer 1996 a multilab investigation into the n2pc as an indicator of attentional selectivity direct replication of eimer 1996	2026-05-06T03:12:07+00:00
batch007_seed_cb1744018a9d35d1	api_candidate_bce8156bb7af611c	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_already_represented	already_in_current_root_table		10.1525/collabra.90195	Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley”	The Dark Versus Bright Side of a Smiley: A Preregistered Replication of Experiment 3 in Glikson et al. (2018) “The Dark Side of a Smiley”	fig1_pair_15e1fc6b21fc863a|fig1_pair_22c2e384fb35f360|fig1_pair_965c165afb03491e|fig1_pair_9a7480fe8caafa33	10 1525 collabra 90195 experiment 3 in glikson et al 2018 the dark side of a smiley the dark versus bright side of a smiley a preregistered replication of experiment 3 in glikson et al 2018 the dark side of a smiley experiment 3 in glikson et al 2018 the dark side of a smiley the dark versus bright side of a smiley a preregistered replication of experiment 3 in glikson et al 2018 the dark side of a smiley	2026-05-06T03:12:07+00:00
batch007_seed_6e64fc95762ee989	api_candidate_b9cdb8cc6a76d362	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1525/collabra.31055	Messenger Et al. (2012)	Is Passive Priming Really Impervious to Verb Semantics? A High-Powered Replication of Messenger Et al. (2012)		10 1525 collabra 31055 messenger et al 2012 is passive priming really impervious to verb semantics a high powered replication of messenger et al 2012 messenger et al 2012 is passive priming really impervious to verb semantics a high powered replication of messenger et al 2012	2026-05-06T03:12:07+00:00
batch007_seed_c7c9b8b3fe384018	api_candidate_8b4783f7bcaa81ab	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.5178/lebs.2023.105		“Watching Eyes” Do Not Strengthen the Behavioral Intention of Donating Blood: A High-Powered Pre-registered Replication Study		10 5178 lebs 2023 105 watching eyes do not strengthen the behavioral intention of donating blood a high powered pre registered replication study unresolved original target watching eyes do not strengthen the behavioral intention of donating blood a high powered pre registered replication study	2026-05-06T03:12:07+00:00
batch007_seed_49183eb86ddd4ed5	api_candidate_d98ff50dae1e74e4	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1521/soco.2020.38.6.521		Letters to our Future Selves? High-Powered Replication Attempts Question Effects on Future Orientation, Delinquent Decisions, and Risky Investments		10 1521 soco 2020 38 6 521 letters to our future selves high powered replication attempts question effects on future orientation delinquent decisions and risky investments unresolved original target letters to our future selves high powered replication attempts question effects on future orientation delinquent decisions and risky investments	2026-05-06T03:12:07+00:00
batch007_seed_75006dbee967e8ae	api_candidate_15e7e4016b5e4ba8	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1037/mot0000271		The ulna-to-fibula ratio as a marker of organizational hormone effects on implicit motive development: A high-powered preregistered replication.		10 1037 mot0000271 the ulna to fibula ratio as a marker of organizational hormone effects on implicit motive development a high powered preregistered replication unresolved original target the ulna to fibula ratio as a marker of organizational hormone effects on implicit motive development a high powered preregistered replication	2026-05-06T03:12:07+00:00
batch007_seed_549fcaa9e15549cc	api_candidate_87bcf07e36a43a1c	exclude_exact_pair_result_unless_new_outcome_or_new_source_family	skip_exact_pair_result_current_row	promoted_to_current_root_row	10.1037/0022-3514.77.4.785	10.1080/00224545.2022.2036670	Deviance or uniqueness, harmony or conformity? A cultural analysis	Selecting the special or choosing the common? A high-powered conceptual replication of Kim and Markus' (1999) pen study	fig1_pair_29a1275cd10ff152	10 1037 0022 3514 77 4 785 10 1080 00224545 2022 2036670 deviance or uniqueness harmony or conformity a cultural analysis selecting the special or choosing the common a high powered conceptual replication of kim and markus 1999 pen study kim and markus 1999 pen study selecting the special or choosing the common a high powered conceptual replication of kim and markus 1999 pen study	2026-05-06T03:12:07+00:00
batch007_seed_1e297b864dfbf5c0	api_candidate_7130a003da58b46c	exclude_under_current_policy_unless_policy_changes	skip_under_current_figure1_policy	not_row_rejected_after_value_scan		10.1109/ms.2023.3299268	and Extension to the Original Code Mangler Study	A Replication of and Extension to the Original Code Mangler Study		10 1109 ms 2023 3299268 and extension to the original code mangler study a replication of and extension to the original code mangler study and extension to the original code mangler study a replication of and extension to the original code mangler study	2026-05-06T03:12:07+00:00
batch007_seed_5a0224d1b7eb0290	api_candidate_65131b7d7b541cd5	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1016/j.ynirp.2022.100109		The effect of transcranial direct current stimulation on the interplay between executive control, behavioral variability and mind wandering: A registered report		10 1016 j ynirp 2022 100109 the effect of transcranial direct current stimulation on the interplay between executive control behavioral variability and mind wandering a registered report unresolved original target the effect of transcranial direct current stimulation on the interplay between executive control behavioral variability and mind wandering a registered report	2026-05-06T03:12:07+00:00
batch007_seed_5e257d217ead6e57	api_candidate_1558aa984b33c59b	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.1038/s41562-020-0823-z		Conservatives and liberals have similar physiological responses to threats		10 1038 s41562 020 0823 z conservatives and liberals have similar physiological responses to threats unresolved original target conservatives and liberals have similar physiological responses to threats	2026-05-06T03:12:07+00:00
batch007_seed_77eaacb697226c3c	api_candidate_efa5d5c27a504295	exclude_context_or_seed_hit	manual_review_before_repull	not_row_rejected_or_duplicate		10.5070/g6011135		Assessing the replication landscape in experimental linguistics		10 5070 g6011135 assessing the replication landscape in experimental linguistics unresolved original target assessing the replication landscape in experimental linguistics	2026-05-06T03:12:07+00:00
